# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Dec  3 00:24:15 2025
#                        
# Element                            : Po
# Z                                  : 84
# A                                  : 206
# I                                  : 0
# Half-life                   [days ]: 8.79977 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.542858E+02 
# Emax2 (background)             [eV]: 4.048770E+03 
# Number of resonances (<Emax)       : 15
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 1.612170E+01 
# Ress Int. (n,g) (systematics)  [b.]: 3.266740E+01 
# MACS 30 keV (calculated)       [b.]: 2.098800E-01
# Westcott factor (calculated)       : 1.000050E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 1.265650E+01 
# Res. Int (n,el) (calculated)   [b.]: 7.211320E+01 
#
# Scattering radius              [fm]: 7.83 +/- 7.83 
#
# Average Gtotal   l=0           [eV]: 2.616710E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 5.971580E-03 
# Average Gg       l=0           [eV]: 1.915290E-01 
# Average level spacing D0 (l=0) [eV]: 1.542860E+02 
# Neutron strength function S0 (l=0) : 7.740940E-05 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -6.839539E+02      1.367910E-01     0       +0.50      2.492338E-02    3.390000E-04    1.915295E-01    1.041330E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.691096E+02      9.382200E-02     0       +0.50      6.269897E-02    8.520000E-04    1.915295E-01    1.041330E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.809321E+02      7.618600E-02     0       +0.50      9.140698E-03    1.240000E-04    1.915295E-01    1.041330E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.459419E+02      6.918800E-02     0       +0.50      3.165056E-03    4.300000E-05    1.915295E-01    1.041330E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.998308E+02      5.996600E-02     0       +0.50      1.881319E-02    2.560000E-04    1.915295E-01    1.041330E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.710767E+02      5.421500E-02     0       +0.50      8.301474E-02    1.128000E-03    1.915295E-01    1.041330E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.078435E+02      4.156900E-02     0       +0.50      9.155402E-02    1.244000E-03    1.915295E-01    1.041330E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.974038E+02      3.948100E-02     0       +0.50      1.048425E-02    1.430000E-04    1.915295E-01    1.041330E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.794529E+02      3.589100E-02     0       +0.50      5.143064E-02    6.990000E-04    1.915295E-01    1.041330E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.090745E+02      2.181500E-02     0       +0.50      4.423958E-03    6.000000E-05    1.915295E-01    1.041330E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
