# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Dec  3 00:35:47 2025
#                        
# Element                            : Pr
# Z                                  : 59
# A                                  : 144
# I                                  : 0
# Half-life                   [min. ]: 17.2833 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 5.529478E+02 
# Emax2 (background)             [eV]: 4.144490E+03 
# Number of resonances (<Emax)       : 95
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 2.729190E+01 
# Ress Int. (n,g) (systematics)  [b.]: 5.096700E+02 
# MACS 30 keV (calculated)       [b.]: 3.820800E-01
# Westcott factor (calculated)       : 1.016130E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 5.424130E+00 
# Res. Int (n,el) (calculated)   [b.]: 4.395070E+01 
#
# Scattering radius              [fm]: 6.96 +/- 6.96 
#
# Average Gtotal   l=0           [eV]: 7.132850E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.558260E-05 
# Average Gg       l=0           [eV]: 7.098580E-02 
# Average level spacing D0 (l=0) [eV]: 6.505270E+00 
# Neutron strength function S0 (l=0) : 3.978860E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -7.671583E+01      1.534300E-02     0       +0.50      5.308318E-05    1.000000E-06    7.098573E-02    3.769500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.013551E+01      1.402700E-02     0       +0.50      5.403276E-06    0.000000E+00    7.098573E-02    3.769500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.918214E+01      1.383600E-02     0       +0.50      9.086308E-06    0.000000E+00    7.098573E-02    3.769500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.915528E+01      9.831000E-03     0       +0.50      1.069785E-06    0.000000E+00    7.098573E-02    3.769500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.268727E+01      6.537000E-03     0       +0.50      6.125883E-06    0.000000E+00    7.098573E-02    3.769500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.178736E+01      6.357000E-03     0       +0.50      1.694357E-08    0.000000E+00    7.098573E-02    3.769500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.318703E+01      4.637000E-03     0       +0.50      2.645651E-05    0.000000E+00    7.098573E-02    3.769500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.844898E+01      3.690000E-03     0       +0.50      1.164552E-04    2.000000E-06    7.098573E-02    3.769500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.261353E+01      2.523000E-03     0       +0.50      1.895358E-04    3.000000E-06    7.098573E-02    3.769500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.762841E+00      3.530000E-04     0       +0.50      3.681139E-04    5.000000E-06    7.098573E-02    3.769500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.584898E+01      3.170000E-03     0       +0.50      1.413275E-04    2.000000E-06    7.098573E-02    3.769500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.318703E+01      4.637000E-03     0       +0.50      3.482376E-04    5.000000E-06    7.098573E-02    3.769500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.635995E+01      5.272000E-03     0       +0.50      6.185977E-05    1.000000E-06    7.098573E-02    3.769500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.263915E+01      6.528000E-03     0       +0.50      3.224342E-05    0.000000E+00    7.098573E-02    3.769500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.761895E+01      7.524000E-03     0       +0.50      1.792416E-05    0.000000E+00    7.098573E-02    3.769500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.846302E+01      9.693000E-03     0       +0.50      1.181733E-03    1.600000E-05    7.098573E-02    3.769500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.630690E+01      1.326100E-02     0       +0.50      7.639226E-05    1.000000E-06    7.098573E-02    3.769500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.990175E+01      1.398000E-02     0       +0.50      2.301266E-04    3.000000E-06    7.098573E-02    3.769500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.688477E+01      1.537700E-02     0       +0.50      2.804155E-04    4.000000E-06    7.098573E-02    3.769500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.802841E+01      1.760600E-02     0       +0.50      5.642695E-05    1.000000E-06    7.098573E-02    3.769500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.810911E+01      1.762200E-02     0       +0.50      2.384434E-04    3.000000E-06    7.098573E-02    3.769500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.834542E+01      1.966900E-02     0       +0.50      1.558218E-05    0.000000E+00    7.098573E-02    3.769500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.139493E+02      2.279000E-02     0       +0.50      1.923004E-07    0.000000E+00    7.098573E-02    3.769500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
