# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 20:01:18 2025
#                        
# Element                            : Pr
# Z                                  : 59
# A                                  : 145
# I                                  : 0
# Half-life                   [hours]: 5.98333 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.386544E+02 
# Emax2 (background)             [eV]: 9.343370E+03 
# Number of resonances (<Emax)       : 91
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 1.933080E+01 
# Ress Int. (n,g) (systematics)  [b.]: 7.818270E+02 
# MACS 30 keV (calculated)       [b.]: 2.542700E-01
# Westcott factor (calculated)       : 1.010750E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 5.068970E+00 
# Res. Int (n,el) (calculated)   [b.]: 9.154300E+01 
#
# Scattering radius              [fm]: 6.98 +/- 0.49 
#
# Average Gtotal   l=0           [eV]: 3.501510E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 7.135250E-05 
# Average Gg       l=0           [eV]: 3.452020E-02 
# Average level spacing D0 (l=0) [eV]: 3.409350E+00 
# Neutron strength function S0 (l=0) : 1.025950E-05 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.049263E+02      2.098500E-02     0       +3.00      3.147124E-04    4.000000E-06    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.468861E+01      1.693800E-02     0       +3.00      3.211728E-08    0.000000E+00    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.310621E+01      1.662100E-02     0       +3.00      4.167111E-04    6.000000E-06    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.251014E+01      1.650200E-02     0       +3.00      7.208270E-05    1.000000E-06    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.009693E+01      1.401900E-02     0       +3.00      2.848704E-04    4.000000E-06    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.268605E+01      1.253700E-02     0       +3.00      5.463263E-05    1.000000E-06    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.093605E+01      1.218700E-02     0       +3.00      1.569505E-04    2.000000E-06    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.802809E+01      1.160600E-02     0       +3.00      2.044503E-04    3.000000E-06    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.657118E+01      1.131400E-02     0       +3.00      3.408843E-06    0.000000E+00    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.629408E+01      1.125900E-02     0       +3.00      4.158032E-05    1.000000E-06    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.270497E+01      1.054100E-02     0       +3.00      1.305315E-04    2.000000E-06    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.026881E+01      1.005400E-02     0       +3.00      1.703023E-03    2.300000E-05    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.448451E+01      6.897000E-03     0       +3.00      7.550933E-04    1.000000E-05    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.580360E+01      5.161000E-03     0       +3.00      1.679920E-04    2.000000E-06    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.560133E+01      5.120000E-03     0       +3.00      9.663194E-04    1.300000E-05    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.553419E+01      3.107000E-03     0       +3.00      4.302319E-05    1.000000E-06    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.313392E+01      2.627000E-03     0       +3.00      8.347309E-04    1.100000E-05    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.345713E+00      1.869000E-03     0       +3.00      5.877596E-04    8.000000E-06    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.581300E+00      1.716000E-03     0       +3.00      1.054735E-03    1.400000E-05    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -5.102671E+00      1.021000E-03     0       +3.00      9.248052E-05    1.000000E-06    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.492602E+00      4.990000E-04     0       +3.00      2.704998E-03    3.700000E-05    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.983646E+00      7.970000E-04     0       +3.00      1.581091E-06    0.000000E+00    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.282470E+00      1.256000E-03     0       +3.00      1.441282E-05    0.000000E+00    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.581300E+00      1.716000E-03     0       +3.00      2.198820E-04    3.000000E-06    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +8.743505E+00      1.749000E-03     0       +3.00      4.949397E-04    7.000000E-06    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.987942E+01      3.976000E-03     0       +3.00      1.187339E-03    1.600000E-05    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.207737E+01      4.415000E-03     0       +3.00      1.208306E-04    2.000000E-06    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.210758E+01      6.422000E-03     0       +3.00      2.332685E-05    0.000000E+00    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.606950E+01      7.214000E-03     0       +3.00      9.456497E-05    1.000000E-06    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.803461E+01      7.607000E-03     0       +3.00      6.104394E-06    0.000000E+00    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.072758E+01      8.146000E-03     0       +3.00      7.192772E-04    1.000000E-05    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.111761E+01      1.022400E-02     0       +3.00      1.576577E-03    2.200000E-05    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.169826E+01      1.034000E-02     0       +3.00      2.556274E-04    4.000000E-06    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.247454E+01      1.049500E-02     0       +3.00      5.683725E-04    8.000000E-06    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.390453E+01      1.078100E-02     0       +3.00      2.167323E-03    3.000000E-05    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.112576E+01      1.222500E-02     0       +3.00      2.960596E-05    0.000000E+00    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.232843E+01      1.246600E-02     0       +3.00      4.218370E-04    6.000000E-06    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.066239E+01      1.413200E-02     0       +3.00      3.632699E-04    5.000000E-06    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.652527E+01      1.530500E-02     0       +3.00      1.223368E-05    0.000000E+00    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.720787E+01      1.544200E-02     0       +3.00      3.422232E-04    5.000000E-06    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.864587E+01      1.572900E-02     0       +3.00      3.492126E-08    0.000000E+00    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.894785E+01      1.579000E-02     0       +3.00      4.530291E-04    6.000000E-06    3.589582E-02    1.972600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.492365E+01      1.698500E-02     0       +4.00      5.940035E-04    8.000000E-06    3.390254E-02    1.863100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.597124E+01      1.719400E-02     0       +4.00      3.965310E-04    5.000000E-06    3.390254E-02    1.863100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.795766E+01      1.759200E-02     0       +4.00      1.006875E-03    1.400000E-05    3.390254E-02    1.863100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.367882E+01      1.873600E-02     0       +4.00      3.679150E-05    1.000000E-06    3.390254E-02    1.863100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.551544E+01      1.910300E-02     0       +4.00      9.359294E-04    1.300000E-05    3.390254E-02    1.863100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.710837E+01      1.942200E-02     0       +4.00      2.306113E-04    3.000000E-06    3.390254E-02    1.863100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.038752E+02      2.077500E-02     0       +4.00      7.595064E-06    0.000000E+00    3.390254E-02    1.863100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.075543E+02      2.151100E-02     0       +4.00      7.353016E-04    1.000000E-05    3.390254E-02    1.863100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.112497E+02      2.225000E-02     0       +4.00      7.349415E-05    1.000000E-06    3.390254E-02    1.863100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.114132E+02      2.228300E-02     0       +4.00      2.627695E-04    4.000000E-06    3.390254E-02    1.863100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
