# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Dec  3 00:41:23 2025
#                        
# Element                            : Pr
# Z                                  : 59
# A                                  : 149
# I                                  : 0
# Half-life                   [min. ]: 2.26 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.568768E+02 
# Emax2 (background)             [eV]: 4.357980E+03 
# Number of resonances (<Emax)       : 93
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 2.807800E+01 
# Ress Int. (n,g) (systematics)  [b.]: 8.350330E+01 
# MACS 30 keV (calculated)       [b.]: 4.469700E-01
# Westcott factor (calculated)       : 9.878600E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 7.635900E+00 
# Res. Int (n,el) (calculated)   [b.]: 3.752030E+01 
#
# Scattering radius              [fm]: 7.04 +/- 7.04 
#
# Average Gtotal   l=0           [eV]: 3.528240E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 4.258740E-05 
# Average Gg       l=0           [eV]: 3.494110E-02 
# Average level spacing D0 (l=0) [eV]: 2.149000E+00 
# Neutron strength function S0 (l=0) : 1.017430E-05 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -8.385755E+01      1.677200E-02     0       +2.00      1.945964E-04    3.000000E-06    3.596833E-02    2.264200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.541132E+01      1.308200E-02     0       +2.00      2.725598E-05    0.000000E+00    3.596833E-02    2.264200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.023433E+01      1.004700E-02     0       +2.00      6.104602E-04    1.000000E-05    3.596833E-02    2.264200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.826460E+01      9.653000E-03     0       +2.00      1.066325E-04    2.000000E-06    3.596833E-02    2.264200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.789033E+01      9.578000E-03     0       +2.00      3.946286E-04    6.000000E-06    3.596833E-02    2.264200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.076869E+01      8.154000E-03     0       +2.00      3.226074E-04    5.000000E-06    3.596833E-02    2.264200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.620625E+01      7.241000E-03     0       +2.00      7.268049E-05    1.000000E-06    3.596833E-02    2.264200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.513386E+01      5.027000E-03     0       +2.00      2.599370E-03    4.100000E-05    3.596833E-02    2.264200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.310188E+01      4.620000E-03     0       +2.00      1.451082E-04    2.000000E-06    3.596833E-02    2.264200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.246821E+01      4.494000E-03     0       +2.00      2.869353E-04    5.000000E-06    3.596833E-02    2.264200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.068226E+01      4.136000E-03     0       +2.00      1.499748E-04    2.000000E-06    3.596833E-02    2.264200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.875276E+01      3.751000E-03     0       +2.00      2.495620E-04    4.000000E-06    3.596833E-02    2.264200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.746266E+01      3.493000E-03     0       +2.00      5.433016E-05    1.000000E-06    3.596833E-02    2.264200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.425709E+01      2.851000E-03     0       +2.00      5.605874E-07    0.000000E+00    3.596833E-02    2.264200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.407405E+01      2.815000E-03     0       +2.00      9.903031E-04    1.600000E-05    3.596833E-02    2.264200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.737070E+00      1.347000E-03     0       +2.00      3.647476E-07    0.000000E+00    3.596833E-02    2.264200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.593760E+00      9.190000E-04     0       +2.00      4.082776E-05    1.000000E-06    3.596833E-02    2.264200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.817626E+00      7.640000E-04     0       +2.00      3.395018E-06    0.000000E+00    3.596833E-02    2.264200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.763926E+00      3.530000E-04     0       +2.00      1.866995E-03    2.900000E-05    3.596833E-02    2.264200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.436676E+00      6.870000E-04     0       +2.00      1.611097E-05    0.000000E+00    3.596833E-02    2.264200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.817626E+00      7.640000E-04     0       +2.00      1.831872E-05    0.000000E+00    3.596833E-02    2.264200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
