# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Dec  3 00:24:04 2025
#                        
# Element                            : Pt
# Z                                  : 78
# A                                  : 188
# I                                  : 0
# Half-life                   [days ]: 10.1597 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.215019E+02 
# Emax2 (background)             [eV]: 4.429180E+03 
# Number of resonances (<Emax)       : 65
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 4.989220E+01 
# Ress Int. (n,g) (systematics)  [b.]: 2.419690E+02 
# MACS 30 keV (calculated)       [b.]: 8.113800E-01
# Westcott factor (calculated)       : 1.065660E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 9.524080E+00 
# Res. Int (n,el) (calculated)   [b.]: 5.647510E+01 
#
# Scattering radius              [fm]: 9.00 +/- 9.00 
#
# Average Gtotal   l=0           [eV]: 5.386010E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 6.821910E-06 
# Average Gg       l=0           [eV]: 5.382370E-02 
# Average level spacing D0 (l=0) [eV]: 2.094860E+00 
# Neutron strength function S0 (l=0) : 3.312640E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.540351E+01      3.081000E-03     0       +0.50      1.821451E-04    2.000000E-06    5.382374E-02    2.696700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.131367E+01      2.263000E-03     0       +0.50      4.915208E-05    1.000000E-06    5.382374E-02    2.696700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.069630E+01      2.139000E-03     0       +0.50      1.520140E-05    0.000000E+00    5.382374E-02    2.696700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.622751E+00      1.925000E-03     0       +0.50      3.049398E-06    0.000000E+00    5.382374E-02    2.696700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.537302E+00      1.707000E-03     0       +0.50      1.195255E-07    0.000000E+00    5.382374E-02    2.696700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.101816E+00      1.220000E-03     0       +0.50      1.362273E-06    0.000000E+00    5.382374E-02    2.696700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.279700E+00      1.056000E-03     0       +0.50      2.470554E-05    0.000000E+00    5.382374E-02    2.696700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +5.337100E-01      1.070000E-04     0       +0.50      4.166282E-05    1.000000E-06    5.382374E-02    2.696700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.634173E+00      9.270000E-04     0       +0.50      5.667927E-05    1.000000E-06    5.382374E-02    2.696700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.279700E+00      1.056000E-03     0       +0.50      5.187148E-05    1.000000E-06    5.382374E-02    2.696700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +6.048393E+00      1.210000E-03     0       +0.50      6.241266E-06    0.000000E+00    5.382374E-02    2.696700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.948353E+00      1.390000E-03     0       +0.50      7.870331E-05    1.000000E-06    5.382374E-02    2.696700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.169279E+01      2.339000E-03     0       +0.50      2.212438E-04    3.000000E-06    5.382374E-02    2.696700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.427107E+01      2.854000E-03     0       +0.50      1.611103E-05    0.000000E+00    5.382374E-02    2.696700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.559987E+01      3.120000E-03     0       +0.50      2.389429E-08    0.000000E+00    5.382374E-02    2.696700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.926524E+01      3.853000E-03     0       +0.50      1.348844E-07    0.000000E+00    5.382374E-02    2.696700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.051328E+01      4.103000E-03     0       +0.50      1.710067E-05    0.000000E+00    5.382374E-02    2.696700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.591060E+01      5.182000E-03     0       +0.50      2.117105E-06    0.000000E+00    5.382374E-02    2.696700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.857184E+01      5.714000E-03     0       +0.50      3.748852E-05    0.000000E+00    5.382374E-02    2.696700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.176950E+01      6.354000E-03     0       +0.50      2.371509E-05    0.000000E+00    5.382374E-02    2.696700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.664973E+01      7.330000E-03     0       +0.50      2.819429E-05    0.000000E+00    5.382374E-02    2.696700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.799204E+01      7.598000E-03     0       +0.50      1.980618E-05    0.000000E+00    5.382374E-02    2.696700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.873877E+01      7.748000E-03     0       +0.50      1.054933E-05    0.000000E+00    5.382374E-02    2.696700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.220155E+01      8.440000E-03     0       +0.50      4.948540E-07    0.000000E+00    5.382374E-02    2.696700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.842902E+01      9.686000E-03     0       +0.50      2.091737E-06    0.000000E+00    5.382374E-02    2.696700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.962026E+01      9.924000E-03     0       +0.50      1.344495E-04    2.000000E-06    5.382374E-02    2.696700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.978065E+01      9.956000E-03     0       +0.50      2.802245E-05    0.000000E+00    5.382374E-02    2.696700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.119707E+01      1.023900E-02     0       +0.50      8.662179E-05    1.000000E-06    5.382374E-02    2.696700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.372731E+01      1.074500E-02     0       +0.50      1.120373E-04    1.000000E-06    5.382374E-02    2.696700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.557080E+01      1.111400E-02     0       +0.50      7.132575E-09    0.000000E+00    5.382374E-02    2.696700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.936766E+01      1.187400E-02     0       +0.50      7.207620E-06    0.000000E+00    5.382374E-02    2.696700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.432858E+01      1.286600E-02     0       +0.50      4.617841E-05    1.000000E-06    5.382374E-02    2.696700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.516307E+01      1.303300E-02     0       +0.50      8.556326E-06    0.000000E+00    5.382374E-02    2.696700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
