# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 05:50:52 2025
#                        
# Element                            : Pt
# Z                                  : 78
# A                                  : 189
# I                                  : 0
# Half-life                   [hours]: 10.8694 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.633401E+01 
# Emax2 (background)             [eV]: 2.110910E+02 
# Number of resonances (<Emax)       : 93
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 8.998720E+01 
# Ress Int. (n,g) (systematics)  [b.]: 4.472790E+02 
# MACS 30 keV (calculated)       [b.]: 2.270700E+00
# Westcott factor (calculated)       : 1.123520E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 7.055370E+00 
# Res. Int (n,el) (calculated)   [b.]: 2.490820E+01 
#
# Scattering radius              [fm]: 7.61 +/- 0.53 
#
# Average Gtotal   l=0           [eV]: 7.381340E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.610700E-06 
# Average Gg       l=0           [eV]: 7.380860E-02 
# Average level spacing D0 (l=0) [eV]: 1.967950E-01 
# Neutron strength function S0 (l=0) : 6.053670E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -4.131601E+00      8.260000E-04     0       +1.00      6.380547E-07    0.000000E+00    7.493996E-02    3.845100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.035101E+00      8.070000E-04     0       +1.00      2.076892E-06    0.000000E+00    7.493996E-02    3.845100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.217318E+00      6.430000E-04     0       +1.00      2.804388E-06    0.000000E+00    7.493996E-02    3.845100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.228525E+00      4.460000E-04     0       +1.00      3.851268E-07    0.000000E+00    7.493996E-02    3.845100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.142271E+00      4.280000E-04     0       +1.00      7.474634E-06    0.000000E+00    7.493996E-02    3.845100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.839392E+00      3.680000E-04     0       +1.00      1.131986E-06    0.000000E+00    7.493996E-02    3.845100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.220072E+00      2.440000E-04     0       +1.00      1.617755E-06    0.000000E+00    7.493996E-02    3.845100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.113966E+00      2.230000E-04     0       +1.00      4.045724E-06    0.000000E+00    7.493996E-02    3.845100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.224341E-01      8.400000E-05     0       +1.00      2.083776E-06    0.000000E+00    7.493996E-02    3.845100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.445137E-01      4.900000E-05     0       +1.00      7.792085E-06    0.000000E+00    7.493996E-02    3.845100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +2.445137E-01      4.900000E-05     0       +1.00      9.519728E-06    0.000000E+00    7.493996E-02    3.845100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +4.364816E-01      8.700000E-05     0       +1.00      4.382539E-06    0.000000E+00    7.493996E-02    3.845100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.117648E-01      1.220000E-04     0       +1.00      7.652101E-07    0.000000E+00    7.493996E-02    3.845100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.325077E-01      1.470000E-04     0       +1.00      2.812468E-05    0.000000E+00    7.493996E-02    3.845100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.000866E+00      2.000000E-04     0       +1.00      3.165863E-05    0.000000E+00    7.493996E-02    3.845100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.278887E+00      2.560000E-04     0       +1.00      6.727872E-06    0.000000E+00    7.493996E-02    3.845100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.460805E+00      2.920000E-04     0       +1.00      1.037589E-06    0.000000E+00    7.493996E-02    3.845100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.856374E+00      3.710000E-04     0       +1.00      1.008690E-07    0.000000E+00    7.493996E-02    3.845100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.868523E+00      3.740000E-04     0       +1.00      1.016025E-09    0.000000E+00    7.493996E-02    3.845100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.186516E+00      4.370000E-04     0       +1.00      1.448858E-05    0.000000E+00    7.493996E-02    3.845100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.437786E+00      4.880000E-04     0       +1.00      2.731359E-07    0.000000E+00    7.493996E-02    3.845100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.950142E+00      5.900000E-04     0       +1.00      1.079060E-05    0.000000E+00    7.493996E-02    3.845100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.036570E+00      6.070000E-04     0       +1.00      3.450010E-06    0.000000E+00    7.493996E-02    3.845100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.054025E+00      6.110000E-04     0       +1.00      5.777518E-06    0.000000E+00    7.493996E-02    3.845100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.065984E+00      6.130000E-04     0       +1.00      2.434982E-08    0.000000E+00    7.493996E-02    3.845100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.189947E+00      6.380000E-04     0       +1.00      2.906638E-06    0.000000E+00    7.493996E-02    3.845100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.806963E+00      7.610000E-04     0       +1.00      2.086117E-05    0.000000E+00    7.493996E-02    3.845100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.123589E+00      8.250000E-04     0       +1.00      1.786046E-07    0.000000E+00    7.493996E-02    3.845100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.342207E+00      8.680000E-04     0       +1.00      1.768622E-05    0.000000E+00    7.493996E-02    3.845100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.365596E+00      8.730000E-04     0       +1.00      4.817327E-07    0.000000E+00    7.493996E-02    3.845100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.789824E+00      9.580000E-04     0       +1.00      5.498822E-06    0.000000E+00    7.493996E-02    3.845100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.828507E+00      9.660000E-04     0       +1.00      1.313872E-05    0.000000E+00    7.493996E-02    3.845100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.283632E+00      1.057000E-03     0       +1.00      1.576705E-06    0.000000E+00    7.493996E-02    3.845100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
