# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Dec  3 00:46:05 2025
#                        
# Element                            : Pt
# Z                                  : 78
# A                                  : 203
# I                                  : 1
# Half-life                   [sec. ]: 12 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.266141E+03 
# Emax2 (background)             [eV]: 5.000000E+03 
# Number of resonances (<Emax)       : 61
# Number of resonances (<Emax2)      : 78
# Thermal (n,g) xs (systematics) [b.]: 4.797400E+01 
# Ress Int. (n,g) (systematics)  [b.]: 2.837720E+02 
# MACS 30 keV (calculated)       [b.]: 2.065100E-01
# Westcott factor (calculated)       : 1.000930E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 5.917740E+02 
# Res. Int (n,el) (calculated)   [b.]: 5.233630E+03 
#
# Scattering radius              [fm]: 7.79 +/- 7.79 
#
# Average Gtotal   l=0           [eV]: 4.027380E+00 
# Average reduced (Gn^0) Gn l=0  [eV]: 4.400970E+02 
# Average Gg       l=0           [eV]: 1.165270E+00 
# Average level spacing D0 (l=0) [eV]: 2.266140E+02 
# Neutron strength function S0 (l=0) : 3.843490E-01 
#
# Average Gtotal   l=1           [eV]: 1.367000E+00 
# Average reduced (Gn^1) Gn l=1  [eV]: 6.117100E+01 
# Average Gg       l=1           [eV]: 1.356120E+00 
# Average level spacing D1 (l=1) [eV]: 1.618670E+02 
# Neutron strength function S1 (l=1) : 3.241430E-02 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -3.844447E+03      7.688890E-01     0       +6.00      2.900289E+02    5.138619E+00    1.285526E+00    9.110570E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.690227E+03      7.380450E-01     0       +6.00      1.985135E+03    3.517185E+01    1.285526E+00    9.110570E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.313759E+03      6.627520E-01     0       +6.00      3.766138E+01    6.672700E-01    1.285526E+00    9.110570E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.155037E+03      6.310070E-01     0       +6.00      2.403536E+02    4.258491E+00    1.285526E+00    9.110570E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.985373E+03      5.970750E-01     0       +6.00      1.749308E+03    3.099356E+01    1.285526E+00    9.110570E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.964219E+03      5.928440E-01     0       +6.00      1.242593E+02    2.201578E+00    1.285526E+00    9.110570E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.831579E+03      5.663160E-01     0       +7.00      1.846612E+02    3.271755E+00    1.187130E+00    8.413240E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.814487E+03      5.628970E-01     0       +7.00      1.424454E+03    2.523792E+01    1.187130E+00    8.413240E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.759548E+03      5.519100E-01     0       +7.00      3.972853E+01    7.038950E-01    1.187130E+00    8.413240E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.649019E+03      5.298040E-01     0       +7.00      4.821759E+02    8.543005E+00    1.187130E+00    8.413240E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
