# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 07:34:11 2025
#                        
# Element                            : Pt
# Z                                  : 78
# A                                  : 205
# I                                  : 0
# Half-life                   [sec. ]: 2 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.287560E+03 
# Emax2 (background)             [eV]: 5.000000E+04 
# Number of resonances (<Emax)       : 43
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 1.689120E+00 
# Ress Int. (n,g) (systematics)  [b.]: 6.027250E+00 
# MACS 30 keV (calculated)       [b.]: 8.517200E-03
# Westcott factor (calculated)       : 1.000580E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 6.090970E+02 
# Res. Int (n,el) (calculated)   [b.]: 4.735920E+03 
#
# Scattering radius              [fm]: 7.82 +/- 7.82 
#
# Average Gtotal   l=0           [eV]: 2.246540E+01 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.238010E+02 
# Average Gg       l=0           [eV]: 9.845390E-02 
# Average level spacing D0 (l=0) [eV]: 3.267940E+02 
# Neutron strength function S0 (l=0) : 9.131150E-02 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.542428E+04      3.084856E+00     0       +4.00      6.045292E+02    1.100839E+01    5.326154E-02    3.879500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.541506E+04      3.083012E+00     0       +4.00      3.250022E+02    5.918245E+00    5.326154E-02    3.879500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.265754E+04      2.531508E+00     0       +4.00      6.158844E+00    1.121520E-01    5.326154E-02    3.879500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.248409E+04      2.496818E+00     0       +4.00      4.529969E+01    8.249010E-01    5.326154E-02    3.879500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.241885E+04      2.483770E+00     0       +4.00      4.344234E+01    7.910790E-01    5.326154E-02    3.879500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.162740E+04      2.325480E+00     0       +4.00      1.438018E+00    2.618600E-02    5.326154E-02    3.879500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.080155E+04      2.160310E+00     0       +4.00      2.407262E+02    4.383590E+00    5.326154E-02    3.879500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.050829E+04      2.101658E+00     0       +4.00      2.838935E+01    5.169660E-01    5.326154E-02    3.879500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.025328E+04      2.050656E+00     0       +4.00      1.163644E+02    2.118979E+00    5.326154E-02    3.879500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.459525E+03      1.891905E+00     0       +4.00      4.338783E+02    7.900863E+00    5.326154E-02    3.879500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.414541E+03      1.882908E+00     0       +4.00      5.056078E+03    9.207047E+01    5.326154E-02    3.879500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.713748E+03      1.742750E+00     0       +4.00      8.876121E+00    1.616330E-01    5.326154E-02    3.879500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.128072E+03      1.625614E+00     0       +4.00      8.183809E+02    1.490260E+01    5.326154E-02    3.879500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.119814E+03      1.623963E+00     0       +4.00      1.554885E+03    2.831424E+01    5.326154E-02    3.879500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.755295E+03      1.551059E+00     0       +4.00      1.364258E+03    2.484295E+01    5.326154E-02    3.879500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.611736E+03      1.522347E+00     0       +4.00      8.155384E+01    1.485084E+00    5.326154E-02    3.879500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.165475E+03      1.433095E+00     0       +5.00      1.011715E+03    1.842319E+01    5.551251E-02    4.043500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.554521E+03      1.310904E+00     0       +5.00      9.320621E+01    1.697272E+00    5.551251E-02    4.043500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.244139E+03      1.248828E+00     0       +5.00      9.289545E+00    1.691610E-01    5.551251E-02    4.043500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.906447E+03      1.181289E+00     0       +5.00      1.282081E+02    2.334652E+00    5.551251E-02    4.043500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.760408E+03      1.152082E+00     0       +5.00      2.521904E+02    4.592352E+00    5.551251E-02    4.043500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.475947E+03      8.951890E-01     0       +5.00      6.788704E+02    1.236214E+01    5.551251E-02    4.043500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.456049E+03      8.912100E-01     0       +5.00      2.209323E+02    4.023146E+00    5.551251E-02    4.043500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.767635E+03      7.535270E-01     0       +5.00      2.283301E+00    4.157900E-02    5.551251E-02    4.043500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.738131E+03      7.476260E-01     0       +5.00      6.943311E+01    1.264367E+00    5.551251E-02    4.043500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.515467E+03      7.030930E-01     0       +5.00      5.895324E+00    1.073530E-01    5.551251E-02    4.043500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.490400E+03      6.980800E-01     0       +5.00      1.727117E+02    3.145056E+00    5.551251E-02    4.043500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.109924E+03      6.219850E-01     0       +5.00      6.382458E+02    1.162237E+01    5.551251E-02    4.043500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.680685E+03      5.361370E-01     0       +5.00      3.843101E+02    6.998233E+00    5.551251E-02    4.043500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
