# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Dec  3 00:33:16 2025
#                        
# Element                            : Pu
# Z                                  : 94
# A                                  : 232
# I                                  : 0
# Half-life                   [min. ]: 33.7 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.923341E+00 
# Emax2 (background)             [eV]: 1.500000E+01 
# Number of resonances (<Emax)       : 13
# Number of resonances (<Emax2)      : 40
# Thermal (n,g) xs (systematics) [b.]: 1.329050E+02 
# Ress Int. (n,g) (systematics)  [b.]: 2.350500E+02 
# MACS 30 keV (calculated)       [b.]: 8.859500E-04
# Westcott factor (calculated)       : 4.236900E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 1.803900E+02 
# Res. Int (n,el) (calculated)   [b.]: 9.519250E+02 
#
# Thermal  (n,f) xs              [b.]: 1.742930E+04 (Syst.) 
# Resonance Integral (n,f) xs    [b.]: 3.724700E+03
#
# Scattering radius              [fm]: 8.15 +/- 8.15 
#
# Average Gtotal   l=0           [eV]: 4.989530E-03 
# Average reduced (Gn^0) Gn l=0  [eV]: 3.486870E-04 
# Average Gg       l=0           [eV]: 1.280750E-04 
# Average level spacing D0 (l=0) [eV]: 4.872220E-01 
# Neutron strength function S0 (l=0) : 8.349400E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.745422E+00      5.490000E-04     0       +0.50      1.335285E-04    2.000000E-06    1.280751E-04    7.200000E-05    +1.452001E-03   8.150000E-04    +0.000000E+00   0.000000E+00      hfr  
  -2.456941E+00      4.910000E-04     0       +0.50      4.115552E-05    1.000000E-06    1.280751E-04    7.200000E-05    +5.712560E-03   3.207000E-03    +0.000000E+00   0.000000E+00      hfr  
  -2.434273E+00      4.870000E-04     0       +0.50      1.993291E-06    0.000000E+00    1.280751E-04    7.200000E-05    +7.085687E-05   4.000000E-05    +0.000000E+00   0.000000E+00      hfr  
  -1.245767E+00      2.490000E-04     0       +0.50      1.681450E-05    0.000000E+00    1.280751E-04    7.200000E-05    +3.271663E-03   1.837000E-03    +0.000000E+00   0.000000E+00      hfr  
  -9.348929E-01      1.870000E-04     0       +0.50      1.266845E-05    0.000000E+00    1.280751E-04    7.200000E-05    +6.867916E-04   3.860000E-04    +0.000000E+00   0.000000E+00      hfr  
  -7.260415E-01      1.450000E-04     0       +0.50      1.827807E-04    3.000000E-06    1.280751E-04    7.200000E-05    +2.797097E-03   1.570000E-03    +0.000000E+00   0.000000E+00     radiator 
  +1.024378E-01      2.000000E-05     0       +0.50      4.811193E-04    7.000000E-06    1.280751E-04    7.200000E-05    +1.690456E-02   9.491000E-03    +0.000000E+00   0.000000E+00      hfr  
  +4.460837E-01      8.900000E-05     0       +0.50      2.013117E-06    0.000000E+00    1.280751E-04    7.200000E-05    +1.032991E-03   5.800000E-04    +0.000000E+00   0.000000E+00      hfr  
  +7.260415E-01      1.450000E-04     0       +0.50      5.500890E-04    8.000000E-06    1.280751E-04    7.200000E-05    +2.047941E-03   1.150000E-03    +0.000000E+00   0.000000E+00     radiator 
  +1.476951E+00      2.950000E-04     0       +0.50      4.371498E-05    1.000000E-06    1.280751E-04    7.200000E-05    +5.393681E-03   3.028000E-03    +0.000000E+00   0.000000E+00      hfr  
