# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Dec  3 00:28:50 2025
#                        
# Element                            : Pu
# Z                                  : 94
# A                                  : 234
# I                                  : 0
# Half-life                   [hours]: 8.8 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 3.551908E+01 
# Emax2 (background)             [eV]: 1.668560E+03 
# Number of resonances (<Emax)       : 16
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 8.577050E+01 
# Ress Int. (n,g) (systematics)  [b.]: 5.373810E+02 
# MACS 30 keV (calculated)       [b.]: 7.749400E-03
# Westcott factor (calculated)       : 9.609800E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 1.592040E+02 
# Res. Int (n,el) (calculated)   [b.]: 8.779890E+03 
#
# Thermal  (n,f) xs              [b.]: 4.533710E-01 (Syst.) 
# Resonance Integral (n,f) xs    [b.]: 6.331140E+00
#
# Scattering radius              [fm]: 8.17 +/- 0.57 
#
# Average Gtotal   l=0           [eV]: 3.056930E-03 
# Average reduced (Gn^0) Gn l=0  [eV]: 9.439740E-04 
# Average Gg       l=0           [eV]: 5.838420E-04 
# Average level spacing D0 (l=0) [eV]: 2.732240E+00 
# Neutron strength function S0 (l=0) : 3.720720E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.736689E+00      5.470000E-04     0       +0.50      3.824144E-05    1.000000E-06    5.838420E-04    3.420000E-04    +6.196260E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.347785E-01      8.700000E-05     0       +0.50      4.762631E-03    7.000000E-05    5.838420E-04    3.420000E-04    +2.904568E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +2.326027E+00      4.650000E-04     0       +0.50      1.141956E-02    1.670000E-04    5.838420E-04    3.420000E-04    +7.438658E-06   4.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +6.591278E+00      1.318000E-03     0       +0.50      2.385784E-03    3.500000E-05    5.838420E-04    3.420000E-04    +2.571381E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +9.267139E+00      1.853000E-03     0       +0.50      4.141700E-03    6.100000E-05    5.838420E-04    3.420000E-04    +4.105421E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +1.015995E+01      2.032000E-03     0       +0.50      9.846240E-04    1.400000E-05    5.838420E-04    3.420000E-04    +1.705304E-05   1.000000E-05    +0.000000E+00   0.000000E+00      hfr  
  +1.397221E+01      2.794000E-03     0       +0.50      1.301588E-03    1.900000E-05    5.838420E-04    3.420000E-04    +3.180314E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +1.640519E+01      3.281000E-03     0       +0.50      2.670235E-03    3.900000E-05    5.838420E-04    3.420000E-04    +1.410536E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +1.863268E+01      3.727000E-03     0       +0.50      1.938241E-04    3.000000E-06    5.838420E-04    3.420000E-04    +2.719520E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +2.096865E+01      4.194000E-03     0       +0.50      3.150839E-04    5.000000E-06    5.838420E-04    3.420000E-04    +3.567316E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.183127E+01      4.366000E-03     0       +0.50      9.396004E-05    1.000000E-06    5.838420E-04    3.420000E-04    +1.019694E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +2.433861E+01      4.868000E-03     0       +0.50      8.196841E-04    1.200000E-05    5.838420E-04    3.420000E-04    +4.068754E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
