# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Dec  3 00:14:57 2025
#                        
# Element                            : Ra
# Z                                  : 88
# A                                  : 224
# I                                  : 0
# Half-life                   [days ]: 3.63194 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.237039E+02 
# Emax2 (background)             [eV]: 1.411140E+04 
# Number of resonances (<Emax)       : 14
# Number of resonances (<Emax2)      : 100
# Thermal  (n,g) xs (calculated) [b.]: 1.199360E+01 
# Thermal  (n,g) xs (experiment) [b.]: 12 +/- 0.5 
# Ress Int. (n,g) (systematics)  [b.]: 1.805960E+02 
# MACS 30 keV (calculated)       [b.]: 3.738400E-01
# Westcott factor (calculated)       : 1.001330E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 1.960530E+00 
# Res. Int (n,el) (calculated)   [b.]: 6.208280E+03 
#
# Thermal  (n,f) xs              [b.]: 1.264200E-03 (Syst.) 
# Resonance Integral (n,f) xs    [b.]: 1.809060E-02
#
# Scattering radius              [fm]: 8.05 +/- 8.05 
#
# Average Gtotal   l=0           [eV]: 2.053910E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.252130E-02 
# Average Gg       l=0           [eV]: 5.587070E-03 
# Average level spacing D0 (l=0) [eV]: 2.033670E+01 
# Neutron strength function S0 (l=0) : 1.208100E-03 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -3.598646E+01      7.197000E-03     0       +0.50      1.335873E-02    2.180000E-04    5.587067E-03    3.645000E-03    +5.889087E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.284457E+01      2.569000E-03     0       +0.50      8.209598E-02    1.339000E-03    5.587067E-03    3.645000E-03    +5.889087E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.284457E+01      2.569000E-03     0       +0.50      1.869244E-01    3.049000E-03    5.587067E-03    3.645000E-03    +5.889087E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.554808E+01      7.110000E-03     0       +0.50      3.854326E-01    6.287000E-03    5.587067E-03    3.645000E-03    +5.889087E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.749426E+01      1.349900E-02     0       +0.50      2.202015E-01    3.592000E-03    5.587067E-03    3.645000E-03    +5.889087E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.614532E+01      1.722900E-02     0       +0.50      4.094266E-02    6.680000E-04    5.587067E-03    3.645000E-03    +5.889087E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.043195E+02      2.086400E-02     0       +0.50      6.195568E-03    1.010000E-04    5.587067E-03    3.645000E-03    +5.889087E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.115736E+02      2.231500E-02     0       +0.50      2.218946E-02    3.620000E-04    5.587067E-03    3.645000E-03    +5.889087E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.321582E+02      2.643200E-02     0       +0.50      9.384654E-03    1.530000E-04    5.587067E-03    3.645000E-03    +5.889087E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.497606E+02      2.995200E-02     0       +0.50      4.621703E-01    7.538000E-03    5.587067E-03    3.645000E-03    +5.889087E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.666826E+02      3.333700E-02     0       +0.50      9.195397E-01    1.499800E-02    5.587067E-03    3.645000E-03    +5.889087E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.831395E+02      3.662800E-02     0       +0.50      5.564005E-04    9.000000E-06    5.587067E-03    3.645000E-03    +5.889087E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.068709E+02      4.137400E-02     0       +0.50      1.862617E-02    3.040000E-04    5.587067E-03    3.645000E-03    +5.889087E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.237039E+02      4.474100E-02     0       +0.50      1.254779E-01    2.047000E-03    5.587067E-03    3.645000E-03    +5.889087E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.301753E+02      4.603500E-02     1       +0.50      1.153455E-02    1.880000E-04    5.667205E-03    3.697000E-03    +5.889087E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.362115E+02      4.724200E-02     1       +0.50      8.233134E-04    1.300000E-05    5.667205E-03    3.697000E-03    +5.889087E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.379544E+02      4.759100E-02     1       +0.50      1.748685E-02    2.850000E-04    5.667205E-03    3.697000E-03    +5.889087E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.419905E+02      4.839800E-02     1       +0.50      4.896793E-04    8.000000E-06    5.667205E-03    3.697000E-03    +5.889087E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.503544E+02      5.007100E-02     1       +0.50      2.425177E-02    3.960000E-04    5.667205E-03    3.697000E-03    +5.889087E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.601539E+02      5.203100E-02     1       +0.50      1.158909E-03    1.900000E-05    5.667205E-03    3.697000E-03    +5.889087E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.633317E+02      5.266600E-02     1       +0.50      7.038233E-02    1.148000E-03    5.667205E-03    3.697000E-03    +5.889087E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.634330E+02      5.268700E-02     1       +0.50      2.668180E-03    4.400000E-05    5.667205E-03    3.697000E-03    +5.889087E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.730089E+02      5.460200E-02     1       +0.50      2.271368E-02    3.700000E-04    5.667205E-03    3.697000E-03    +5.889087E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.731467E+02      5.462900E-02     1       +0.50      8.405324E-03    1.370000E-04    5.667205E-03    3.697000E-03    +5.889087E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.787816E+02      5.575600E-02     1       +0.50      3.998336E-03    6.500000E-05    5.667205E-03    3.697000E-03    +5.889087E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.795607E+02      5.591200E-02     1       +0.50      6.538999E-04    1.100000E-05    5.667205E-03    3.697000E-03    +5.889087E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
