# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Dec  3 00:22:44 2025
#                        
# Element                            : Ra
# Z                                  : 88
# A                                  : 227
# I                                  : 0
# Half-life                   [min. ]: 42.2 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 3.078753E+01 
# Emax2 (background)             [eV]: 1.000000E+02 
# Number of resonances (<Emax)       : 96
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 6.679880E+01 
# Ress Int. (n,g) (systematics)  [b.]: 3.832960E+03 
# MACS 30 keV (calculated)       [b.]: 6.844500E-01
# Westcott factor (calculated)       : 1.013860E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 9.928430E+00 
# Res. Int (n,el) (calculated)   [b.]: 5.120210E+03 
#
# Thermal  (n,f) xs              [b.]: 7.070570E-01 (Syst.) 
# Resonance Integral (n,f) xs    [b.]: 9.840350E+00
#
# Scattering radius              [fm]: 8.09 +/- 8.09 
#
# Average Gtotal   l=0           [eV]: 1.674260E-03 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.238420E-04 
# Average Gg       l=0           [eV]: 1.124570E-03 
# Average level spacing D0 (l=0) [eV]: 3.897150E-01 
# Neutron strength function S0 (l=0) : 2.636570E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.057482E+01      2.115000E-03     0       +1.00      1.651287E-04    3.000000E-06    1.137807E-03    7.830000E-04    +1.621750E-05   1.100000E-05    +0.000000E+00   0.000000E+00      hfr  
  -8.108866E+00      1.622000E-03     0       +1.00      4.524107E-05    1.000000E-06    1.137807E-03    7.830000E-04    +1.260297E-05   9.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -7.006464E+00      1.401000E-03     0       +1.00      1.153441E-04    2.000000E-06    1.137807E-03    7.830000E-04    +7.122963E-06   5.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -6.668467E+00      1.334000E-03     0       +1.00      3.489108E-04    6.000000E-06    1.137807E-03    7.830000E-04    +3.783903E-06   3.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -6.635294E+00      1.327000E-03     0       +1.00      1.064856E-05    0.000000E+00    1.137807E-03    7.830000E-04    +8.576360E-06   6.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -4.439165E+00      8.880000E-04     0       +1.00      2.782368E-04    5.000000E-06    1.137807E-03    7.830000E-04    +8.793484E-06   6.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -4.413500E+00      8.830000E-04     0       +1.00      1.020533E-03    1.800000E-05    1.137807E-03    7.830000E-04    +1.098493E-05   8.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -3.897692E+00      7.800000E-04     0       +1.00      7.858167E-05    1.000000E-06    1.137807E-03    7.830000E-04    +2.301433E-05   1.600000E-05    +0.000000E+00   0.000000E+00      hfr  
  -3.613741E+00      7.230000E-04     0       +1.00      3.294561E-04    6.000000E-06    1.137807E-03    7.830000E-04    +1.812066E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -1.923472E+00      3.850000E-04     0       +1.00      1.362507E-04    2.000000E-06    1.137807E-03    7.830000E-04    +4.122546E-06   3.000000E-06    +0.000000E+00   0.000000E+00      hfr  
