# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 20:03:18 2025
#                        
# Element                            : Rb
# Z                                  : 37
# A                                  : 77
# I                                  : 0
# Half-life                   [min. ]: 3.78 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 3.281296E+01 
# Emax2 (background)             [eV]: 1.513570E+02 
# Number of resonances (<Emax)       : 43
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 3.680570E+01 
# Ress Int. (n,g) (systematics)  [b.]: 5.073030E+01 
# MACS 30 keV (calculated)       [b.]: 4.319900E-02
# Westcott factor (calculated)       : 9.977000E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 4.118580E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.654130E+01 
#
# Scattering radius              [fm]: 5.66 +/- 5.66 
#
# Average Gtotal   l=0           [eV]: 3.880610E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.783900E-05 
# Average Gg       l=0           [eV]: 3.879810E-01 
# Average level spacing D0 (l=0) [eV]: 1.312520E+00 
# Neutron strength function S0 (l=0) : 8.795750E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -3.400337E+01      6.801000E-03     0       +1.00      7.535403E-05    1.000000E-06    4.050669E-01    1.628810E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.181992E+01      6.364000E-03     0       +1.00      1.189336E-05    0.000000E+00    4.050669E-01    1.628810E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.582102E+01      5.164000E-03     0       +1.00      9.737496E-07    0.000000E+00    4.050669E-01    1.628810E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.288532E+01      4.577000E-03     0       +1.00      1.149330E-05    0.000000E+00    4.050669E-01    1.628810E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.225967E+01      4.452000E-03     0       +1.00      1.641304E-05    0.000000E+00    4.050669E-01    1.628810E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.688304E+01      3.377000E-03     0       +1.00      8.709308E-07    0.000000E+00    4.050669E-01    1.628810E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.338694E+01      2.677000E-03     0       +1.00      7.107534E-05    1.000000E-06    4.050669E-01    1.628810E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.126481E+01      2.253000E-03     0       +1.00      1.191875E-05    0.000000E+00    4.050669E-01    1.628810E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.071497E+00      1.814000E-03     0       +1.00      1.881768E-04    2.000000E-06    4.050669E-01    1.628810E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.185938E+00      1.437000E-03     0       +1.00      1.990124E-04    2.000000E-06    4.050669E-01    1.628810E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.104853E+00      1.221000E-03     0       +1.00      1.473445E-07    0.000000E+00    4.050669E-01    1.628810E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.831247E+00      1.166000E-03     0       +1.00      7.318184E-05    1.000000E-06    4.050669E-01    1.628810E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.564249E+00      9.130000E-04     0       +1.00      2.116577E-05    0.000000E+00    4.050669E-01    1.628810E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.416590E+00      8.830000E-04     0       +1.00      3.919930E-04    4.000000E-06    4.050669E-01    1.628810E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.876108E+00      7.750000E-04     0       +1.00      1.093792E-05    0.000000E+00    4.050669E-01    1.628810E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.387507E+00      4.780000E-04     0       +1.00      1.783689E-04    2.000000E-06    4.050669E-01    1.628810E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.031545E+00      4.060000E-04     0       +1.00      5.322727E-05    1.000000E-06    4.050669E-01    1.628810E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.395410E+00      2.790000E-04     0       +1.00      6.001474E-06    0.000000E+00    4.050669E-01    1.628810E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.939953E+00      3.880000E-04     0       +2.00      2.669468E-05    0.000000E+00    3.872976E-01    1.557360E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.031545E+00      4.060000E-04     0       +2.00      5.526698E-06    0.000000E+00    3.872976E-01    1.557360E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.828886E+00      1.366000E-03     0       +2.00      1.213200E-04    1.000000E-06    3.872976E-01    1.557360E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.899150E+00      1.380000E-03     0       +2.00      1.007854E-05    0.000000E+00    3.872976E-01    1.557360E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.932312E+00      1.386000E-03     0       +2.00      8.486630E-06    0.000000E+00    3.872976E-01    1.557360E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.060225E+00      1.412000E-03     0       +2.00      5.783649E-06    0.000000E+00    3.872976E-01    1.557360E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.411031E+00      1.682000E-03     0       +2.00      9.469747E-07    0.000000E+00    3.872976E-01    1.557360E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.126465E+01      2.253000E-03     0       +2.00      5.123635E-05    1.000000E-06    3.872976E-01    1.557360E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.140988E+01      2.282000E-03     0       +2.00      2.779070E-06    0.000000E+00    3.872976E-01    1.557360E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.216471E+01      2.433000E-03     0       +2.00      1.216785E-04    1.000000E-06    3.872976E-01    1.557360E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.446489E+01      2.893000E-03     0       +2.00      1.676262E-07    0.000000E+00    3.872976E-01    1.557360E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.505030E+01      3.010000E-03     0       +2.00      1.613687E-04    2.000000E-06    3.872976E-01    1.557360E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.783474E+01      3.567000E-03     0       +2.00      5.497024E-06    0.000000E+00    3.872976E-01    1.557360E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.002367E+01      4.005000E-03     0       +2.00      2.086924E-05    0.000000E+00    3.872976E-01    1.557360E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.095353E+01      4.191000E-03     0       +2.00      9.857348E-06    0.000000E+00    3.872976E-01    1.557360E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.169051E+01      4.338000E-03     0       +2.00      6.482212E-05    1.000000E-06    3.872976E-01    1.557360E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.410279E+01      4.821000E-03     0       +2.00      4.543540E-05    0.000000E+00    3.872976E-01    1.557360E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.446801E+01      4.894000E-03     0       +2.00      2.372783E-07    0.000000E+00    3.872976E-01    1.557360E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.479990E+01      4.960000E-03     0       +2.00      1.613198E-04    2.000000E-06    3.872976E-01    1.557360E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.640159E+01      5.280000E-03     0       +2.00      8.238728E-05    1.000000E-06    3.872976E-01    1.557360E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.712807E+01      5.426000E-03     0       +2.00      2.441044E-06    0.000000E+00    3.872976E-01    1.557360E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.776187E+01      5.552000E-03     0       +2.00      1.306985E-04    1.000000E-06    3.872976E-01    1.557360E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.899639E+01      5.799000E-03     0       +2.00      5.880304E-05    1.000000E-06    3.872976E-01    1.557360E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.040661E+01      6.081000E-03     0       +2.00      2.186927E-05    0.000000E+00    3.872976E-01    1.557360E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.281296E+01      6.563000E-03     0       +2.00      9.575311E-04    1.000000E-05    3.872976E-01    1.557360E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.418137E+01      6.836000E-03     1       +0.00      5.350780E-08    0.000000E+00    4.116935E-01    1.655450E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.464698E+01      6.929000E-03     1       +0.00      6.193258E-09    0.000000E+00    4.116935E-01    1.655450E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.734295E+01      7.469000E-03     1       +0.00      6.056345E-09    0.000000E+00    4.116935E-01    1.655450E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.758002E+01      7.516000E-03     1       +0.00      3.303560E-10    0.000000E+00    4.116935E-01    1.655450E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.202634E+01      8.405000E-03     1       +0.00      9.070547E-08    0.000000E+00    4.116935E-01    1.655450E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
