# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 20:09:32 2025
#                        
# Element                            : Rb
# Z                                  : 37
# A                                  : 86
# I                                  : 1
# Half-life                   [min. ]: 1.017 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.051941E+02 
# Emax2 (background)             [eV]: 1.612350E+02 
# Number of resonances (<Emax)       : 20
# Number of resonances (<Emax2)      : 24
# Thermal (n,g) xs (systematics) [b.]: 5.252290E+01 
# Ress Int. (n,g) (systematics)  [b.]: 9.123400E+02 
# MACS 30 keV (calculated)       [b.]: 4.983400E-01
# Westcott factor (calculated)       : 1.010540E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 3.357740E+01 
# Res. Int (n,el) (calculated)   [b.]: 1.694810E+02 
#
# Scattering radius              [fm]: 5.87 +/- 5.87 
#
# Average Gtotal   l=0           [eV]: 3.182800E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.257590E+02 
# Average Gg       l=0           [eV]: 3.120510E-01 
# Average level spacing D0 (l=0) [eV]: 2.103880E+01 
# Neutron strength function S0 (l=0) : 1.146070E+00 
#
# Average Gtotal   l=1           [eV]: 4.096340E-01 
# Average reduced (Gn^1) Gn l=1  [eV]: 1.396820E+00 
# Average Gg       l=1           [eV]: 4.096340E-01 
# Average level spacing D1 (l=1) [eV]: 1.051940E+02 
# Neutron strength function S1 (l=1) : 1.893190E-03 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.360634E+02      2.721300E-02     0       +5.50      3.300543E+00    3.653500E-02    3.568446E-01    1.580020E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.319611E+02      2.639200E-02     0       +5.50      2.303432E+00    2.549800E-02    3.568446E-01    1.580020E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.310444E+02      2.620900E-02     0       +6.50      2.938374E+00    3.252600E-02    3.211527E-01    1.421990E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.100960E+02      2.201900E-02     0       +6.50      3.013625E-01    3.336000E-03    3.211527E-01    1.421990E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.084188E+02      2.168400E-02     0       +6.50      2.841126E+00    3.145000E-02    3.211527E-01    1.421990E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.051941E+02      2.103900E-02     0       +6.50      5.796711E-01    6.417000E-03    3.211527E-01    1.421990E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.384361E+01      1.676900E-02     1       +4.50      1.496759E-03    1.700000E-05    3.843112E-01    1.701640E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.340343E+01      1.668100E-02     1       +4.50      2.597510E-04    3.000000E-06    3.843112E-01    1.701640E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.332457E+01      1.666500E-02     1       +4.50      3.092227E-03    3.400000E-05    3.843112E-01    1.701640E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.691163E+01      1.538200E-02     1       +5.50      9.252766E-06    0.000000E+00    3.522723E-01    1.559780E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
