# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 20:04:56 2025
#                        
# Element                            : Re
# Z                                  : 75
# A                                  : 173
# I                                  : 0
# Half-life                   [min. ]: 2 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 3.537724E+00 
# Emax2 (background)             [eV]: 3.255350E+01 
# Number of resonances (<Emax)       : 93
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 1.610900E+02 
# Ress Int. (n,g) (systematics)  [b.]: 1.492910E+03 
# MACS 30 keV (calculated)       [b.]: 6.523800E+00
# Westcott factor (calculated)       : 8.427100E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 6.844530E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.281200E+01 
#
# Scattering radius              [fm]: 7.39 +/- 7.39 
#
# Average Gtotal   l=0           [eV]: 9.496570E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.825030E-07 
# Average Gg       l=0           [eV]: 9.496560E-02 
# Average level spacing D0 (l=0) [eV]: 4.020130E-02 
# Neutron strength function S0 (l=0) : 2.147190E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.436417E-01      2.900000E-05     0       +2.00      1.245403E-07    0.000000E+00    9.581213E-02    4.170300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.321628E-01      2.600000E-05     0       +2.00      2.609851E-09    0.000000E+00    9.581213E-02    4.170300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.561377E-02      7.000000E-06     0       +2.00      1.917624E-08    0.000000E+00    9.581213E-02    4.170300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.283956E-02      5.000000E-06     0       +2.00      2.940346E-08    0.000000E+00    9.581213E-02    4.170300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.283956E-02      5.000000E-06     0       +2.00      2.910322E-07    0.000000E+00    9.581213E-02    4.170300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.195148E-02      6.000000E-06     0       +2.00      4.209451E-09    0.000000E+00    9.581213E-02    4.170300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.581663E-02      1.700000E-05     0       +2.00      9.227678E-09    0.000000E+00    9.581213E-02    4.170300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.428703E-02      1.900000E-05     0       +2.00      2.112220E-10    0.000000E+00    9.581213E-02    4.170300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.473842E-01      2.900000E-05     0       +2.00      2.172170E-10    0.000000E+00    9.581213E-02    4.170300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.732908E-01      3.500000E-05     0       +2.00      9.391266E-08    0.000000E+00    9.581213E-02    4.170300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.695058E-01      5.400000E-05     0       +2.00      2.322893E-07    0.000000E+00    9.581213E-02    4.170300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.008682E-01      6.000000E-05     0       +2.00      1.653260E-08    0.000000E+00    9.581213E-02    4.170300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.144403E-01      6.300000E-05     0       +2.00      2.611045E-07    0.000000E+00    9.581213E-02    4.170300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.934575E-01      7.900000E-05     0       +2.00      1.481760E-06    0.000000E+00    9.581213E-02    4.170300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.648598E-01      9.300000E-05     0       +2.00      3.340260E-07    0.000000E+00    9.581213E-02    4.170300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.660573E-01      9.300000E-05     0       +2.00      6.488704E-08    0.000000E+00    9.581213E-02    4.170300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
