# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Dec  3 00:32:37 2025
#                        
# Element                            : Re
# Z                                  : 75
# A                                  : 176
# I                                  : 0
# Half-life                   [min. ]: 5.3 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.417065E+00 
# Emax2 (background)             [eV]: 2.383910E+01 
# Number of resonances (<Emax)       : 89
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 1.765230E+02 
# Ress Int. (n,g) (systematics)  [b.]: 1.625230E+03 
# MACS 30 keV (calculated)       [b.]: 6.218100E+00
# Westcott factor (calculated)       : 9.848300E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 6.909530E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.030420E+01 
#
# Scattering radius              [fm]: 7.44 +/- 7.44 
#
# Average Gtotal   l=0           [eV]: 9.928030E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.271750E-07 
# Average Gg       l=0           [eV]: 9.928020E-02 
# Average level spacing D0 (l=0) [eV]: 2.843590E-02 
# Neutron strength function S0 (l=0) : 2.148920E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -6.649899E-02      1.300000E-05     0       +2.50      2.233467E-07    0.000000E+00    1.002305E-01    4.553100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.997133E-02      1.000000E-05     0       +2.50      4.203361E-08    0.000000E+00    1.002305E-01    4.553100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.521632E-02      7.000000E-06     0       +2.50      4.540644E-08    0.000000E+00    1.002305E-01    4.553100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.448257E-02      3.000000E-06     0       +2.50      2.839269E-08    0.000000E+00    1.002305E-01    4.553100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.448257E-02      3.000000E-06     0       +2.50      3.312171E-09    0.000000E+00    1.002305E-01    4.553100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.225975E-02      8.000000E-06     0       +2.50      2.884141E-07    0.000000E+00    1.002305E-01    4.553100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.051582E-02      1.400000E-05     0       +2.50      1.150771E-07    0.000000E+00    1.002305E-01    4.553100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.923950E-02      1.600000E-05     0       +2.50      1.871207E-07    0.000000E+00    1.002305E-01    4.553100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.339801E-01      2.700000E-05     0       +2.50      1.861511E-07    0.000000E+00    1.002305E-01    4.553100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.238088E-01      4.500000E-05     0       +2.50      6.564757E-08    0.000000E+00    1.002305E-01    4.553100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.289488E-01      4.600000E-05     0       +2.50      8.260628E-08    0.000000E+00    1.002305E-01    4.553100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.551646E-01      5.100000E-05     0       +2.50      1.180710E-07    0.000000E+00    1.002305E-01    4.553100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.895659E-01      5.800000E-05     0       +2.50      1.434959E-07    0.000000E+00    1.002305E-01    4.553100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.179650E-01      6.400000E-05     0       +2.50      9.114752E-09    0.000000E+00    1.002305E-01    4.553100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.201779E-01      6.400000E-05     0       +2.50      1.200116E-09    0.000000E+00    1.002305E-01    4.553100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.321941E-01      6.600000E-05     0       +2.50      8.238584E-08    0.000000E+00    1.002305E-01    4.553100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.863153E-01      7.700000E-05     0       +2.50      1.391510E-08    0.000000E+00    1.002305E-01    4.553100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.870287E-01      7.700000E-05     0       +2.50      1.729132E-08    0.000000E+00    1.002305E-01    4.553100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.450577E-01      8.900000E-05     0       +2.50      4.514356E-07    0.000000E+00    1.002305E-01    4.553100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.565677E-01      9.100000E-05     0       +2.50      5.877169E-09    0.000000E+00    1.002305E-01    4.553100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.982632E-01      1.000000E-04     0       +2.50      3.313320E-12    0.000000E+00    1.002305E-01    4.553100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.031499E-01      1.010000E-04     0       +2.50      1.540535E-07    0.000000E+00    1.002305E-01    4.553100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.665452E-01      1.130000E-04     0       +2.50      3.034544E-08    0.000000E+00    1.002305E-01    4.553100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.767062E-01      1.150000E-04     0       +2.50      1.059765E-07    0.000000E+00    1.002305E-01    4.553100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.076826E-01      1.220000E-04     0       +2.50      1.268070E-09    0.000000E+00    1.002305E-01    4.553100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.224132E-01      1.240000E-04     0       +2.50      4.000372E-07    0.000000E+00    1.002305E-01    4.553100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
