# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Dec  3 00:29:59 2025
#                        
# Element                            : Re
# Z                                  : 75
# A                                  : 188
# I                                  : 1
# Half-life                   [min. ]: 18.5833 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.486456E+01 
# Emax2 (background)             [eV]: 4.042810E+03 
# Number of resonances (<Emax)       : 21
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 3.023160E+00 
# Ress Int. (n,g) (systematics)  [b.]: 2.706480E+02 
# MACS 30 keV (calculated)       [b.]: 2.083200E+00
# Westcott factor (calculated)       : 1.540560E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 7.252100E+00 
# Res. Int (n,el) (calculated)   [b.]: 2.766230E+01 
#
# Scattering radius              [fm]: 7.60 +/- 7.60 
#
# Average Gtotal   l=0           [eV]: 6.564650E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 3.244140E-07 
# Average Gg       l=0           [eV]: 6.564540E-02 
# Average level spacing D0 (l=0) [eV]: 1.381360E+00 
# Neutron strength function S0 (l=0) : 1.244770E-07 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -4.200617E+00      8.400000E-04     0       +5.50      5.826032E-07    0.000000E+00    6.758096E-02    4.103800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.899790E+00      5.800000E-04     0       +5.50      1.562569E-06    0.000000E+00    6.758096E-02    4.103800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.681006E-01      1.340000E-04     0       +5.50      2.516821E-07    0.000000E+00    6.758096E-02    4.103800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.656368E-01      3.300000E-05     0       +5.50      1.915022E-07    0.000000E+00    6.758096E-02    4.103800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.602757E+00      3.210000E-04     0       +5.50      6.544959E-09    0.000000E+00    6.758096E-02    4.103800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.071369E+00      8.140000E-04     0       +5.50      1.362034E-06    0.000000E+00    6.758096E-02    4.103800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.995311E+00      9.990000E-04     0       +5.50      3.914656E-07    0.000000E+00    6.758096E-02    4.103800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.834872E+00      1.367000E-03     0       +5.50      1.162326E-06    0.000000E+00    6.758096E-02    4.103800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.846883E+00      1.569000E-03     0       +5.50      8.891981E-07    0.000000E+00    6.758096E-02    4.103800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.386852E+00      1.877000E-03     0       +5.50      8.868602E-08    0.000000E+00    6.758096E-02    4.103800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.089600E+01      2.179000E-03     0       +5.50      2.622712E-06    0.000000E+00    6.758096E-02    4.103800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.208307E+01      2.417000E-03     0       +6.50      3.732746E-07    0.000000E+00    6.423773E-02    3.900800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.432751E+01      2.866000E-03     0       +6.50      3.112176E-06    0.000000E+00    6.423773E-02    3.900800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.500411E+01      3.001000E-03     0       +6.50      5.844596E-07    0.000000E+00    6.423773E-02    3.900800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.623102E+01      3.246000E-03     0       +6.50      3.924736E-06    0.000000E+00    6.423773E-02    3.900800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.729532E+01      3.459000E-03     0       +6.50      7.907716E-09    0.000000E+00    6.423773E-02    3.900800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.865725E+01      3.731000E-03     0       +6.50      1.253521E-06    0.000000E+00    6.423773E-02    3.900800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.009789E+01      4.020000E-03     0       +6.50      1.077661E-06    0.000000E+00    6.423773E-02    3.900800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.103566E+01      4.207000E-03     0       +6.50      9.025647E-08    0.000000E+00    6.423773E-02    3.900800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.208147E+01      4.416000E-03     0       +6.50      2.042062E-06    0.000000E+00    6.423773E-02    3.900800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.342015E+01      4.684000E-03     0       +6.50      8.160782E-07    0.000000E+00    6.423773E-02    3.900800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.486456E+01      4.973000E-03     0       +6.50      2.117077E-07    0.000000E+00    6.423773E-02    3.900800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.491271E+01      4.983000E-03     1       +4.50      1.710195E-09    0.000000E+00    7.084898E-02    4.302300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.494385E+01      4.989000E-03     1       +4.50      3.546810E-10    0.000000E+00    7.084898E-02    4.302300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.502601E+01      5.005000E-03     1       +4.50      1.192122E-09    0.000000E+00    7.084898E-02    4.302300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.524868E+01      5.050000E-03     1       +4.50      2.884895E-09    0.000000E+00    7.084898E-02    4.302300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.595022E+01      5.190000E-03     1       +4.50      1.283536E-08    0.000000E+00    7.084898E-02    4.302300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.654939E+01      5.310000E-03     1       +4.50      1.796056E-09    0.000000E+00    7.084898E-02    4.302300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.715582E+01      5.431000E-03     1       +4.50      1.502735E-09    0.000000E+00    7.084898E-02    4.302300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.749764E+01      5.500000E-03     1       +4.50      6.646370E-10    0.000000E+00    7.084898E-02    4.302300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.811984E+01      5.624000E-03     1       +4.50      2.768167E-09    0.000000E+00    7.084898E-02    4.302300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.862729E+01      5.725000E-03     1       +4.50      9.738463E-09    0.000000E+00    7.084898E-02    4.302300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.880353E+01      5.761000E-03     1       +4.50      4.397012E-09    0.000000E+00    7.084898E-02    4.302300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
