# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Dec  3 00:46:22 2025
#                        
# Element                            : Rf
# Z                                  : 104
# A                                  : 257
# I                                  : 1
# Half-life                   [sec. ]: 4.1 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 4.840625E+00 
# Emax2 (background)             [eV]: 1.000000E+02 
# Number of resonances (<Emax)       : 98
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 1.458130E+02 
# Ress Int. (n,g) (systematics)  [b.]: 4.695840E+02 
# MACS 30 keV (calculated)       [b.]: 4.386000E+00
# Westcott factor (calculated)       : 7.929840E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 7.348650E+03 
# Res. Int (n,el) (calculated)   [b.]: 5.261290E+03 
#
# Thermal  (n,f) xs              [b.]: 8.826500E+02 (Syst.) 
# Resonance Integral (n,f) xs    [b.]: 1.497100E+03
#
# Scattering radius              [fm]: 8.43 +/- 8.43 
#
# Average Gtotal   l=0           [eV]: 2.755000E-04 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.138820E-04 
# Average Gg       l=0           [eV]: 1.513860E-05 
# Average level spacing D0 (l=0) [eV]: 5.500700E-02 
# Neutron strength function S0 (l=0) : 1.018920E-03 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -7.037699E-01      1.410000E-04     0       +5.00      5.275975E-09    0.000000E+00    1.534195E-05    9.000000E-06    +4.405390E-05   2.500000E-05    +0.000000E+00   0.000000E+00      hfr  
  -6.351836E-01      1.270000E-04     0       +5.00      9.893277E-05    1.000000E-06    1.534195E-05    9.000000E-06    +1.428381E-04   8.100000E-05    +0.000000E+00   0.000000E+00      hfr  
  -6.083643E-01      1.220000E-04     0       +5.00      1.887143E-05    0.000000E+00    1.534195E-05    9.000000E-06    +3.893028E-05   2.200000E-05    +0.000000E+00   0.000000E+00      hfr  
  -4.723341E-01      9.400000E-05     0       +5.00      1.578935E-04    2.000000E-06    1.534195E-05    9.000000E-06    +7.601558E-06   4.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -4.641383E-01      9.300000E-05     0       +5.00      2.482861E-05    0.000000E+00    1.534195E-05    9.000000E-06    +2.417195E-04   1.370000E-04    +0.000000E+00   0.000000E+00      hfr  
  -3.512480E-01      7.000000E-05     0       +5.00      2.229377E-05    0.000000E+00    1.534195E-05    9.000000E-06    +9.265790E-05   5.200000E-05    +0.000000E+00   0.000000E+00      hfr  
  -2.531207E-01      5.100000E-05     0       +5.00      2.036169E-04    3.000000E-06    1.534195E-05    9.000000E-06    +2.511266E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -2.932190E-02      6.000000E-06     0       +5.00      5.805407E-05    1.000000E-06    1.534195E-05    9.000000E-06    +3.362532E-04   1.900000E-04    +0.000000E+00   0.000000E+00      hfr  
  -2.032684E-02      4.000000E-06     0       +5.00      6.210842E-04    9.000000E-06    1.534195E-05    9.000000E-06    +1.279500E-04   7.200000E-05    +0.000000E+00   0.000000E+00      hfr  
  -1.619265E-06      0.000000E+00     0       +5.00      2.155636E-06    0.000000E+00    1.534195E-05    9.000000E-06    +5.035497E-05   2.800000E-05    +0.000000E+00   0.000000E+00      hfr  
  +6.674240E-02      1.300000E-05     0       +5.00      4.136045E-05    1.000000E-06    1.534195E-05    9.000000E-06    +9.020062E-05   5.100000E-05    +0.000000E+00   0.000000E+00     radiator 
  +1.623671E-01      3.200000E-05     0       +5.00      4.939681E-04    7.000000E-06    1.534195E-05    9.000000E-06    +2.648236E-04   1.500000E-04    +0.000000E+00   0.000000E+00      hfr  
  +2.463180E-01      4.900000E-05     0       +5.00      6.286422E-05    1.000000E-06    1.534195E-05    9.000000E-06    +6.228431E-05   3.500000E-05    +0.000000E+00   0.000000E+00      hfr  
  +2.736320E-01      5.500000E-05     0       +5.00      3.315527E-05    0.000000E+00    1.534195E-05    9.000000E-06    +2.695420E-05   1.500000E-05    +0.000000E+00   0.000000E+00      hfr  
  +3.952923E-01      7.900000E-05     0       +5.00      3.147934E-07    0.000000E+00    1.534195E-05    9.000000E-06    +2.756683E-05   1.600000E-05    +0.000000E+00   0.000000E+00      hfr  
  +4.286996E-01      8.600000E-05     0       +5.00      4.314365E-06    0.000000E+00    1.534195E-05    9.000000E-06    +1.891605E-05   1.100000E-05    +0.000000E+00   0.000000E+00      hfr  
  +4.400771E-01      8.800000E-05     0       +5.00      2.929147E-04    4.000000E-06    1.534195E-05    9.000000E-06    +5.295354E-04   2.990000E-04    +0.000000E+00   0.000000E+00      hfr  
  +5.274135E-01      1.050000E-04     0       +5.00      4.765423E-05    1.000000E-06    1.534195E-05    9.000000E-06    +1.687235E-04   9.500000E-05    +0.000000E+00   0.000000E+00      hfr  
  +6.692842E-01      1.340000E-04     0       +5.00      1.367440E-06    0.000000E+00    1.534195E-05    9.000000E-06    +2.011773E-04   1.140000E-04    +0.000000E+00   0.000000E+00      hfr  
  +7.209862E-01      1.440000E-04     0       +5.00      7.070614E-06    0.000000E+00    1.534195E-05    9.000000E-06    +7.014480E-05   4.000000E-05    +0.000000E+00   0.000000E+00      hfr  
  +7.526975E-01      1.510000E-04     0       +5.00      1.875963E-04    3.000000E-06    1.534195E-05    9.000000E-06    +2.310670E-04   1.310000E-04    +0.000000E+00   0.000000E+00      hfr  
  +8.731518E-01      1.750000E-04     0       +5.00      7.385379E-05    1.000000E-06    1.534195E-05    9.000000E-06    +1.515440E-04   8.600000E-05    +0.000000E+00   0.000000E+00      hfr  
  +9.194458E-01      1.840000E-04     0       +5.00      1.092350E-05    0.000000E+00    1.534195E-05    9.000000E-06    +1.538775E-04   8.700000E-05    +0.000000E+00   0.000000E+00      hfr  
  +1.046974E+00      2.090000E-04     0       +5.00      1.178838E-04    2.000000E-06    1.534195E-05    9.000000E-06    +1.006395E-04   5.700000E-05    +0.000000E+00   0.000000E+00      hfr  
  +1.066725E+00      2.130000E-04     0       +5.00      1.385016E-03    2.000000E-05    1.534195E-05    9.000000E-06    +2.249735E-05   1.300000E-05    +0.000000E+00   0.000000E+00      hfr  
  +1.154061E+00      2.310000E-04     0       +5.00      9.282487E-05    1.000000E-06    1.534195E-05    9.000000E-06    +5.510881E-05   3.100000E-05    +0.000000E+00   0.000000E+00      hfr  
  +1.235327E+00      2.470000E-04     0       +5.00      4.462875E-04    6.000000E-06    1.534195E-05    9.000000E-06    +7.080917E-05   4.000000E-05    +0.000000E+00   0.000000E+00      hfr  
  +1.280369E+00      2.560000E-04     0       +5.00      1.404896E-04    2.000000E-06    1.534195E-05    9.000000E-06    +1.861043E-04   1.050000E-04    +0.000000E+00   0.000000E+00      hfr  
  +1.332697E+00      2.670000E-04     0       +5.00      9.937422E-06    0.000000E+00    1.534195E-05    9.000000E-06    +3.762745E-05   2.100000E-05    +0.000000E+00   0.000000E+00      hfr  
  +1.398542E+00      2.800000E-04     0       +5.00      7.641900E-05    1.000000E-06    1.534195E-05    9.000000E-06    +4.803933E-05   2.700000E-05    +0.000000E+00   0.000000E+00      hfr  
  +1.416786E+00      2.830000E-04     0       +5.00      1.765684E-04    2.000000E-06    1.534195E-05    9.000000E-06    +1.048017E-04   5.900000E-05    +0.000000E+00   0.000000E+00      hfr  
  +1.553553E+00      3.110000E-04     0       +5.00      5.622397E-07    0.000000E+00    1.534195E-05    9.000000E-06    +8.123489E-05   4.600000E-05    +0.000000E+00   0.000000E+00      hfr  
  +1.581022E+00      3.160000E-04     0       +5.00      2.464443E-04    3.000000E-06    1.534195E-05    9.000000E-06    +9.350286E-06   5.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +1.640587E+00      3.280000E-04     0       +5.00      2.996989E-06    0.000000E+00    1.534195E-05    9.000000E-06    +1.627153E-05   9.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +1.712037E+00      3.420000E-04     0       +5.00      3.014207E-05    0.000000E+00    1.534195E-05    9.000000E-06    +2.093682E-04   1.180000E-04    +0.000000E+00   0.000000E+00      hfr  
  +1.719741E+00      3.440000E-04     0       +5.00      5.462414E-04    8.000000E-06    1.534195E-05    9.000000E-06    +1.743216E-04   9.800000E-05    +0.000000E+00   0.000000E+00      hfr  
  +1.842236E+00      3.680000E-04     0       +5.00      1.488298E-05    0.000000E+00    1.534195E-05    9.000000E-06    +1.300213E-04   7.300000E-05    +0.000000E+00   0.000000E+00      hfr  
  +1.954975E+00      3.910000E-04     0       +5.00      2.846214E-04    4.000000E-06    1.534195E-05    9.000000E-06    +1.156786E-04   6.500000E-05    +0.000000E+00   0.000000E+00      hfr  
  +2.037570E+00      4.080000E-04     0       +5.00      3.917274E-05    1.000000E-06    1.534195E-05    9.000000E-06    +2.995957E-04   1.690000E-04    +0.000000E+00   0.000000E+00      hfr  
  +2.127818E+00      4.260000E-04     0       +5.00      9.000165E-05    1.000000E-06    1.534195E-05    9.000000E-06    +5.973209E-05   3.400000E-05    +0.000000E+00   0.000000E+00      hfr  
