# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 20:00:04 2025
#                        
# Element                            : Rf
# Z                                  : 104
# A                                  : 263
# I                                  : 0
# Half-life                   [min. ]: 11 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 5.590050E+00 
# Emax2 (background)             [eV]: 1.500000E+01 
# Number of resonances (<Emax)       : 82
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 9.882820E+01 
# Ress Int. (n,g) (systematics)  [b.]: 1.488680E+02 
# MACS 30 keV (calculated)       [b.]: 1.536300E+00
# Westcott factor (calculated)       : 1.654460E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 3.763090E+02 
# Res. Int (n,el) (calculated)   [b.]: 4.230020E+02 
#
# Thermal  (n,f) xs              [b.]: 5.279390E+02 (Syst.) 
# Resonance Integral (n,f) xs    [b.]: 1.762800E+03
#
# Scattering radius              [fm]: 8.49 +/- 8.49 
#
# Average Gtotal   l=0           [eV]: 2.217190E-03 
# Average reduced (Gn^0) Gn l=0  [eV]: 3.245550E-05 
# Average Gg       l=0           [eV]: 4.114850E-05 
# Average level spacing D0 (l=0) [eV]: 7.763940E-02 
# Neutron strength function S0 (l=0) : 2.074140E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.053464E+00      2.110000E-04     0       +7.00      6.905836E-06    0.000000E+00    4.197577E-05    2.700000E-05    +5.965508E-03   3.779000E-03    +0.000000E+00   0.000000E+00      hfr  
  -7.938082E-01      1.590000E-04     0       +7.00      1.170130E-05    0.000000E+00    4.197577E-05    2.700000E-05    +5.520666E-04   3.500000E-04    +0.000000E+00   0.000000E+00      hfr  
  -6.123736E-01      1.220000E-04     0       +7.00      5.976669E-08    0.000000E+00    4.197577E-05    2.700000E-05    +8.337677E-04   5.280000E-04    +0.000000E+00   0.000000E+00      hfr  
  -3.524802E-01      7.000000E-05     0       +7.00      9.176368E-06    0.000000E+00    4.197577E-05    2.700000E-05    +6.009990E-04   3.810000E-04    +0.000000E+00   0.000000E+00      hfr  
  -2.582190E-01      5.200000E-05     0       +7.00      9.392283E-07    0.000000E+00    4.197577E-05    2.700000E-05    +3.206359E-04   2.030000E-04    +0.000000E+00   0.000000E+00      hfr  
  -2.408125E-01      4.800000E-05     0       +7.00      2.975117E-06    0.000000E+00    4.197577E-05    2.700000E-05    +4.018900E-04   2.550000E-04    +0.000000E+00   0.000000E+00      hfr  
  -1.767161E-01      3.500000E-05     0       +7.00      1.692406E-05    0.000000E+00    4.197577E-05    2.700000E-05    +3.997550E-03   2.532000E-03    +0.000000E+00   0.000000E+00      hfr  
  -8.863663E-02      1.800000E-05     0       +7.00      9.065260E-05    1.000000E-06    4.197577E-05    2.700000E-05    +1.789044E-03   1.133000E-03    +0.000000E+00   0.000000E+00      hfr  
  -5.985770E-06      0.000000E+00     0       +7.00      1.859279E-06    0.000000E+00    4.197577E-05    2.700000E-05    +1.774952E-04   1.120000E-04    +0.000000E+00   0.000000E+00      hfr  
  +9.741000E-02      1.900000E-05     0       +7.00      6.580916E-06    0.000000E+00    4.197577E-05    2.700000E-05    +2.455919E-03   1.556000E-03    +0.000000E+00   0.000000E+00     radiator 
