# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Dec  3 00:38:12 2025
#                        
# Element                            : Rf
# Z                                  : 104
# A                                  : 265
# I                                  : 0
# Half-life                   [min. ]: 1.6 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.699103E+01 
# Emax2 (background)             [eV]: 4.000000E+01 
# Number of resonances (<Emax)       : 420
# Number of resonances (<Emax2)      : 558
# Thermal (n,g) xs (systematics) [b.]: 9.888640E+01 
# Ress Int. (n,g) (systematics)  [b.]: 8.955110E+01 
# MACS 30 keV (calculated)       [b.]: 2.151200E-01
# Westcott factor (calculated)       : 6.853450E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 2.560010E+04 
# Res. Int (n,el) (calculated)   [b.]: 5.360730E+03 
#
# Thermal  (n,f) xs              [b.]: 1.341260E+03 (Syst.) 
# Resonance Integral (n,f) xs    [b.]: 7.781720E+02
#
# Scattering radius              [fm]: 8.51 +/- 8.51 
#
# Average Gtotal   l=0           [eV]: 1.242840E-04 
# Average reduced (Gn^0) Gn l=0  [eV]: 3.804480E-05 
# Average Gg       l=0           [eV]: 4.249590E-06 
# Average level spacing D0 (l=0) [eV]: 1.232470E-01 
# Neutron strength function S0 (l=0) : 1.522730E-04 
#
# Average Gtotal   l=1           [eV]: 5.216170E-05 
# Average reduced (Gn^1) Gn l=1  [eV]: 7.949310E-04 
# Average Gg       l=1           [eV]: 4.229130E-06 
# Average level spacing D1 (l=1) [eV]: 1.428100E-01 
# Neutron strength function S1 (l=1) : 8.711270E-04 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -5.884078E-01      1.180000E-04     0       +7.00      3.347388E-05    1.000000E-06    4.330596E-06    3.000000E-06    +1.102139E-04   7.200000E-05    +0.000000E+00   0.000000E+00      hfr  
  -5.152953E-01      1.030000E-04     0       +7.00      1.657540E-05    0.000000E+00    4.330596E-06    3.000000E-06    +7.572137E-06   5.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -4.491961E-01      9.000000E-05     0       +7.00      1.167262E-05    0.000000E+00    4.330596E-06    3.000000E-06    +1.196528E-05   8.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -4.381144E-01      8.800000E-05     0       +7.00      1.785124E-04    3.000000E-06    4.330596E-06    3.000000E-06    +1.256806E-04   8.200000E-05    +0.000000E+00   0.000000E+00      hfr  
  -4.164698E-01      8.300000E-05     0       +7.00      2.713439E-07    0.000000E+00    4.330596E-06    3.000000E-06    +4.133137E-06   3.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -2.349970E-01      4.700000E-05     0       +7.00      3.405588E-05    1.000000E-06    4.330596E-06    3.000000E-06    +2.495699E-05   1.600000E-05    +0.000000E+00   0.000000E+00      hfr  
  -2.062399E-01      4.100000E-05     0       +7.00      1.149336E-05    0.000000E+00    4.330596E-06    3.000000E-06    +2.046749E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -1.840880E-01      3.700000E-05     0       +7.00      5.532752E-07    0.000000E+00    4.330596E-06    3.000000E-06    +7.948459E-05   5.200000E-05    +0.000000E+00   0.000000E+00      hfr  
  -1.546519E-01      3.100000E-05     0       +7.00      2.178856E-05    0.000000E+00    4.330596E-06    3.000000E-06    +2.221014E-05   1.500000E-05    +0.000000E+00   0.000000E+00      hfr  
  -3.664040E-02      7.000000E-06     0       +7.00      8.467217E-05    1.000000E-06    4.330596E-06    3.000000E-06    +6.235455E-06   4.000000E-06    +0.000000E+00   0.000000E+00      hfr  
