# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 07:21:29 2025
#                        
# Element                            : Rh
# Z                                  : 45
# A                                  : 93
# I                                  : 0
# Half-life                   [sec. ]: 13.9 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 4.111122E+01 
# Emax2 (background)             [eV]: 1.009240E+02 
# Number of resonances (<Emax)       : 25
# Number of resonances (<Emax2)      : 35
# Thermal (n,g) xs (systematics) [b.]: 2.162060E+01 
# Ress Int. (n,g) (systematics)  [b.]: 6.620180E+01 
# MACS 30 keV (calculated)       [b.]: 1.453800E-02
# Westcott factor (calculated)       : 1.018250E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 5.884240E+00 
# Res. Int (n,el) (calculated)   [b.]: 2.466570E+01 
#
# Scattering radius              [fm]: 6.02 +/- 6.02 
#
# Average Gtotal   l=0           [eV]: 8.433080E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 4.340000E+00 
# Average Gg       l=0           [eV]: 8.432140E-01 
# Average level spacing D0 (l=0) [eV]: 6.851870E+00 
# Neutron strength function S0 (l=0) : 1.115400E-01 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -9.089278E+01      1.817900E-02     0       +4.00      6.889849E-02    6.920000E-04    8.623376E-01    3.463990E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.159387E+01      1.631900E-02     0       +4.00      6.284637E-03    6.300000E-05    8.623376E-01    3.463990E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.934936E+01      1.587000E-02     0       +4.00      2.038884E-03    2.000000E-05    8.623376E-01    3.463990E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.890793E+01      1.578200E-02     0       +4.00      6.312336E-02    6.340000E-04    8.623376E-01    3.463990E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.402067E+01      1.480400E-02     0       +4.00      6.745048E-02    6.770000E-04    8.623376E-01    3.463990E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.850764E+01      1.370200E-02     0       +4.00      1.185664E-02    1.190000E-04    8.623376E-01    3.463990E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.192046E+01      1.238400E-02     0       +4.00      7.629300E-03    7.700000E-05    8.623376E-01    3.463990E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.642897E+01      1.128600E-02     0       +5.00      4.208846E-02    4.230000E-04    7.848552E-01    3.152740E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.152858E+01      1.030600E-02     0       +5.00      3.451355E-02    3.470000E-04    7.848552E-01    3.152740E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.934862E+01      9.870000E-03     0       +5.00      2.536932E-02    2.550000E-04    7.848552E-01    3.152740E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
