# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 19:53:35 2025
#                        
# Element                            : Rh
# Z                                  : 45
# A                                  : 108
# I                                  : 1
# Half-life                   [min. ]: 6 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 7.780390E+01 
# Emax2 (background)             [eV]: 2.728410E+02 
# Number of resonances (<Emax)       : 81
# Number of resonances (<Emax2)      : 232
# Thermal (n,g) xs (systematics) [b.]: 5.640210E+01 
# Ress Int. (n,g) (systematics)  [b.]: 1.192770E+02 
# MACS 30 keV (calculated)       [b.]: 1.639000E+00
# Westcott factor (calculated)       : 1.060090E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 4.962660E+00 
# Res. Int (n,el) (calculated)   [b.]: 2.519890E+01 
#
# Scattering radius              [fm]: 6.33 +/- 6.33 
#
# Average Gtotal   l=0           [eV]: 9.206380E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 5.534330E-06 
# Average Gg       l=0           [eV]: 9.203960E-02 
# Average level spacing D0 (l=0) [eV]: 1.234980E+00 
# Neutron strength function S0 (l=0) : 2.217050E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.235754E+01      4.472000E-03     0       +4.50      1.080816E-06    0.000000E+00    9.657101E-02    4.751100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.760081E+01      3.520000E-03     0       +4.50      3.642040E-07    0.000000E+00    9.657101E-02    4.751100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.612330E+01      3.225000E-03     0       +4.50      7.225345E-07    0.000000E+00    9.657101E-02    4.751100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.270863E+01      2.542000E-03     0       +4.50      9.492197E-07    0.000000E+00    9.657101E-02    4.751100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.130464E+01      2.261000E-03     0       +4.50      6.788614E-08    0.000000E+00    9.657101E-02    4.751100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.108058E+01      2.216000E-03     0       +4.50      3.673518E-06    0.000000E+00    9.657101E-02    4.751100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.044358E+01      2.089000E-03     0       +4.50      7.383056E-07    0.000000E+00    9.657101E-02    4.751100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.358988E+00      1.472000E-03     0       +4.50      2.128222E-05    0.000000E+00    9.657101E-02    4.751100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.182383E+00      1.436000E-03     0       +4.50      2.799540E-06    0.000000E+00    9.657101E-02    4.751100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.065134E+00      1.413000E-03     0       +4.50      3.054743E-05    0.000000E+00    9.657101E-02    4.751100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.915171E+00      1.383000E-03     0       +4.50      8.809138E-06    0.000000E+00    9.657101E-02    4.751100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.654947E+00      9.310000E-04     0       +4.50      5.496277E-06    0.000000E+00    9.657101E-02    4.751100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.560770E+00      5.120000E-04     0       +4.50      2.297438E-05    0.000000E+00    9.657101E-02    4.751100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.528788E+00      5.060000E-04     0       +4.50      3.894816E-05    0.000000E+00    9.657101E-02    4.751100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
