# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 20:12:03 2025
#                        
# Element                            : Rn
# Z                                  : 86
# A                                  : 200
# I                                  : 0
# Half-life                   [sec. ]: 1.09 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.523923E+01 
# Emax2 (background)             [eV]: 2.614060E+02 
# Number of resonances (<Emax)       : 65
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 1.163720E+02 
# Ress Int. (n,g) (systematics)  [b.]: 2.457400E+02 
# MACS 30 keV (calculated)       [b.]: 1.865000E+00
# Westcott factor (calculated)       : 1.099060E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 7.323360E+00 
# Res. Int (n,el) (calculated)   [b.]: 2.512170E+01 
#
# Scattering radius              [fm]: 7.76 +/- 7.76 
#
# Average Gtotal   l=0           [eV]: 7.388440E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 3.488900E-06 
# Average Gg       l=0           [eV]: 7.387620E-02 
# Average level spacing D0 (l=0) [eV]: 2.582920E-01 
# Neutron strength function S0 (l=0) : 1.373650E-05 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.828360E+00      3.660000E-04     0       +0.50      7.751267E-07    0.000000E+00    7.387625E-02    3.275400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.093470E+00      2.190000E-04     0       +0.50      5.888053E-06    0.000000E+00    7.387625E-02    3.275400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.175375E-01      1.640000E-04     0       +0.50      7.688118E-06    0.000000E+00    7.387625E-02    3.275400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.212464E-01      8.400000E-05     0       +0.50      1.820162E-06    0.000000E+00    7.387625E-02    3.275400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.265379E-01      4.500000E-05     0       +0.50      3.319443E-06    0.000000E+00    7.387625E-02    3.275400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.580995E-01      5.200000E-05     0       +0.50      4.742808E-06    0.000000E+00    7.387625E-02    3.275400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.212464E-01      8.400000E-05     0       +0.50      6.556164E-06    0.000000E+00    7.387625E-02    3.275400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.418549E-01      1.480000E-04     0       +0.50      1.952532E-08    0.000000E+00    7.387625E-02    3.275400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.161237E+00      2.320000E-04     0       +0.50      2.224069E-06    0.000000E+00    7.387625E-02    3.275400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.457615E+00      2.920000E-04     0       +0.50      9.894431E-07    0.000000E+00    7.387625E-02    3.275400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.991814E+00      3.980000E-04     0       +0.50      4.235609E-06    0.000000E+00    7.387625E-02    3.275400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.076656E+00      4.150000E-04     0       +0.50      9.744715E-06    0.000000E+00    7.387625E-02    3.275400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.669318E+00      5.340000E-04     0       +0.50      2.875234E-06    0.000000E+00    7.387625E-02    3.275400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.909756E+00      5.820000E-04     0       +0.50      1.252272E-05    0.000000E+00    7.387625E-02    3.275400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.512314E+00      7.020000E-04     0       +0.50      6.034368E-06    0.000000E+00    7.387625E-02    3.275400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
