# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 06:53:56 2025
#                        
# Element                            : Rn
# Z                                  : 86
# A                                  : 206
# I                                  : 0
# Half-life                   [min. ]: 5.67 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.771853E+02 
# Emax2 (background)             [eV]: 1.743600E+03 
# Number of resonances (<Emax)       : 60
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 4.823110E+01 
# Ress Int. (n,g) (systematics)  [b.]: 8.677110E+02 
# MACS 30 keV (calculated)       [b.]: 8.332800E-01
# Westcott factor (calculated)       : 1.006820E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 6.011470E+00 
# Res. Int (n,el) (calculated)   [b.]: 5.904960E+01 
#
# Scattering radius              [fm]: 7.83 +/- 7.83 
#
# Average Gtotal   l=0           [eV]: 1.035210E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.963840E-04 
# Average Gg       l=0           [eV]: 1.019940E-01 
# Average level spacing D0 (l=0) [eV]: 3.474220E+00 
# Neutron strength function S0 (l=0) : 5.763450E-05 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.176466E+01      4.353000E-03     0       +0.50      1.021134E-03    1.200000E-05    1.019936E-01    4.978000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.805250E+01      3.610000E-03     0       +0.50      1.149083E-03    1.400000E-05    1.019936E-01    4.978000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.640980E+01      3.282000E-03     0       +0.50      1.482518E-04    2.000000E-06    1.019936E-01    4.978000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.487070E+00      1.497000E-03     0       +0.50      8.482717E-04    1.000000E-05    1.019936E-01    4.978000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.474500E+00      1.495000E-03     0       +0.50      5.625053E-04    7.000000E-06    1.019936E-01    4.978000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -7.373545E+00      1.475000E-03     0       +0.50      9.266751E-05    1.000000E-06    1.019936E-01    4.978000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.440500E+00      1.088000E-03     0       +0.50      2.904001E-05    0.000000E+00    1.019936E-01    4.978000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.416330E+00      1.083000E-03     0       +0.50      3.878054E-04    5.000000E-06    1.019936E-01    4.978000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.379801E+00      4.760000E-04     0       +0.50      4.902459E-04    6.000000E-06    1.019936E-01    4.978000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.474500E+00      1.495000E-03     0       +0.50      4.439483E-03    5.400000E-05    1.019936E-01    4.978000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +8.662833E+00      1.733000E-03     0       +0.50      1.826761E-03    2.200000E-05    1.019936E-01    4.978000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.498960E+01      2.998000E-03     0       +0.50      5.863253E-05    1.000000E-06    1.019936E-01    4.978000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.154063E+01      4.308000E-03     0       +0.50      2.378288E-04    3.000000E-06    1.019936E-01    4.978000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.470841E+01      4.942000E-03     0       +0.50      1.060438E-06    0.000000E+00    1.019936E-01    4.978000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.816222E+01      5.632000E-03     0       +0.50      7.365000E-05    1.000000E-06    1.019936E-01    4.978000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.821966E+01      5.644000E-03     0       +0.50      3.722940E-03    4.500000E-05    1.019936E-01    4.978000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.724159E+01      7.448000E-03     0       +0.50      5.228090E-03    6.400000E-05    1.019936E-01    4.978000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.752380E+01      7.505000E-03     0       +0.50      2.572303E-06    0.000000E+00    1.019936E-01    4.978000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.881427E+01      7.763000E-03     0       +0.50      1.366806E-05    0.000000E+00    1.019936E-01    4.978000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
