# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 06:39:48 2025
#                        
# Element                            : Rn
# Z                                  : 86
# A                                  : 209
# I                                  : 0
# Half-life                   [min. ]: 28.8 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 5.247759E+01 
# Emax2 (background)             [eV]: 2.217220E+02 
# Number of resonances (<Emax)       : 49
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 4.036890E+01 
# Ress Int. (n,g) (systematics)  [b.]: 1.477110E+02 
# MACS 30 keV (calculated)       [b.]: 1.021400E+00
# Westcott factor (calculated)       : 1.075700E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 7.562920E+00 
# Res. Int (n,el) (calculated)   [b.]: 3.553280E+01 
#
# Scattering radius              [fm]: 7.87 +/- 7.87 
#
# Average Gtotal   l=0           [eV]: 1.414990E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.493600E-05 
# Average Gg       l=0           [eV]: 1.414490E-01 
# Average level spacing D0 (l=0) [eV]: 1.749250E+00 
# Neutron strength function S0 (l=0) : 4.389760E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -3.691430E+01      7.383000E-03     0       +2.00      5.800551E-06    0.000000E+00    1.430898E-01    7.443600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.065151E+01      6.130000E-03     0       +2.00      8.448597E-05    1.000000E-06    1.430898E-01    7.443600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.727380E+01      5.455000E-03     0       +2.00      4.496736E-06    0.000000E+00    1.430898E-01    7.443600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.528741E+01      5.057000E-03     0       +2.00      5.635733E-07    0.000000E+00    1.430898E-01    7.443600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.445135E+01      4.890000E-03     0       +2.00      5.105630E-05    1.000000E-06    1.430898E-01    7.443600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.302949E+01      4.606000E-03     0       +2.00      2.714814E-05    0.000000E+00    1.430898E-01    7.443600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.167747E+01      4.335000E-03     0       +2.00      2.209061E-05    0.000000E+00    1.430898E-01    7.443600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.089533E+01      4.179000E-03     0       +2.00      2.976595E-06    0.000000E+00    1.430898E-01    7.443600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.766319E+01      3.533000E-03     0       +2.00      1.556124E-04    2.000000E-06    1.430898E-01    7.443600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.639733E+01      3.279000E-03     0       +2.00      5.709419E-05    1.000000E-06    1.430898E-01    7.443600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.344711E+01      2.689000E-03     0       +2.00      4.019494E-07    0.000000E+00    1.430898E-01    7.443600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.228275E+01      2.457000E-03     0       +2.00      8.113932E-05    1.000000E-06    1.430898E-01    7.443600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.076423E+01      2.153000E-03     0       +2.00      4.890321E-05    1.000000E-06    1.430898E-01    7.443600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.247919E+00      1.450000E-03     0       +2.00      1.468345E-04    2.000000E-06    1.430898E-01    7.443600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.006037E+00      1.401000E-03     0       +2.00      3.306940E-05    0.000000E+00    1.430898E-01    7.443600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.922388E+00      1.384000E-03     0       +2.00      9.594058E-08    0.000000E+00    1.430898E-01    7.443600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.693583E+00      9.390000E-04     0       +2.00      1.328004E-06    0.000000E+00    1.430898E-01    7.443600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.924128E+00      5.850000E-04     0       +2.00      2.852328E-05    0.000000E+00    1.430898E-01    7.443600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.491265E+00      4.980000E-04     0       +2.00      9.594500E-06    0.000000E+00    1.430898E-01    7.443600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +4.177667E-01      8.400000E-05     0       +2.00      1.382091E-05    0.000000E+00    1.430898E-01    7.443600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.491265E+00      4.980000E-04     0       +2.00      1.703754E-05    0.000000E+00    1.430898E-01    7.443600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +3.250956E+00      6.500000E-04     0       +2.00      3.488635E-04    5.000000E-06    1.430898E-01    7.443600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.704853E+00      7.410000E-04     0       +2.00      2.446065E-05    0.000000E+00    1.430898E-01    7.443600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.861826E+00      7.720000E-04     0       +3.00      4.709649E-07    0.000000E+00    1.412060E-01    7.345600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.591222E+00      9.180000E-04     0       +3.00      9.947665E-05    1.000000E-06    1.412060E-01    7.345600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
