# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 07:50:21 2025
#                        
# Element                            : Rn
# Z                                  : 86
# A                                  : 231
# I                                  : 0
# Half-life                   [sec. ]: 2 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 9.658054E+01 
# Emax2 (background)             [eV]: 2.236530E+03 
# Number of resonances (<Emax)       : 96
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 3.672480E+01 
# Ress Int. (n,g) (systematics)  [b.]: 1.522210E+02 
# MACS 30 keV (calculated)       [b.]: 2.556500E-01
# Westcott factor (calculated)       : 5.147930E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 1.264350E+02 
# Res. Int (n,el) (calculated)   [b.]: 2.572160E+04 
#
# Thermal  (n,f) xs              [b.]: 1.241710E-02 (Syst.) 
# Resonance Integral (n,f) xs    [b.]: 4.704730E-02
#
# Scattering radius              [fm]: 8.13 +/- 8.13 
#
# Average Gtotal   l=0           [eV]: 1.156840E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.452800E-03 
# Average Gg       l=0           [eV]: 5.202190E-05 
# Average level spacing D0 (l=0) [eV]: 1.254290E+00 
# Neutron strength function S0 (l=0) : 9.692650E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.338755E+01      4.678000E-03     0       +2.00      1.386838E-02    2.640000E-04    5.281007E-05    4.000000E-05    +1.785565E-08   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.127760E+01      4.256000E-03     0       +2.00      8.510819E-03    1.620000E-04    5.281007E-05    4.000000E-05    +1.785565E-08   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.079963E+01      4.160000E-03     0       +2.00      1.828869E-03    3.500000E-05    5.281007E-05    4.000000E-05    +1.785565E-08   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.980027E+01      3.960000E-03     0       +2.00      2.366424E-02    4.500000E-04    5.281007E-05    4.000000E-05    +1.785565E-08   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.797822E+01      3.596000E-03     0       +2.00      2.732465E-03    5.200000E-05    5.281007E-05    4.000000E-05    +1.785565E-08   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.364347E+01      2.729000E-03     0       +2.00      8.430260E-02    1.602000E-03    5.281007E-05    4.000000E-05    +1.785565E-08   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.296360E+01      2.593000E-03     0       +2.00      8.124005E-05    2.000000E-06    5.281007E-05    4.000000E-05    +1.785565E-08   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.144047E+01      2.288000E-03     0       +2.00      4.661021E-02    8.860000E-04    5.281007E-05    4.000000E-05    +1.785565E-08   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.071229E+01      2.142000E-03     0       +2.00      1.440819E-02    2.740000E-04    5.281007E-05    4.000000E-05    +1.785565E-08   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.006874E+01      2.014000E-03     0       +2.00      1.249636E-02    2.380000E-04    5.281007E-05    4.000000E-05    +1.785565E-08   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
