# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 20:00:11 2025
#                        
# Element                            : Ru
# Z                                  : 44
# A                                  : 109
# I                                  : 0
# Half-life                   [sec. ]: 34.4 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.314986E+02 
# Emax2 (background)             [eV]: 1.823440E+03 
# Number of resonances (<Emax)       : 47
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 1.302260E+01 
# Ress Int. (n,g) (systematics)  [b.]: 3.358570E+02 
# MACS 30 keV (calculated)       [b.]: 1.982900E-01
# Westcott factor (calculated)       : 1.001810E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 7.529100E+00 
# Res. Int (n,el) (calculated)   [b.]: 3.776350E+02 
#
# Scattering radius              [fm]: 6.35 +/- 6.35 
#
# Average Gtotal   l=0           [eV]: 1.405860E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 7.880240E-03 
# Average Gg       l=0           [eV]: 4.275040E-02 
# Average level spacing D0 (l=0) [eV]: 1.006520E+01 
# Neutron strength function S0 (l=0) : 4.765620E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -3.916455E+02      7.832900E-02     0       +2.00      5.180232E-04    7.000000E-06    4.485673E-02    2.566600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.794655E+02      7.589300E-02     0       +2.00      2.139397E-02    3.060000E-04    4.485673E-02    2.566600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.024692E+02      6.049400E-02     0       +2.00      1.650661E-02    2.360000E-04    4.485673E-02    2.566600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.845344E+02      5.690700E-02     0       +2.00      2.792857E-02    4.000000E-04    4.485673E-02    2.566600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.789545E+02      5.579100E-02     0       +2.00      1.396653E-01    1.998000E-03    4.485673E-02    2.566600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.041729E+02      4.083500E-02     0       +2.00      1.332960E-04    2.000000E-06    4.485673E-02    2.566600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.935109E+02      3.870200E-02     0       +2.00      1.700768E-01    2.433000E-03    4.485673E-02    2.566600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.926996E+02      3.854000E-02     0       +2.00      4.676010E-03    6.700000E-05    4.485673E-02    2.566600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.730077E+02      3.460200E-02     0       +2.00      3.074064E-03    4.400000E-05    4.485673E-02    2.566600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.637455E+02      3.274900E-02     0       +2.00      9.835720E-02    1.407000E-03    4.485673E-02    2.566600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
