# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 20:10:05 2025
#                        
# Element                            : Ru
# Z                                  : 44
# A                                  : 111
# I                                  : 0
# Half-life                   [sec. ]: 2.12 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 3.702576E+01 
# Emax2 (background)             [eV]: 2.090170E+03 
# Number of resonances (<Emax)       : 33
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 9.432430E+00 
# Ress Int. (n,g) (systematics)  [b.]: 2.354650E+02 
# MACS 30 keV (calculated)       [b.]: 7.544500E-02
# Westcott factor (calculated)       : 1.000540E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 5.344330E+01 
# Res. Int (n,el) (calculated)   [b.]: 6.128120E+02 
#
# Scattering radius              [fm]: 6.39 +/- 6.39 
#
# Average Gtotal   l=0           [eV]: 1.347690E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 9.716170E+02 
# Average Gg       l=0           [eV]: 4.388440E-02 
# Average level spacing D0 (l=0) [eV]: 3.702570E+01 
# Neutron strength function S0 (l=0) : 4.373610E+00 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.323519E+03      2.647040E-01     0       +2.00      3.147956E-01    4.929000E-03    2.823771E-02    1.768600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.092939E+03      2.185880E-01     0       +2.00      7.519368E-01    1.177400E-02    2.823771E-02    1.768600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.988766E+02      1.397750E-01     0       +2.00      6.008054E-02    9.410000E-04    2.823771E-02    1.768600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.242280E+02      1.048460E-01     0       +2.00      2.459861E-01    3.852000E-03    2.823771E-02    1.768600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.195231E+02      1.039050E-01     0       +2.00      3.342041E-01    5.233000E-03    2.823771E-02    1.768600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.758156E+02      9.516300E-02     0       +2.00      3.474635E-01    5.441000E-03    2.823771E-02    1.768600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.677021E+02      9.354000E-02     0       +2.00      5.422686E-02    8.490000E-04    2.823771E-02    1.768600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.664480E+02      9.329000E-02     0       +2.00      3.816127E-03    6.000000E-05    2.823771E-02    1.768600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.113960E+02      8.227900E-02     0       +2.00      7.066063E-02    1.106000E-03    2.823771E-02    1.768600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.018872E+02      8.037700E-02     0       +2.00      1.469966E-02    2.300000E-04    2.823771E-02    1.768600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
