# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 20:11:25 2025
#                        
# Element                            : Ru
# Z                                  : 44
# A                                  : 112
# I                                  : 0
# Half-life                   [sec. ]: 1.75 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.016948E+02 
# Emax2 (background)             [eV]: 1.000000E+04 
# Number of resonances (<Emax)       : 15
# Number of resonances (<Emax2)      : 89
# Thermal (n,g) xs (systematics) [b.]: 2.876420E+00 
# Ress Int. (n,g) (systematics)  [b.]: 4.849830E+00 
# MACS 30 keV (calculated)       [b.]: 7.423900E-03
# Westcott factor (calculated)       : 1.000520E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 1.393450E+01 
# Res. Int (n,el) (calculated)   [b.]: 8.637670E+01 
#
# Scattering radius              [fm]: 6.41 +/- 6.41 
#
# Average Gtotal   l=0           [eV]: 1.845700E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.650680E-02 
# Average Gg       l=0           [eV]: 1.810960E-02 
# Neutron strength function S0 (l=0) : 1.650680E-02 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.576940E+03      3.153880E-01     0       +0.50      5.341164E-03    8.700000E-05    1.810965E-02    1.181500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.211334E+03      2.422670E-01     0       +0.50      2.908817E-01    4.744000E-03    1.810965E-02    1.181500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.046964E+03      2.093930E-01     0       +0.50      3.947733E-02    6.440000E-04    1.810965E-02    1.181500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.302664E+02      1.660530E-01     0       +0.50      2.364762E-03    3.900000E-05    1.810965E-02    1.181500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.486521E+02      1.297300E-01     0       +0.50      1.117284E-01    1.822000E-03    1.810965E-02    1.181500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.279470E+02      1.255890E-01     0       +0.50      3.308566E-05    1.000000E-06    1.810965E-02    1.181500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.895649E+02      1.179130E-01     0       +0.50      6.714599E-02    1.095000E-03    1.810965E-02    1.181500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -5.534724E+02      1.106940E-01     0       +0.50      3.429908E-01    5.594000E-03    1.810965E-02    1.181500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.321794E+02      1.064360E-01     0       +0.50      1.877217E-01    3.062000E-03    1.810965E-02    1.181500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.538728E+02      7.077500E-02     0       +0.50      4.319572E-02    7.050000E-04    1.810965E-02    1.181500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.346775E+02      4.693600E-02     0       +0.50      3.110786E-02    5.070000E-04    1.810965E-02    1.181500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.532097E+02      3.064200E-02     0       +0.50      5.877358E-02    9.590000E-04    1.810965E-02    1.181500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.929566E+01      1.785900E-02     0       +0.50      8.734698E-03    1.420000E-04    1.810965E-02    1.181500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.103199E+01      1.020600E-02     0       +0.50      6.712982E-01    1.094900E-02    1.810965E-02    1.181500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.016948E+02      2.033900E-02     0       +0.50      1.664604E-01    2.715000E-03    1.810965E-02    1.181500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.463050E+02      2.926100E-02     1       +0.50      3.082797E-03    5.000000E-05    2.673880E-02    1.744500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.329528E+02      8.659100E-02     1       +0.50      5.605724E-04    9.000000E-06    2.673880E-02    1.744500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.622311E+02      1.124460E-01     1       +0.50      9.557646E-03    1.560000E-04    2.673880E-02    1.744500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.235867E+02      1.447170E-01     1       +0.50      4.998808E-04    8.000000E-06    2.673880E-02    1.744500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.629035E+02      1.525810E-01     1       +0.50      3.823500E-03    6.200000E-05    2.673880E-02    1.744500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.981744E+02      1.596350E-01     1       +0.50      8.607622E-02    1.404000E-03    2.673880E-02    1.744500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.032247E+02      1.606450E-01     1       +0.50      7.588088E-03    1.240000E-04    2.673880E-02    1.744500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.501216E+02      1.900240E-01     1       +0.50      6.063109E-04    1.000000E-05    2.673880E-02    1.744500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
