# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Dec  3 01:09:41 2025
#                        
# Element                            : S
# Z                                  : 16
# A                                  : 31
# I                                  : 0
# Half-life                   [sec. ]: 2.553 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 8.869006E+03 
# Emax2 (background)             [eV]: 1.000000E+05 
# Number of resonances (<Emax)       : 29
# Number of resonances (<Emax2)      : 76
# Thermal (n,g) xs (systematics) [b.]: 1.100820E+00 
# Ress Int. (n,g) (systematics)  [b.]: 7.484060E-01 
# MACS 30 keV (calculated)       [b.]: 1.158000E-02
# Westcott factor (calculated)       : 1.000570E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 6.143060E+01 
# Res. Int (n,el) (calculated)   [b.]: 6.194060E+02 
#
# Scattering radius              [fm]: 4.19 +/- 4.19 
#
# Average Gtotal   l=0           [eV]: 7.307050E+02 
# Average reduced (Gn^0) Gn l=0  [eV]: 3.656360E+03 
# Average Gg       l=0           [eV]: 8.381750E-01 
# Average level spacing D0 (l=0) [eV]: 1.773800E+03 
# Neutron strength function S0 (l=0) : 2.074740E-01 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -3.110116E+04      6.220232E+00     0       +0.00      8.641021E+02    8.640433E+00    3.632059E-01    1.452720E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.684255E+04      5.368510E+00     0       +0.00      2.684938E+02    2.684755E+00    3.632059E-01    1.452720E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.572966E+04      5.145932E+00     0       +0.00      7.432575E+03    7.432070E+01    3.632059E-01    1.452720E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.507395E+04      5.014790E+00     0       +0.00      3.349383E+02    3.349155E+00    3.632059E-01    1.452720E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.504302E+04      5.008604E+00     0       +0.00      2.054139E+02    2.053999E+00    3.632059E-01    1.452720E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.296955E+04      4.593910E+00     0       +0.00      1.224383E+04    1.224300E+02    3.632059E-01    1.452720E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.226219E+04      4.452438E+00     0       +1.00      1.405438E+03    1.405342E+01    4.014988E-01    1.605890E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.211444E+04      4.422888E+00     0       +1.00      3.721857E+02    3.721604E+00    4.014988E-01    1.605890E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.162489E+04      4.324978E+00     0       +1.00      1.000501E+02    1.000433E+00    4.014988E-01    1.605890E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.729665E+04      3.459330E+00     0       +1.00      1.334894E+02    1.334803E+00    4.014988E-01    1.605890E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
