# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Dec  3 01:21:09 2025
#                        
# Element                            : Sb
# Z                                  : 51
# A                                  : 114
# I                                  : 0
# Half-life                   [min. ]: 3.49 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.188367E+01 
# Emax2 (background)             [eV]: 1.373880E+02 
# Number of resonances (<Emax)       : 90
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 6.142130E+01 
# Ress Int. (n,g) (systematics)  [b.]: 2.006120E+02 
# MACS 30 keV (calculated)       [b.]: 2.130200E+00
# Westcott factor (calculated)       : 1.051700E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 5.090600E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.942050E+01 
#
# Scattering radius              [fm]: 6.44 +/- 6.44 
#
# Average Gtotal   l=0           [eV]: 1.922520E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.058120E-06 
# Average Gg       l=0           [eV]: 1.922480E-01 
# Average level spacing D0 (l=0) [eV]: 3.039400E-01 
# Neutron strength function S0 (l=0) : 3.269610E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -5.638838E+00      1.128000E-03     0       +2.50      5.490510E-06    0.000000E+00    1.968645E-01    8.179900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.418154E+00      1.084000E-03     0       +2.50      8.936240E-06    0.000000E+00    1.968645E-01    8.179900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.934141E+00      9.870000E-04     0       +2.50      1.203681E-05    0.000000E+00    1.968645E-01    8.179900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.275896E+00      8.550000E-04     0       +2.50      3.350228E-06    0.000000E+00    1.968645E-01    8.179900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.658655E+00      7.320000E-04     0       +2.50      2.274752E-05    0.000000E+00    1.968645E-01    8.179900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.552767E+00      7.110000E-04     0       +2.50      5.280361E-07    0.000000E+00    1.968645E-01    8.179900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.908457E+00      5.820000E-04     0       +2.50      4.138328E-06    0.000000E+00    1.968645E-01    8.179900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.898165E+00      5.800000E-04     0       +2.50      1.404479E-06    0.000000E+00    1.968645E-01    8.179900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.615954E+00      5.230000E-04     0       +2.50      3.028714E-06    0.000000E+00    1.968645E-01    8.179900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.416575E+00      4.830000E-04     0       +2.50      1.889950E-06    0.000000E+00    1.968645E-01    8.179900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.210123E+00      4.420000E-04     0       +2.50      1.214381E-06    0.000000E+00    1.968645E-01    8.179900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.829554E+00      3.660000E-04     0       +2.50      1.174694E-07    0.000000E+00    1.968645E-01    8.179900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.030222E+00      2.060000E-04     0       +2.50      2.169009E-06    0.000000E+00    1.968645E-01    8.179900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.963263E-01      1.790000E-04     0       +2.50      7.820939E-06    0.000000E+00    1.968645E-01    8.179900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.733252E-01      1.550000E-04     0       +2.50      7.409867E-08    0.000000E+00    1.968645E-01    8.179900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
