# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 21:15:33 2025
#                        
# Element                            : Sb
# Z                                  : 51
# A                                  : 124
# I                                  : 2
# Half-life                   [min. ]: 20.2 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.978156E+01 
# Emax2 (background)             [eV]: 2.234890E+02 
# Number of resonances (<Emax)       : 30
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 3.169540E+01 
# Ress Int. (n,g) (systematics)  [b.]: 1.998980E+02 
# MACS 30 keV (calculated)       [b.]: 7.960000E-01
# Westcott factor (calculated)       : 9.894400E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 5.870640E+00 
# Res. Int (n,el) (calculated)   [b.]: 2.314520E+01 
#
# Scattering radius              [fm]: 6.62 +/- 6.62 
#
# Average Gtotal   l=0           [eV]: 8.820460E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 9.899780E-05 
# Average Gg       l=0           [eV]: 8.788130E-02 
# Average level spacing D0 (l=0) [eV]: 2.707410E+00 
# Neutron strength function S0 (l=0) : 2.111800E-05 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -5.953924E+01      1.190800E-02     0       +7.50      4.998025E-04    7.000000E-06    9.482615E-02    4.943900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.373034E+01      1.074600E-02     0       +7.50      3.262709E-07    0.000000E+00    9.482615E-02    4.943900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.724064E+01      9.448000E-03     0       +7.50      1.443328E-05    0.000000E+00    9.482615E-02    4.943900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.620468E+01      9.241000E-03     0       +7.50      1.389882E-04    2.000000E-06    9.482615E-02    4.943900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.591441E+01      9.183000E-03     0       +7.50      2.446887E-05    0.000000E+00    9.482615E-02    4.943900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.166958E+01      8.334000E-03     0       +7.50      2.502412E-05    0.000000E+00    9.482615E-02    4.943900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.480168E+01      6.960000E-03     0       +7.50      2.352140E-03    3.100000E-05    9.482615E-02    4.943900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.478283E+01      6.957000E-03     0       +7.50      3.116591E-04    4.000000E-06    9.482615E-02    4.943900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.073261E+01      6.147000E-03     0       +7.50      1.684672E-04    2.000000E-06    9.482615E-02    4.943900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.782023E+01      5.564000E-03     0       +7.50      1.186250E-05    0.000000E+00    9.482615E-02    4.943900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
