# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Dec  3 01:22:01 2025
#                        
# Element                            : Sb
# Z                                  : 51
# A                                  : 132
# I                                  : 0
# Half-life                   [min. ]: 2.79 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.152963E+04 
# Emax2 (background)             [eV]: 2.000000E+04 
# Number of resonances (<Emax)       : 22
# Number of resonances (<Emax2)      : 26
# Thermal (n,g) xs (systematics) [b.]: 1.024050E+00 
# Ress Int. (n,g) (systematics)  [b.]: 8.194580E-01 
# MACS 30 keV (calculated)       [b.]: 1.341700E-02
# Westcott factor (calculated)       : 1.000570E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 1.024450E+02 
# Res. Int (n,el) (calculated)   [b.]: 1.687150E+03 
#
# Scattering radius              [fm]: 6.76 +/- 6.76 
#
# Average Gtotal   l=0           [eV]: 7.726150E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 8.911020E+03 
# Average Gg       l=0           [eV]: 2.954480E-01 
# Average level spacing D0 (l=0) [eV]: 1.647090E+03 
# Neutron strength function S0 (l=0) : 2.897860E-01 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.653671E+04      3.307342E+00     0       +3.50      1.584844E+04    2.758123E+02    3.839470E-01    2.672750E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.505994E+04      3.011988E+00     0       +3.50      9.039100E+03    1.573085E+02    3.839470E-01    2.672750E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.313221E+04      2.626442E+00     0       +4.50      4.578812E+03    7.968561E+01    3.778815E-01    2.630530E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.152963E+04      2.305926E+00     0       +4.50      4.451020E+03    7.746164E+01    3.778815E-01    2.630530E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.026183E+04      2.052366E+00     1       +2.50      7.559179E+02    1.315533E+01    1.661244E+00    1.156433E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.818479E+03      1.763696E+00     1       +2.50      4.423860E+00    7.698900E-02    1.661244E+00    1.156433E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.665898E+03      1.533180E+00     1       +3.50      3.091652E-01    5.380000E-03    1.351944E+00    9.411210E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.150535E+03      1.230107E+00     1       +3.50      4.853177E+02    8.446042E+00    1.351944E+00    9.411210E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.076823E+03      1.215365E+00     1       +3.50      1.048439E+00    1.824600E-02    1.351944E+00    9.411210E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.086449E+03      6.172900E-01     1       +3.50      6.009024E+03    1.045758E+02    1.351944E+00    9.411210E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.252537E+03      4.505070E-01     1       +4.50      7.565836E+01    1.316692E+00    1.026957E+00    7.148900E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.218577E+03      4.437150E-01     1       +4.50      1.609062E+03    2.800270E+01    1.026957E+00    7.148900E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.783167E+03      3.566330E-01     1       +5.50      1.213199E+03    2.111345E+01    1.870846E-01    1.302340E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.348613E+02      1.869720E-01     1       +5.50      2.437479E+03    4.241974E+01    1.870846E-01    1.302340E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.105065E+02      1.221010E-01     2       +1.50      3.335721E-01    5.805000E-03    3.126554E-01    2.176470E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.937303E+03      5.874610E-01     2       +2.50      1.668626E-02    2.900000E-04    4.529244E-01    3.152920E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.898921E+03      9.797840E-01     2       +4.50      7.234956E-01    1.259100E-02    3.778815E-01    2.630530E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.527535E+03      1.105507E+00     2       +4.50      3.314624E-01    5.768000E-03    3.778815E-01    2.630530E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +6.826649E+03      1.365330E+00     2       +5.50      1.986609E+00    3.457300E-02    2.105608E-01    1.465770E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.429230E+03      1.685846E+00     2       +5.50      3.231320E-01    5.624000E-03    2.105608E-01    1.465770E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.697024E+03      1.939405E+00     2       +5.50      3.910672E-02    6.810000E-04    2.105608E-01    1.465770E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.114038E+04      2.228076E+00     2       +5.50      6.327383E-02    1.101000E-03    2.105608E-01    1.465770E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.229296E+04      2.458592E+00     2       +6.50      3.624661E+00    6.308000E-02    2.177369E-01    1.515720E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.388204E+04      2.776408E+00     2       +6.50      1.281004E-01    2.229000E-03    2.177369E-01    1.515720E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
