# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Dec  3 01:21:16 2025
#                        
# Element                            : Se
# Z                                  : 34
# A                                  : 84
# I                                  : 0
# Half-life                   [min. ]: 3.26 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 6.689399E+03 
# Emax2 (background)             [eV]: 4.694660E+05 
# Number of resonances (<Emax)       : 15
# Number of resonances (<Emax2)      : 84
# Thermal (n,g) xs (systematics) [b.]: 4.641090E-01 
# Ress Int. (n,g) (systematics)  [b.]: 2.143450E-01 
# MACS 30 keV (calculated)       [b.]: 2.315900E-03
# Westcott factor (calculated)       : 1.000540E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 1.733270E+01 
# Res. Int (n,el) (calculated)   [b.]: 1.368450E+02 
#
# Scattering radius              [fm]: 5.83 +/- 5.83 
#
# Average Gtotal   l=0           [eV]: 4.773730E+01 
# Average reduced (Gn^0) Gn l=0  [eV]: 5.839140E-01 
# Average Gg       l=0           [eV]: 5.945220E-02 
# Average level spacing D0 (l=0) [eV]: 6.689400E+03 
# Neutron strength function S0 (l=0) : 1.745790E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -7.077887E+04      1.415577E+01     0       +0.50      7.011732E+01    9.893010E-01    5.945222E-02    3.355300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.267480E+04      1.053496E+01     0       +0.50      3.041863E-01    4.292000E-03    5.945222E-02    3.355300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.438505E+04      8.877010E+00     0       +0.50      2.346905E+01    3.311300E-01    5.945222E-02    3.355300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.155033E+04      8.310066E+00     0       +0.50      1.232960E+00    1.739600E-02    5.945222E-02    3.355300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.323699E+04      6.647398E+00     0       +0.50      7.736972E+00    1.091630E-01    5.945222E-02    3.355300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.160324E+04      6.320648E+00     0       +0.50      7.661964E+00    1.081040E-01    5.945222E-02    3.355300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.720074E+04      5.440148E+00     0       +0.50      4.508724E+00    6.361500E-02    5.945222E-02    3.355300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.699487E+04      5.398974E+00     0       +0.50      4.896671E+00    6.908800E-02    5.945222E-02    3.355300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.499093E+04      2.998186E+00     0       +0.50      1.356148E+00    1.913400E-02    5.945222E-02    3.355300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.009808E+04      2.019616E+00     0       +0.50      4.036281E+01    5.694880E-01    5.945222E-02    3.355300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.513428E+03      1.902686E+00     0       +0.50      3.429023E+01    4.838090E-01    5.945222E-02    3.355300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.228084E+03      1.645617E+00     0       +0.50      2.515972E+01    3.549840E-01    5.945222E-02    3.355300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.728574E+03      1.345715E+00     0       +0.50      6.783551E-02    9.570000E-04    5.945222E-02    3.355300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -1.437927E+03      2.875850E-01     0       +0.50      1.429971E+02    2.017579E+00    5.945222E-02    3.355300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.488490E+03      8.976980E-01     0       +0.50      7.219449E-01    1.018600E-02    5.945222E-02    3.355300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.689399E+03      1.337880E+00     0       +0.50      9.463381E+01    1.335210E+00    5.945222E-02    3.355300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
