# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 21:11:04 2025
#                        
# Element                            : Si
# Z                                  : 14
# A                                  : 31
# I                                  : 0
# Half-life                   [hours]: 2.61944 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 4.739190E+05 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 62
# Number of resonances (<Emax2)      : 64
# Thermal  (n,g) xs (calculated) [b.]: 7.295370E-02 
# Thermal  (n,g) xs (experiment) [b.]: 0.073 +/- 0.006 
# Res. Int (n,g) (calculated)    [b.]: 3.279080E-02  
# Res. Int (n,g) (experiment)    [b.]: 0.033 +/- 0.003 
# MACS 30 keV (calculated)       [b.]: 4.853700E-04
# Westcott factor (calculated)       : 1.000560E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 1.414250E+00 
# Res. Int (n,el) (calculated)   [b.]: 6.773460E+01 
#
# Scattering radius              [fm]: 4.19 +/- 0.29 
#
# Average Gtotal   l=0           [eV]: 3.007680E+04 
# Average reduced (Gn^0) Gn l=0  [eV]: 6.867330E+01 
# Average Gg       l=0           [eV]: 2.324940E-01 
# Average level spacing D0 (l=0) [eV]: 5.923990E+04 
# Neutron strength function S0 (l=0) : 6.938310E-04 
#
# Average Gtotal   l=1           [eV]: 4.211650E+04 
# Average reduced (Gn^1) Gn l=1  [eV]: 8.379940E+02 
# Average Gg       l=1           [eV]: 2.564150E-01 
# Average level spacing D1 (l=1) [eV]: 4.308350E+04 
# Neutron strength function S1 (l=1) : 3.190500E-03 
#
# Average Gtotal   l=2           [eV]: 4.953280E+02 
# Average reduced (Gn^2) Gn l=2  [eV]: 1.778260E+02 
# Average Gg       l=2           [eV]: 1.669270E-01 
# Average level spacing D2 (l=2) [eV]: 3.949320E+04 
# Neutron strength function S2 (l=2) : 6.512130E-04 
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -4.530800E+05      9.061600E+00     1       +0.00      4.577100E+05    4.715100E+01    5.199700E-02    2.140000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -4.416100E+05      8.832200E+00     2       +4.00      1.013000E+02    1.043500E-02    7.108900E-02    2.930000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -3.911300E+05      7.822700E+00     1       +1.00      2.770300E+04    2.853900E+01    5.111600E-01    2.106000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -3.794400E+05      7.588800E+00     2       +4.00      2.016600E+03    2.077400E-01    7.108900E-02    2.930000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -3.687000E+05      7.374100E+00     2       +1.00      1.340800E+02    1.381200E-02    3.835500E-01    1.580000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -3.440300E+05      6.880700E+00     1       +1.00      5.049300E+04    5.201500E+00    5.111600E-01    2.106000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -3.377000E+05      6.754100E+00     1       +3.00      6.107900E+03    6.292000E-01    1.580600E-01    6.510000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -3.324500E+05      6.649000E+00     2       +0.00      4.619900E+02    4.759100E-02    5.241900E-02    2.160000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -3.124900E+05      6.249800E+00     0       +1.00      1.020500E+04    1.051300E+00    3.835500E-01    1.580000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.997700E+05      5.995400E+00     2       +3.00      3.543200E+02    3.650000E-02    1.322900E-01    5.450000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.927300E+05      5.854600E+00     0       +2.00      1.574300E+05    1.621800E+01    1.116500E-01    4.600000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.554800E+05      5.109600E+00     2       +3.00      5.263000E+02    5.421700E-02    1.322900E-01    5.450000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.246100E+05      4.492200E+00     0       +1.00      5.533200E+02    5.700000E-02    3.835500E-01    1.580000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.057800E+05      4.115700E+00     2       +2.00      1.238400E+03    1.275700E-01    1.116500E-01    4.600000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.881800E+05      3.763600E+00     2       +1.00      1.560400E+01    1.607000E-03    3.835500E-01    1.580000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.787400E+05      3.574900E+00     1       +2.00      1.239100E+04    1.276500E+00    1.265400E-01    5.210000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.758300E+05      3.516600E+00     0       +2.00      2.320500E+04    2.390400E+00    1.116500E-01    4.600000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.568300E+05      3.136700E+00     1       +3.00      4.300200E+03    4.429800E-01    1.580600E-01    6.510000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.556700E+05      3.113400E+00     2       +2.00      6.464000E+01    6.659000E-03    1.116500E-01    4.600000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.393000E+05      2.786100E+00     2       +3.00      2.690600E+00    1.770000E-04    1.322900E-01    1.450000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.200200E+05      2.400500E+00     2       +1.00      6.415000E+01    6.608000E-03    3.835500E-01    1.580000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -9.799600E+04      1.959900E+00     2       +0.00      2.562600E+01    2.640000E-03    5.241900E-02    2.160000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -9.797700E+04      1.959500E+00     1       +1.00      1.752300E+02    1.805100E-02    5.111600E-01    2.106000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -8.707400E+04      1.741500E+00     2       +2.00      7.019900E+00    7.230000E-04    1.116500E-01    4.600000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -6.795100E+04      1.359000E+00     0       +2.00      3.316800E+02    3.416800E-02    1.116500E-01    4.600000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.608100E+04      5.216200E-01     0       +1.00      8.821300E+03    9.087200E-01    3.835500E-01    1.580000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.237600E+04      4.475300E-01     1       +2.00      1.379300E+02    1.420800E-02    1.265400E-01    5.210000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.974400E+04      3.948800E-01     1       +3.00      1.988300E+03    2.048300E-01    1.580600E-01    1.513000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.996200E+04      3.992500E-01     0       +2.00      1.130800E+03    1.164900E-01    1.116500E-01    4.600000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.677400E+04      7.354900E-01     1       +1.00      1.157200E+04    1.192100E+00    5.111600E-01    1.106000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.691900E+04      9.383900E-01     1       +0.00      2.105400E+04    2.168900E+00    5.199700E-02    2.140000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.364000E+04      1.872800E+00     0       +1.00      4.768300E+04    4.912000E+00    3.835500E-01    1.580000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.088600E+05      2.177200E+00     1       +1.00      5.084200E+03    5.237400E-01    5.111600E-01    1.106000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.126500E+05      2.253100E+00     0       +2.00      1.094000E+04    1.127000E+00    1.116500E-01    1.600000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.205500E+05      2.411100E+00     2       +4.00      1.255900E+02    1.293700E-02    7.108900E-02    2.930000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.312100E+05      2.624300E+00     1       +3.00      3.401200E+04    3.503700E+00    1.580600E-01    6.510000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.312900E+05      2.625800E+00     2       +1.00      1.102100E+01    1.135000E-03    3.835500E-01    1.580000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.557600E+05      3.115200E+00     1       +2.00      1.260700E+04    1.298700E+00    1.265400E-01    5.210000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.559600E+05      3.119200E+00     1       +1.00      1.787400E+04    1.841300E+00    5.111600E-01    2.106000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.622900E+05      3.245800E+00     1       +3.00      2.336400E+03    2.406800E-01    1.580600E-01    6.510000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.675400E+05      3.350900E+00     2       +0.00      8.823300E+01    9.089000E-03    5.241900E-02    2.160000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.703600E+05      3.407200E+00     2       +2.00      1.287700E+01    1.327000E-03    1.116500E-01    4.600000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.875000E+05      3.750100E+00     0       +1.00      7.905300E+03    8.143600E-01    3.835500E-01    1.580000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.002200E+05      4.004500E+00     2       +3.00      1.337500E+02    1.377800E-02    1.322900E-01    5.450000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.071000E+05      4.142100E+00     1       +2.00      4.094700E+04    4.218100E+00    1.265400E-01    5.210000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.072600E+05      4.145300E+00     0       +2.00      1.324700E+05    1.364700E+01    1.116500E-01    4.600000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.445100E+05      4.890300E+00     2       +3.00      4.734400E+02    4.877100E-02    1.322900E-01    5.450000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.753800E+05      5.507700E+00     0       +1.00      6.126700E+02    6.311400E-02    3.835500E-01    1.580000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.942100E+05      5.884300E+00     2       +2.00      2.934900E+03    3.023300E-01    1.116500E-01    4.600000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.118100E+05      6.236300E+00     2       +1.00      5.282200E+01    5.441000E-03    3.835500E-01    1.580000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.212500E+05      6.425000E+00     1       +2.00      2.668700E+04    2.749100E+00    1.265400E-01    5.210000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.241600E+05      6.483300E+00     0       +2.00      3.150800E+04    3.245700E+00    1.116500E-01    4.600000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.431600E+05      6.863200E+00     1       +3.00      1.201600E+04    1.237800E+00    1.580600E-01    6.510000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.443200E+05      6.886500E+00     2       +2.00      4.403900E+02    4.536600E-02    1.116500E-01    4.600000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.606900E+05      7.213800E+00     2       +3.00      2.686800E+01    2.768000E-03    1.322900E-01    5.450000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.685400E+05      7.370900E+00     1       +2.00      3.200600E+05    3.297000E+01    1.265400E-01    5.210000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.799700E+05      7.599400E+00     2       +1.00      1.044700E+03    1.076200E-01    3.835500E-01    1.580000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.020000E+05      8.040000E+00     2       +0.00      7.856300E+02    8.093100E-02    5.241900E-02    2.160000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.020200E+05      8.040400E+00     1       +1.00      1.145200E+03    1.179800E-01    5.111600E-01    2.106000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.129200E+05      8.258500E+00     2       +2.00      3.068800E+02    3.161300E-02    1.116500E-01    4.600000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.320400E+05      8.640900E+00     0       +2.00      8.363500E+02    8.615600E-02    1.116500E-01    4.600000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.739100E+05      9.478300E+00     0       +1.00      3.760300E+04    3.873600E+00    3.835500E-01    1.580000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.776200E+05      9.552400E+00     1       +2.00      9.469700E+03    9.755200E-01    1.265400E-01    5.210000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.802500E+05      9.605100E+00     1       +3.00      1.653600E+05    1.703400E+01    1.580600E-01    6.510000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
