# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Dec  3 01:10:21 2025
#                        
# Element                            : Sm
# Z                                  : 62
# A                                  : 144
# I                                  : 0
# Abundancy                       [%]: 3.07
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.200100E+04 
# Emax2 (background)             [eV]: 1.200100E+04 
# Number of resonances (<Emax)       : 72
# Number of resonances (<Emax2)      : 155
# Thermal  (n,g) xs (calculated) [b.]: 1.648680E+00 
# Thermal  (n,g) xs (experiment) [b.]: 1.64 +/- 0.1 
# Res. Int (n,g) (calculated)    [b.]: 2.205990E+00  
# Res. Int (n,g) (experiment)    [b.]: 2.38 +/- 0.17 
# MACS 30 keV (calculated)       [b.]: 8.957300E-02
# Westcott factor (calculated)       : 1.000320E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 2.968440E+00 
# Res. Int (n,el) (calculated)   [b.]: 7.091500E+01 
#
# Scattering radius              [fm]: 5.38 +/- 0.06 
#
# Average Gtotal   l=0           [eV]: 1.515430E+01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.923320E-01 
# Average Gg       l=0           [eV]: 7.588330E-02 
# Average level spacing D0 (l=0) [eV]: 6.667220E+02 
# Neutron strength function S0 (l=0) : 3.045010E-04 
#
# Average Gtotal   l=1           [eV]: 1.045550E-01 
# Average reduced (Gn^1) Gn l=1  [eV]: 8.569630E-02 
# Average Gg       l=1           [eV]: 7.353790E-02 
# Average level spacing D1 (l=1) [eV]: 2.353140E+02 
# Neutron strength function S1 (l=1) : 2.065510E-04 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -9.850000E+01      2.179400E-02     0       +0.50      4.919680E-01    4.000000E+01    7.450000E-02    6.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.000000E+00      1.770000E-03     1       +1.50      3.000000E-06    0.000000E+00    6.600000E-02    3.300000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.516000E+02      8.000000E-01     1       +1.50      2.050000E-03    2.000000E-04    7.588300E-02    3.794000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.023000E+03      1.000000E+00     1       +1.50      8.500000E-03    4.000000E-04    7.588300E-02    3.794000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.186900E+03      1.200000E+00     1       +0.50      8.300000E-02    1.600000E-03    4.500000E-02    6.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.262500E+03      1.300000E+00     1       +1.50      5.000000E-03    1.700000E-04    7.588300E-02    3.794000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.602500E+03      1.600000E+00     0       +0.50      1.200000E-02    2.400000E-03    7.588300E-02    3.794000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.621900E+03      1.600000E+00     0       +0.50      8.240000E-01    9.000000E-03    6.590000E-02    1.700000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.693000E+03      1.700000E+00     0       +0.50      6.693000E+00    2.200000E-02    6.280000E-02    1.700000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.895100E+03      1.900000E+00     1       +1.50      8.000000E-03    1.000000E-03    7.588300E-02    3.794000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.982300E+03      2.000000E+00     1       +1.50      5.300000E-02    1.500000E-03    6.460000E-02    3.230000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.071100E+03      2.100000E+00     1       +1.50      3.900000E-03    4.000000E-04    7.588300E-02    3.794000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.279100E+03      2.300000E+00     1       +1.50      2.400000E-02    2.000000E-03    7.588300E-02    3.794000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.584600E+03      2.600000E+00     0       +0.50      6.510000E+00    3.000000E-02    5.930000E-02    2.100000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.824700E+03      2.800000E+00     1       +1.50      1.500000E-02    2.500000E-03    7.588300E-02    3.794000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.043100E+03      3.000000E+00     0       +0.50      1.136000E+01    5.000000E-02    1.043000E-01    2.700000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.154200E+03      3.200000E+00     1       +1.50      8.000000E-03    1.105000E-03    7.588300E-02    3.794000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.411800E+03      3.400000E+00     1       +1.50      1.300000E-02    3.005000E-03    7.588300E-02    3.794000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.777000E+03      3.800000E+00     1       +1.50      4.095000E-03    4.750000E-04    7.588300E-02    3.794000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.875700E+03      3.900000E+00     1       +1.50      2.480000E-03    6.950000E-04    7.588300E-02    3.794000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.881300E+03      3.900000E+00     1       +1.50      2.500000E-02    5.750000E-04    7.588300E-02    3.794000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.042000E+03      4.000000E+00     0       +0.50      1.437000E+01    7.000000E-02    7.260000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.295200E+03      4.300000E+00     1       +1.50      2.300000E-02    5.000000E-03    7.588300E-02    3.794000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.480700E+03      4.500000E+00     1       +1.50      3.700000E-03    8.500000E-04    7.588300E-02    3.794000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.487300E+03      4.500000E+00     0       +0.50      2.680000E+00    4.000000E-02    6.360000E-02    2.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.534100E+03      4.500000E+00     1       +1.50      8.000000E-03    1.200000E-03    7.588300E-02    3.794000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.639100E+03      4.600000E+00     0       +0.50      7.845000E+01    2.000000E-01    1.210000E-01    1.400000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.744300E+03      4.700000E+00     1       +1.50      2.450000E-02    8.500000E-03    7.588300E-02    3.794000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.902600E+03      4.900000E+00     1       +1.50      8.000000E-02    1.200000E-02    7.588300E-02    3.794000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.193600E+03      5.200000E+00     1       +1.50      4.500000E-02    1.200000E-02    7.588300E-02    3.794000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.567400E+03      5.600000E+00     0       +0.50      9.250000E+00    8.000000E-02    4.900000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.820000E+03      5.800000E+00     1       +1.50      1.110000E-01    1.200000E-02    5.900000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.984700E+03      6.000000E+00     1       +1.50      2.750000E-02    1.400000E-02    7.588300E-02    3.794000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.062100E+03      6.100000E+00     1       +1.50      5.000000E-03    9.000000E-04    7.588300E-02    3.794000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.160700E+03      6.200000E+00     0       +0.50      7.000000E-01    3.000000E-02    5.740000E-02    2.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.394400E+03      6.400000E+00     1       +1.50      1.250000E-02    3.050000E-03    7.588300E-02    3.794000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.549600E+03      6.500000E+00     1       +1.50      8.000000E-02    1.400000E-02    5.500000E-02    1.500000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.904800E+03      6.900000E+00     1       +1.50      1.550000E-01    1.500000E-02    5.950000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.145800E+03      7.100000E+00     1       +1.50      1.750000E-02    5.500000E-03    7.588300E-02    3.794000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.313500E+03      7.300000E+00     1       +1.50      3.850000E-02    2.750000E-02    7.588300E-02    3.794000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.326300E+03      7.300000E+00     1       +1.50      2.950000E-02    1.600000E-02    7.588300E-02    3.794000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.483200E+03      7.500000E+00     0       +0.50      4.000000E-01    4.000000E-02    7.100000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.722400E+03      7.700000E+00     1       +1.50      1.750000E-02    6.000000E-03    7.588300E-02    3.794000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.759400E+03      7.800000E+00     1       +1.50      4.650000E-03    1.050000E-03    7.588300E-02    3.794000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.848500E+03      7.800000E+00     1       +1.50      3.800000E-03    1.100000E-03    7.588300E-02    3.794000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.009700E+03      8.000000E+00     1       +1.50      3.800000E-02    2.700000E-02    5.400000E-02    5.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
