# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 06:41:01 2025
#                        
# Element                            : Sm
# Z                                  : 62
# A                                  : 148
# I                                  : 0
# Abundancy                       [%]: 11.24
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.540031E+02 
# Emax2 (background)             [eV]: 1.500000E+03 
# Number of resonances (<Emax)       : 24
# Number of resonances (<Emax2)      : 159
# Thermal  (n,g) xs (calculated) [b.]: 2.398820E+00 
# Thermal  (n,g) xs (experiment) [b.]: 2.4 +/- 0.6 
# Res. Int (n,g) (calculated)    [b.]: 6.142010E+01  
# Res. Int (n,g) (experiment)    [b.]: 27 +/- 14 
# MACS 30 keV (calculated)       [b.]: 2.692600E-01
# Westcott factor (calculated)       : 9.987200E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 8.531360E+00 
# Res. Int (n,el) (calculated)   [b.]: 9.315380E+01 
#
# Scattering radius              [fm]: 8.58 +/- 0.23 
#
# Average Gtotal   l=0           [eV]: 7.155100E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.810500E-03 
# Average Gg       l=0           [eV]: 4.797710E-02 
# Average level spacing D0 (l=0) [eV]: 1.209540E+01 
# Neutron strength function S0 (l=0) : 1.568130E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.277023E+02      1.550000E-04     0       +0.50      7.624387E-05    0.000000E+00    4.400000E-02    1.060500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.666096E+01      1.050000E-04     0       +0.50      6.579685E-04    4.000000E-06    4.797714E-02    1.156300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.100000E+01      1.000000E-01     0       +0.50      4.031637E-03    4.000000E-03    4.797714E-02    5.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.589879E+01      1.588300E-02     0       +0.50      2.470442E-02    1.490000E-04    4.797714E-02    1.156300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.436880E+01      1.792400E-02     0       +0.50      2.344441E-03    1.400000E-05    4.797714E-02    1.156300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.900549E+01      1.904200E-02     0       +0.50      3.649487E-03    2.200000E-05    4.797714E-02    1.156300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.282607E+01      1.996300E-02     0       +0.50      6.875233E-03    4.100000E-05    4.797714E-02    1.156300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.198498E+02      2.888600E-02     0       +0.50      1.314176E-06    0.000000E+00    4.797714E-02    1.156300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.308719E+02      3.154300E-02     0       +0.50      1.958936E-04    1.000000E-06    4.797714E-02    1.156300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.365514E+02      3.291200E-02     0       +0.50      4.465033E-04    3.000000E-06    4.797714E-02    1.156300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.390022E+02      3.350200E-02     0       +0.50      3.070250E-02    1.850000E-04    4.797714E-02    1.156300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.502017E+02      3.620200E-02     0       +0.50      1.114858E-01    6.720000E-04    4.797714E-02    1.156300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
