# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Dec  3 01:17:24 2025
#                        
# Element                            : Sm
# Z                                  : 62
# A                                  : 157
# I                                  : 0
# Half-life                   [min. ]: 8.03 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 3.287690E+02 
# Emax2 (background)             [eV]: 4.528700E+03 
# Number of resonances (<Emax)       : 87
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 2.308500E+01 
# Ress Int. (n,g) (systematics)  [b.]: 5.976130E+01 
# MACS 30 keV (calculated)       [b.]: 1.562200E-01
# Westcott factor (calculated)       : 9.749500E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 6.896700E+00 
# Res. Int (n,el) (calculated)   [b.]: 4.220930E+01 
#
# Scattering radius              [fm]: 7.16 +/- 7.16 
#
# Average Gtotal   l=0           [eV]: 2.940160E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.735340E-05 
# Average Gg       l=0           [eV]: 2.924990E-02 
# Average level spacing D0 (l=0) [eV]: 5.479480E+00 
# Neutron strength function S0 (l=0) : 1.618750E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -5.128932E+02      1.025790E-01     0       +1.00      1.193727E-04    2.000000E-06    3.299903E-02    2.103500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.602681E+02      7.205400E-02     0       +1.00      2.535797E-04    4.000000E-06    3.299903E-02    2.103500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.720879E+02      5.441800E-02     0       +1.00      1.537180E-04    2.000000E-06    3.299903E-02    2.103500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.008301E+02      4.016600E-02     0       +1.00      7.232673E-06    0.000000E+00    3.299903E-02    2.103500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.653655E+02      3.307300E-02     0       +1.00      1.882336E-05    0.000000E+00    3.299903E-02    2.103500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.522783E+02      3.045600E-02     0       +1.00      1.041139E-05    0.000000E+00    3.299903E-02    2.103500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.319431E+02      2.638900E-02     0       +1.00      3.469336E-04    6.000000E-06    3.299903E-02    2.103500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.246216E+02      2.492400E-02     0       +1.00      2.317825E-04    4.000000E-06    3.299903E-02    2.103500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.573731E+01      1.914700E-02     0       +1.00      9.574086E-05    2.000000E-06    3.299903E-02    2.103500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.683521E+01      1.736700E-02     0       +1.00      1.749849E-03    2.800000E-05    3.299903E-02    2.103500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
