# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Dec  3 01:24:02 2025
#                        
# Element                            : Sm
# Z                                  : 62
# A                                  : 161
# I                                  : 0
# Half-life                   [sec. ]: 4.8 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.871841E+03 
# Emax2 (background)             [eV]: 1.520750E+04 
# Number of resonances (<Emax)       : 86
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 1.128500E+01 
# Ress Int. (n,g) (systematics)  [b.]: 5.512260E+02 
# MACS 30 keV (calculated)       [b.]: 6.467400E-02
# Westcott factor (calculated)       : 1.006840E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 5.514110E+00 
# Res. Int (n,el) (calculated)   [b.]: 2.923970E+02 
#
# Scattering radius              [fm]: 7.22 +/- 7.22 
#
# Average Gtotal   l=0           [eV]: 5.109250E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 5.440280E-04 
# Average Gg       l=0           [eV]: 3.709870E-02 
# Average level spacing D0 (l=0) [eV]: 2.924750E+01 
# Neutron strength function S0 (l=0) : 1.183460E-05 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.211735E+03      2.423470E-01     0       +0.00      2.811222E-04    5.000000E-06    2.849421E-02    2.005300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.001055E+03      2.002110E-01     0       +0.00      3.681610E-03    6.500000E-05    2.849421E-02    2.005300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.522771E+02      1.904550E-01     0       +0.00      2.798356E-03    4.900000E-05    2.849421E-02    2.005300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.876228E+02      9.752500E-02     0       +0.00      3.173951E-03    5.600000E-05    2.849421E-02    2.005300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.645251E+02      9.290500E-02     0       +0.00      1.737371E-02    3.060000E-04    2.849421E-02    2.005300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.534431E+02      9.068900E-02     0       +0.00      2.943373E-02    5.180000E-04    2.849421E-02    2.005300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.298083E+02      8.596200E-02     0       +0.00      2.276756E-03    4.000000E-05    2.849421E-02    2.005300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.217175E+02      8.434300E-02     0       +0.00      1.490568E-03    2.600000E-05    2.849421E-02    2.005300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.867283E+02      7.734600E-02     0       +0.00      8.998449E-02    1.583000E-03    2.849421E-02    2.005300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.369753E+02      6.739500E-02     0       +0.00      2.210919E-02    3.890000E-04    2.849421E-02    2.005300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
