# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 09:01:13 2025
#                        
# Element                            : Sm
# Z                                  : 62
# A                                  : 162
# I                                  : 0
# Half-life                   [sec. ]: 2.7 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.795026E+03 
# Emax2 (background)             [eV]: 4.826990E+05 
# Number of resonances (<Emax)       : 8
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 6.452960E+00 
# Ress Int. (n,g) (systematics)  [b.]: 1.269720E+01 
# MACS 30 keV (calculated)       [b.]: 2.716300E-02
# Westcott factor (calculated)       : 1.000720E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 2.414430E-01 
# Res. Int (n,el) (calculated)   [b.]: 2.083670E+03 
#
# Scattering radius              [fm]: 7.24 +/- 7.24 
#
# Average Gtotal   l=0           [eV]: 2.799180E+00 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.754520E-01 
# Average Gg       l=0           [eV]: 2.823640E-02 
# Average level spacing D0 (l=0) [eV]: 4.487570E+02 
# Neutron strength function S0 (l=0) : 4.887160E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.645123E+03      3.290250E-01     0       +0.50      9.914542E-01    1.777400E-02    2.823642E-02    2.024800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.722965E+02      1.144590E-01     0       +0.50      1.113876E+01    1.996850E-01    2.823642E-02    2.024800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -1.511697E+02      3.023400E-02     0       +0.50      1.961142E+00    3.515700E-02    2.823642E-02    2.024800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.124606E+02      2.249200E-02     0       +0.50      6.151516E+00    1.102780E-01    2.823642E-02    2.024800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.447858E+02      1.089570E-01     0       +0.50      5.618398E+00    1.007210E-01    2.823642E-02    2.024800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.763008E+02      1.552600E-01     0       +0.50      5.876100E-01    1.053400E-02    2.823642E-02    2.024800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.099336E+03      2.198670E-01     0       +0.50      6.840931E-03    1.230000E-04    2.823642E-02    2.024800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.795026E+03      3.590050E-01     0       +0.50      1.490348E+00    2.671700E-02    2.823642E-02    2.024800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.262135E+03      4.524270E-01     1       +0.50      1.897307E-01    3.401000E-03    2.823872E-02    2.024900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.392157E+03      4.784310E-01     1       +0.50      2.484786E-01    4.454000E-03    2.823872E-02    2.024900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.426756E+03      4.853510E-01     1       +0.50      6.184513E-02    1.109000E-03    2.823872E-02    2.024900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.632689E+03      5.265380E-01     1       +0.50      2.056162E-02    3.690000E-04    2.823872E-02    2.024900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.716131E+03      5.432260E-01     1       +0.50      3.685407E-02    6.610000E-04    2.823872E-02    2.024900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.119503E+03      6.239010E-01     1       +0.50      5.583321E-01    1.000900E-02    2.823872E-02    2.024900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.164873E+03      6.329750E-01     1       +0.50      3.190330E-01    5.719000E-03    2.823872E-02    2.024900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
