# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Dec  3 01:16:32 2025
#                        
# Element                            : Sn
# Z                                  : 50
# A                                  : 109
# I                                  : 0
# Half-life                   [min. ]: 18.1 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 4.539993E+00 
# Emax2 (background)             [eV]: 1.169220E+02 
# Number of resonances (<Emax)       : 19
# Number of resonances (<Emax2)      : 55
# Thermal (n,g) xs (systematics) [b.]: 2.800890E+01 
# Ress Int. (n,g) (systematics)  [b.]: 2.310970E+02 
# MACS 30 keV (calculated)       [b.]: 1.238500E+00
# Westcott factor (calculated)       : 9.955700E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 5.710960E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.174750E+01 
#
# Scattering radius              [fm]: 6.35 +/- 6.35 
#
# Average Gtotal   l=0           [eV]: 2.794980E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.659920E-01 
# Average Gg       l=0           [eV]: 2.794970E-01 
# Average level spacing D0 (l=0) [eV]: 4.539980E+00 
# Neutron strength function S0 (l=0) : 9.764810E-03 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -7.246114E+01      1.449200E-02     0       +2.00      2.297257E-03    2.300000E-05    2.428876E-01    9.907700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.406828E+01      8.814000E-03     0       +2.00      1.344008E-03    1.400000E-05    2.428876E-01    9.907700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.097335E+01      8.195000E-03     0       +2.00      4.515649E-07    0.000000E+00    2.428876E-01    9.907700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.620180E+01      7.240000E-03     0       +2.00      3.950892E-04    4.000000E-06    2.428876E-01    9.907700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.543036E+01      7.086000E-03     0       +2.00      1.538326E-03    1.600000E-05    2.428876E-01    9.907700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.348236E+01      6.696000E-03     0       +2.00      2.164218E-03    2.200000E-05    2.428876E-01    9.907700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.250644E+01      6.501000E-03     0       +2.00      9.916235E-07    0.000000E+00    2.428876E-01    9.907700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.248236E+01      6.496000E-03     0       +3.00      2.665703E-04    3.000000E-06    2.318641E-01    9.458000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.929497E+01      5.859000E-03     0       +3.00      2.099442E-06    0.000000E+00    2.318641E-01    9.458000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.779950E+01      5.560000E-03     0       +3.00      6.043521E-04    6.000000E-06    2.318641E-01    9.458000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.121664E+01      4.243000E-03     0       +3.00      2.532373E-03    2.600000E-05    2.318641E-01    9.458000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.004507E+01      4.009000E-03     0       +3.00      2.779308E-04    3.000000E-06    2.318641E-01    9.458000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.709388E+01      3.419000E-03     0       +3.00      8.512367E-04    9.000000E-06    2.318641E-01    9.458000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.571215E+01      3.142000E-03     0       +3.00      9.746451E-05    1.000000E-06    2.318641E-01    9.458000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.001092E+01      2.002000E-03     0       +3.00      4.037476E-04    4.000000E-06    2.318641E-01    9.458000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.587854E+00      1.918000E-03     0       +3.00      5.068091E-06    0.000000E+00    2.318641E-01    9.458000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.539993E+00      9.080000E-04     0       +3.00      2.020064E-03    2.100000E-05    2.318641E-01    9.458000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -3.980761E+00      7.960000E-04     1       +1.00      2.052795E-07    0.000000E+00    2.794970E-01    1.140100E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.287192E+00      2.570000E-04     1       +1.00      1.384968E-06    0.000000E+00    2.794970E-01    1.140100E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.539993E+00      9.080000E-04     1       +1.00      6.533024E-07    0.000000E+00    2.794970E-01    1.140100E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +7.828324E+00      1.566000E-03     1       +1.00      3.547849E-08    0.000000E+00    2.794970E-01    1.140100E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.147468E+00      1.629000E-03     1       +1.00      9.795808E-08    0.000000E+00    2.794970E-01    1.140100E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.125611E+01      2.251000E-03     1       +1.00      3.480166E-06    0.000000E+00    2.794970E-01    1.140100E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.867459E+01      3.735000E-03     1       +1.00      2.723297E-06    0.000000E+00    2.794970E-01    1.140100E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.963011E+01      3.926000E-03     1       +2.00      4.684201E-07    0.000000E+00    2.495736E-01    1.018040E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.166472E+01      4.333000E-03     1       +2.00      1.097525E-06    0.000000E+00    2.495736E-01    1.018040E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.764297E+01      5.529000E-03     1       +2.00      1.558716E-07    0.000000E+00    2.495736E-01    1.018040E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
