# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 21:28:11 2025
#                        
# Element                            : Sn
# Z                                  : 50
# A                                  : 128
# I                                  : 1
# Half-life                   [sec. ]: 6.5 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.420158E+03 
# Emax2 (background)             [eV]: 6.000000E+04 
# Number of resonances (<Emax)       : 71
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 2.479930E+01 
# Ress Int. (n,g) (systematics)  [b.]: 2.708160E+01 
# MACS 30 keV (calculated)       [b.]: 6.086800E-02
# Westcott factor (calculated)       : 1.000420E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 5.627410E+00 
# Res. Int (n,el) (calculated)   [b.]: 4.423450E+01 
#
# Scattering radius              [fm]: 6.69 +/- 6.69 
#
# Average Gtotal   l=0           [eV]: 3.048000E+00 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.314410E-04 
# Average Gg       l=0           [eV]: 3.042350E+00 
# Average level spacing D0 (l=0) [eV]: 3.944880E+01 
# Neutron strength function S0 (l=0) : 3.173410E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.015356E+03      4.030710E-01     0       +6.50      6.807591E-05    1.000000E-06    3.263351E+00    2.180622E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.646290E+03      3.292580E-01     0       +6.50      1.707341E-05    0.000000E+00    3.263351E+00    2.180622E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.580479E+03      3.160960E-01     0       +6.50      7.167932E-04    1.200000E-05    3.263351E+00    2.180622E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.557826E+03      3.115650E-01     0       +6.50      7.329656E-03    1.220000E-04    3.263351E+00    2.180622E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.526895E+03      3.053790E-01     0       +6.50      3.877060E-03    6.500000E-05    3.263351E+00    2.180622E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.456324E+03      2.912650E-01     0       +6.50      1.016539E-02    1.700000E-04    3.263351E+00    2.180622E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.448993E+03      2.897990E-01     0       +6.50      1.356533E-02    2.270000E-04    3.263351E+00    2.180622E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.441742E+03      2.883480E-01     0       +6.50      9.940819E-04    1.700000E-05    3.263351E+00    2.180622E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.160442E+03      2.320880E-01     0       +6.50      1.452670E-03    2.400000E-05    3.263351E+00    2.180622E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.095779E+02      1.819160E-01     0       +6.50      1.323531E-02    2.210000E-04    3.263351E+00    2.180622E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.960808E+02      1.792160E-01     0       +6.50      3.008931E-03    5.000000E-05    3.263351E+00    2.180622E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.515046E+02      1.503010E-01     0       +6.50      6.777651E-04    1.100000E-05    3.263351E+00    2.180622E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.484314E+02      1.496860E-01     0       +6.50      5.830093E-04    1.000000E-05    3.263351E+00    2.180622E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.237566E+02      1.447510E-01     0       +6.50      4.524034E-03    7.600000E-05    3.263351E+00    2.180622E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.044265E+02      1.408850E-01     0       +6.50      2.701216E-04    5.000000E-06    3.263351E+00    2.180622E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.902478E+02      1.380500E-01     0       +6.50      7.018640E-03    1.170000E-04    3.263351E+00    2.180622E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.809587E+02      1.161920E-01     0       +6.50      2.640830E-02    4.410000E-04    3.263351E+00    2.180622E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.694734E+02      1.138950E-01     0       +6.50      3.791493E-04    6.000000E-06    3.263351E+00    2.180622E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
