# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 08:37:26 2025
#                        
# Element                            : Sn
# Z                                  : 50
# A                                  : 130
# I                                  : 1
# Half-life                   [min. ]: 1.7 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 6.791111E+04 
# Emax2 (background)             [eV]: 1.016840E+05 
# Number of resonances (<Emax)       : 19
# Number of resonances (<Emax2)      : 21
# Thermal  (n,g) xs (calculated) [b.]: 9.996400E-01 
# Thermal  (n,g) xs (experiment) [b.]: 1 +/- 1 
# Ress Int. (n,g) (systematics)  [b.]: 4.904020E+00 
# MACS 30 keV (calculated)       [b.]: 1.217900E-02
# Westcott factor (calculated)       : 1.000650E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 1.313750E+02 
# Res. Int (n,el) (calculated)   [b.]: 1.629220E+03 
#
# Scattering radius              [fm]: 6.73 +/- 6.73 
#
# Average Gtotal   l=0           [eV]: 3.264600E+02 
# Average reduced (Gn^0) Gn l=0  [eV]: 9.386830E+03 
# Average Gg       l=0           [eV]: 2.711670E+00 
# Average level spacing D0 (l=0) [eV]: 1.131850E+04 
# Neutron strength function S0 (l=0) : 7.189160E-02 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -8.690475E+04      1.738095E+01     0       +6.50      7.719186E+04    1.363469E+03    2.873251E+00    2.030053E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.083927E+04      1.616785E+01     0       +6.50      1.514826E+05    2.675695E+03    2.873251E+00    2.030053E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.392835E+04      1.478567E+01     0       +7.50      1.386726E+05    2.449427E+03    9.107211E-01    6.434570E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.791111E+04      1.358222E+01     0       +7.50      9.732132E+04    1.719023E+03    9.107211E-01    6.434570E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.333895E+04      1.266779E+01     1       +5.50      1.956258E+04    3.455413E+02    7.990522E+00    5.645586E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.970846E+04      1.194169E+01     1       +5.50      1.952283E+03    3.448392E+01    7.990522E+00    5.645586E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.930096E+04      1.186019E+01     1       +5.50      3.082136E+04    5.444094E+02    7.990522E+00    5.645586E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.131623E+04      1.026325E+01     1       +6.50      1.052924E+05    1.859820E+03    1.022946E+01    7.227475E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.088745E+04      1.017749E+01     1       +6.50      5.154675E+02    9.104898E+00    1.022946E+01    7.227475E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.089421E+04      4.178842E+00     1       +7.50      9.268018E+03    1.637045E+02    8.923668E-01    6.304890E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.054230E+04      4.108460E+00     1       +8.50      2.309264E+04    4.078941E+02    9.180169E-01    6.486110E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.374123E+03      1.874825E+00     1       +8.50      3.855129E+02    6.809461E+00    9.180169E-01    6.486110E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +2.491261E+03      4.982520E-01     2       +4.50      5.477353E+00    9.674900E-02    3.049391E+00    2.154503E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.518073E+03      1.103615E+00     2       +4.50      5.368051E+00    9.481800E-02    3.049391E+00    2.154503E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.267352E+04      2.534704E+00     2       +5.50      9.460788E+01    1.671095E+00    2.378802E+00    1.680708E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.445474E+04      2.890948E+00     2       +5.50      5.769448E+01    1.019080E+00    2.378802E+00    1.680708E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.743114E+04      5.486228E+00     2       +5.50      5.423849E+01    9.580350E-01    2.378802E+00    1.680708E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.205853E+04      8.411706E+00     2       +6.50      1.884742E+03    3.329091E+01    2.873251E+00    2.030053E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.047204E+04      1.009441E+01     2       +6.50      1.641102E+02    2.898741E+00    2.873251E+00    2.030053E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.046528E+04      1.609306E+01     2       +7.50      7.292781E+00    1.288150E-01    9.107211E-01    6.434570E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.016842E+05      2.033684E+01     2       +8.50      3.974337E+02    7.020022E+00    9.180169E-01    6.486110E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
