# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 21:17:13 2025
#                        
# Element                            : Sr
# Z                                  : 38
# A                                  : 78
# I                                  : 0
# Half-life                   [min. ]: 2.60167 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.475227E+00 
# Emax2 (background)             [eV]: 1.441410E+02 
# Number of resonances (<Emax)       : 7
# Number of resonances (<Emax2)      : 15
# Thermal (n,g) xs (systematics) [b.]: 2.000210E+01 
# Ress Int. (n,g) (systematics)  [b.]: 1.375390E+01 
# MACS 30 keV (calculated)       [b.]: 4.613500E-02
# Westcott factor (calculated)       : 9.956200E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 4.193270E+00 
# Res. Int (n,el) (calculated)   [b.]: 6.239640E+00 
#
# Scattering radius              [fm]: 5.68 +/- 5.68 
#
# Average Gtotal   l=0           [eV]: 3.954650E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 6.520270E-06 
# Average Gg       l=0           [eV]: 3.954550E-01 
# Neutron strength function S0 (l=0) : 6.520270E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.031099E+02      2.062200E-02     0       +0.50      8.068334E-04    8.000000E-06    3.954551E-01    1.587200E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.648432E+01      1.929700E-02     0       +0.50      1.367398E-04    1.000000E-06    3.954551E-01    1.587200E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.944619E+01      7.889000E-03     0       +0.50      1.603119E-06    0.000000E+00    3.954551E-01    1.587200E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -3.593700E+01      7.187000E-03     0       +0.50      1.055100E-05    0.000000E+00    3.954551E-01    1.587200E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.759706E+01      3.519000E-03     0       +0.50      3.320981E-04    3.000000E-06    3.954551E-01    1.587200E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.426829E+00      6.850000E-04     0       +0.50      2.368346E-04    2.000000E-06    3.954551E-01    1.587200E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.475227E+00      4.950000E-04     0       +0.50      1.025825E-05    0.000000E+00    3.954551E-01    1.587200E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.584509E+00      1.117000E-03     1       +0.50      1.037841E-07    0.000000E+00    4.031465E-01    1.618070E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.944619E+01      7.889000E-03     1       +0.50      6.440820E-10    0.000000E+00    4.031465E-01    1.618070E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +4.063300E+01      8.127000E-03     1       +1.50      1.240697E-07    0.000000E+00    3.955364E-01    1.587520E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.038525E+02      2.077100E-02     1       +1.50      1.157351E-07    0.000000E+00    3.955364E-01    1.587520E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.078059E+02      2.156100E-02     1       +1.50      1.008501E-09    0.000000E+00    3.955364E-01    1.587520E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.168409E+02      2.336800E-02     1       +1.50      2.863383E-08    0.000000E+00    3.955364E-01    1.587520E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.397572E+02      2.795100E-02     2       +1.50      3.927790E-12    0.000000E+00    3.855782E-01    1.547550E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.403161E+02      2.806300E-02     2       +2.50      6.700590E-13    0.000000E+00    3.702967E-01    1.486220E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
