# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 21:13:21 2025
#                        
# Element                            : Sr
# Z                                  : 38
# A                                  : 81
# I                                  : 0
# Half-life                   [min. ]: 22.3 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 5.597811E+00 
# Emax2 (background)             [eV]: 8.955310E+01 
# Number of resonances (<Emax)       : 12
# Number of resonances (<Emax2)      : 29
# Thermal (n,g) xs (systematics) [b.]: 3.294270E+01 
# Ress Int. (n,g) (systematics)  [b.]: 2.083950E+01 
# MACS 30 keV (calculated)       [b.]: 1.558100E-01
# Westcott factor (calculated)       : 9.970700E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 4.862670E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.093550E+01 
#
# Scattering radius              [fm]: 5.76 +/- 5.76 
#
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -4.680139E+01      9.360000E-03     0       +0.00      3.938809E-03    4.000000E-05    2.680938E-01    1.083770E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.147461E+01      6.295000E-03     0       +0.00      2.693581E-03    2.700000E-05    2.680938E-01    1.083770E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.070362E+01      6.141000E-03     0       +0.00      3.653747E-03    3.700000E-05    2.680938E-01    1.083770E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.195283E+01      4.391000E-03     0       +1.00      2.164138E-03    2.200000E-05    2.858332E-01    1.155480E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.053346E+01      4.107000E-03     0       +1.00      1.898047E-04    2.000000E-06    2.858332E-01    1.155480E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.988941E+01      3.978000E-03     0       +1.00      3.032479E-04    3.000000E-06    2.858332E-01    1.155480E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.823771E+01      3.648000E-03     0       +1.00      4.447099E-08    0.000000E+00    2.858332E-01    1.155480E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.215258E+01      2.431000E-03     0       +1.00      7.581970E-04    8.000000E-06    2.858332E-01    1.155480E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.524118E+00      1.305000E-03     0       +1.00      2.064386E-03    2.100000E-05    2.858332E-01    1.155480E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.699705E+00      1.140000E-03     0       +1.00      3.475693E-04    4.000000E-06    2.858332E-01    1.155480E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -5.597811E+00      1.120000E-03     0       +1.00      7.644887E-04    8.000000E-06    2.858332E-01    1.155480E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.281610E+00      8.560000E-04     1       +0.00      3.110252E-06    0.000000E+00    2.681418E-01    1.083970E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.304538E+00      1.661000E-03     1       +0.00      1.084490E-06    0.000000E+00    2.681418E-01    1.083970E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.916065E+00      1.983000E-03     1       +0.00      8.623155E-09    0.000000E+00    2.681418E-01    1.083970E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.360211E+01      2.720000E-03     1       +1.00      1.579970E-07    0.000000E+00    2.647365E-01    1.070200E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.511717E+01      3.023000E-03     1       +1.00      3.590315E-07    0.000000E+00    2.647365E-01    1.070200E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.842835E+01      5.686000E-03     1       +1.00      9.656525E-08    0.000000E+00    2.647365E-01    1.070200E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.283450E+01      6.567000E-03     1       +1.00      4.174693E-07    0.000000E+00    2.647365E-01    1.070200E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.258637E+01      8.517000E-03     1       +1.00      2.344895E-06    0.000000E+00    2.647365E-01    1.070200E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.413186E+01      8.826000E-03     1       +1.00      8.862474E-08    0.000000E+00    2.647365E-01    1.070200E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.470253E+01      8.941000E-03     1       +2.00      1.499799E-07    0.000000E+00    2.579395E-01    1.042720E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.868414E+01      1.173700E-02     1       +2.00      6.529850E-09    0.000000E+00    2.579395E-01    1.042720E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.743493E+01      1.348700E-02     1       +2.00      2.889254E-08    0.000000E+00    2.579395E-01    1.042720E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.885429E+01      1.377100E-02     1       +2.00      2.907016E-07    0.000000E+00    2.579395E-01    1.042720E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.115005E+01      1.423000E-02     1       +2.00      2.391041E-08    0.000000E+00    2.579395E-01    1.042720E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.723518E+01      1.544700E-02     1       +2.00      1.196233E-08    0.000000E+00    2.579395E-01    1.042720E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.286364E+01      1.657300E-02     1       +2.00      8.074021E-07    0.000000E+00    2.579395E-01    1.042720E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.378995E+01      1.675800E-02     1       +2.00      2.077486E-07    0.000000E+00    2.579395E-01    1.042720E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
