# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 08:14:49 2025
#                        
# Element                            : Sr
# Z                                  : 38
# A                                  : 92
# I                                  : 0
# Half-life                   [hours]: 2.61111 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.198898E+03 
# Emax2 (background)             [eV]: 1.500000E+04 
# Number of resonances (<Emax)       : 20
# Number of resonances (<Emax2)      : 48
# Thermal (n,g) xs (systematics) [b.]: 2.033970E+00 
# Ress Int. (n,g) (systematics)  [b.]: 4.065550E+00 
# MACS 30 keV (calculated)       [b.]: 1.103500E-02
# Westcott factor (calculated)       : 1.000660E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 5.125250E+02 
# Res. Int (n,el) (calculated)   [b.]: 6.460960E+03 
#
# Scattering radius              [fm]: 6.00 +/- 0.42 
#
# Average Gtotal   l=0           [eV]: 7.373280E+01 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.503470E+04 
# Average Gg       l=0           [eV]: 6.011450E-02 
# Average level spacing D0 (l=0) [eV]: 4.397800E+02 
# Neutron strength function S0 (l=0) : 2.278360E+01 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -4.797749E+03      9.595500E-01     0       +0.50      1.847503E+03    2.360798E+01    5.374062E-02    2.746900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.724805E+03      9.449610E-01     0       +0.50      5.086511E+01    6.499710E-01    5.374062E-02    2.746900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.410387E+03      8.820770E-01     0       +0.50      6.152933E+00    7.862400E-02    5.374062E-02    2.746900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.040885E+03      8.081770E-01     0       +0.50      2.038737E+02    2.605163E+00    5.374062E-02    2.746900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.815632E+03      5.631260E-01     0       +0.50      3.090960E+02    3.949728E+00    5.374062E-02    2.746900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.504203E+03      5.008410E-01     0       +0.50      1.346904E+02    1.721117E+00    5.374062E-02    2.746900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.395089E+03      4.790180E-01     0       +0.50      1.713212E+03    2.189197E+01    5.374062E-02    2.746900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.214523E+03      4.429050E-01     0       +0.50      7.417356E+01    9.478130E-01    5.374062E-02    2.746900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.198898E+03      4.397800E-01     0       +0.50      1.484578E+01    1.897040E-01    5.374062E-02    2.746900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.277430E+03      2.554860E-01     1       +0.50      9.972594E+01    1.274330E+00    5.542626E-02    2.833000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
