# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Dec  3 01:31:34 2025
#                        
# Element                            : Ta
# Z                                  : 73
# A                                  : 161
# I                                  : 1
# Half-life                   [sec. ]: 3.08 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 3.406686E+00 
# Emax2 (background)             [eV]: 2.015840E+02 
# Number of resonances (<Emax)       : 25
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 6.399410E+02 
# Ress Int. (n,g) (systematics)  [b.]: 2.263900E+03 
# MACS 30 keV (calculated)       [b.]: 7.810700E+00
# Westcott factor (calculated)       : 9.148900E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 6.555280E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.200440E+01 
#
# Scattering radius              [fm]: 7.22 +/- 7.22 
#
# Average Gtotal   l=0           [eV]: 1.677770E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 3.815130E-06 
# Average Gg       l=0           [eV]: 1.677730E-01 
# Average level spacing D0 (l=0) [eV]: 1.481160E-01 
# Neutron strength function S0 (l=0) : 1.278480E-05 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -3.849243E-02      8.000000E-06     0       +5.00      2.648300E-06    0.000000E+00    1.705432E-01    7.006500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.313659E-02      5.000000E-06     0       +5.00      7.662531E-07    0.000000E+00    1.705432E-01    7.006500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +1.965722E-01      3.900000E-05     0       +5.00      1.591758E-07    0.000000E+00    1.705432E-01    7.006500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.113434E-01      6.200000E-05     0       +5.00      3.006584E-07    0.000000E+00    1.705432E-01    7.006500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.592026E-01      1.120000E-04     0       +5.00      4.840336E-07    0.000000E+00    1.705432E-01    7.006500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.427954E-01      1.490000E-04     0       +5.00      6.951809E-06    0.000000E+00    1.705432E-01    7.006500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.510414E-01      1.700000E-04     0       +5.00      1.773384E-05    0.000000E+00    1.705432E-01    7.006500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.151870E+00      2.300000E-04     0       +5.00      3.500085E-05    0.000000E+00    1.705432E-01    7.006500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.269284E+00      2.540000E-04     0       +5.00      9.339350E-07    0.000000E+00    1.705432E-01    7.006500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.476690E+00      2.950000E-04     0       +5.00      2.963601E-06    0.000000E+00    1.705432E-01    7.006500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
