# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 08:57:12 2025
#                        
# Element                            : Ta
# Z                                  : 73
# A                                  : 164
# I                                  : 0
# Half-life                   [sec. ]: 14.2 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.035439E+00 
# Emax2 (background)             [eV]: 8.469650E+00 
# Number of resonances (<Emax)       : 92
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 2.253650E+02 
# Ress Int. (n,g) (systematics)  [b.]: 3.757810E+03 
# MACS 30 keV (calculated)       [b.]: 8.104100E+00
# Westcott factor (calculated)       : 9.526400E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 6.609920E+00 
# Res. Int (n,el) (calculated)   [b.]: 4.212760E+00 
#
# Scattering radius              [fm]: 7.26 +/- 7.26 
#
# Average Gtotal   l=0           [eV]: 1.563690E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 9.775460E-08 
# Average Gg       l=0           [eV]: 1.563690E-01 
# Average level spacing D0 (l=0) [eV]: 1.176620E-02 
# Neutron strength function S0 (l=0) : 3.921160E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.879654E-02      6.000000E-06     0       +2.50      1.560190E-07    0.000000E+00    1.577748E-01    6.590600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.814209E-02      4.000000E-06     0       +2.50      5.807488E-09    0.000000E+00    1.577748E-01    6.590600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.543461E-04      0.000000E+00     0       +2.50      7.092049E-09    0.000000E+00    1.577748E-01    6.590600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.066400E-03      1.000000E-06     0       +2.50      8.174259E-08    0.000000E+00    1.577748E-01    6.590600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +2.690196E-02      5.000000E-06     0       +2.50      1.613242E-08    0.000000E+00    1.577748E-01    6.590600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.105704E-02      6.000000E-06     0       +2.50      2.179783E-07    0.000000E+00    1.577748E-01    6.590600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.846633E-02      1.000000E-05     0       +2.50      1.401154E-07    0.000000E+00    1.577748E-01    6.590600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.962387E-02      1.000000E-05     0       +2.50      1.455930E-10    0.000000E+00    1.577748E-01    6.590600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.574782E-02      1.100000E-05     0       +2.50      7.201352E-09    0.000000E+00    1.577748E-01    6.590600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.741864E-02      1.100000E-05     0       +2.50      3.731546E-08    0.000000E+00    1.577748E-01    6.590600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
