# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 21:29:47 2025
#                        
# Element                            : Ta
# Z                                  : 73
# A                                  : 167
# I                                  : 0
# Half-life                   [min. ]: 1.33 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 4.751003E+00 
# Emax2 (background)             [eV]: 6.665000E+01 
# Number of resonances (<Emax)       : 90
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 1.503300E+02 
# Ress Int. (n,g) (systematics)  [b.]: 1.957450E+03 
# MACS 30 keV (calculated)       [b.]: 8.066700E+00
# Westcott factor (calculated)       : 9.161800E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 6.741260E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.448080E+01 
#
# Scattering radius              [fm]: 7.31 +/- 7.31 
#
# Average Gtotal   l=0           [eV]: 9.058940E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.864420E-07 
# Average Gg       l=0           [eV]: 9.058920E-02 
# Average level spacing D0 (l=0) [eV]: 5.524410E-02 
# Neutron strength function S0 (l=0) : 1.578040E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.858303E-01      3.700000E-05     0       +1.00      2.126609E-07    0.000000E+00    9.120988E-02    3.908300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.338593E-02      1.900000E-05     0       +1.00      7.169326E-08    0.000000E+00    9.120988E-02    3.908300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.927181E-02      1.000000E-05     0       +1.00      5.819210E-08    0.000000E+00    9.120988E-02    3.908300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.010459E-02      8.000000E-06     0       +1.00      6.750201E-07    0.000000E+00    9.120988E-02    3.908300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.010459E-02      8.000000E-06     0       +1.00      1.930778E-07    0.000000E+00    9.120988E-02    3.908300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.962242E-02      2.000000E-05     0       +1.00      5.978677E-08    0.000000E+00    9.120988E-02    3.908300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.668965E-01      3.300000E-05     0       +1.00      9.313000E-10    0.000000E+00    9.120988E-02    3.908300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.725429E-01      3.500000E-05     0       +1.00      1.544940E-10    0.000000E+00    9.120988E-02    3.908300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.119898E-01      6.200000E-05     0       +1.00      8.808770E-07    0.000000E+00    9.120988E-02    3.908300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.981889E-01      1.000000E-04     0       +1.00      1.678646E-08    0.000000E+00    9.120988E-02    3.908300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.452263E-01      1.290000E-04     0       +1.00      5.722504E-07    0.000000E+00    9.120988E-02    3.908300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.326536E-01      1.470000E-04     0       +1.00      7.607551E-09    0.000000E+00    9.120988E-02    3.908300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.386245E-01      1.480000E-04     0       +1.00      1.192291E-06    0.000000E+00    9.120988E-02    3.908300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.880783E-01      1.580000E-04     0       +1.00      1.812532E-08    0.000000E+00    9.120988E-02    3.908300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.547765E-01      1.710000E-04     0       +1.00      3.759079E-08    0.000000E+00    9.120988E-02    3.908300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.240418E-01      1.850000E-04     0       +1.00      1.127413E-07    0.000000E+00    9.120988E-02    3.908300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.077764E+00      2.160000E-04     0       +1.00      1.245165E-07    0.000000E+00    9.120988E-02    3.908300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.199931E+00      2.400000E-04     0       +1.00      3.906541E-07    0.000000E+00    9.120988E-02    3.908300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.219128E+00      2.440000E-04     0       +1.00      3.043230E-07    0.000000E+00    9.120988E-02    3.908300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.228239E+00      2.460000E-04     0       +1.00      4.152784E-07    0.000000E+00    9.120988E-02    3.908300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.270428E+00      2.540000E-04     0       +1.00      2.745479E-07    0.000000E+00    9.120988E-02    3.908300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.295060E+00      2.590000E-04     0       +1.00      2.654310E-07    0.000000E+00    9.120988E-02    3.908300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.447815E+00      2.900000E-04     0       +1.00      4.095601E-09    0.000000E+00    9.120988E-02    3.908300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.476792E+00      2.950000E-04     0       +1.00      1.984999E-06    0.000000E+00    9.120988E-02    3.908300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.548196E+00      3.100000E-04     0       +1.00      4.183052E-08    0.000000E+00    9.120988E-02    3.908300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.565628E+00      3.130000E-04     0       +1.00      1.517060E-07    0.000000E+00    9.120988E-02    3.908300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.639812E+00      3.280000E-04     0       +1.00      1.107359E-06    0.000000E+00    9.120988E-02    3.908300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.678573E+00      3.360000E-04     0       +1.00      4.484916E-09    0.000000E+00    9.120988E-02    3.908300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.741401E+00      3.480000E-04     0       +1.00      3.014819E-08    0.000000E+00    9.120988E-02    3.908300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.799678E+00      3.600000E-04     0       +1.00      5.925370E-07    0.000000E+00    9.120988E-02    3.908300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.878397E+00      3.760000E-04     0       +1.00      1.716577E-07    0.000000E+00    9.120988E-02    3.908300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
