# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 07:55:35 2025
#                        
# Element                            : Ta
# Z                                  : 73
# A                                  : 184
# I                                  : 0
# Half-life                   [hours]: 8.7 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 3.763029E+01 
# Emax2 (background)             [eV]: 1.138770E+03 
# Number of resonances (<Emax)       : 96
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 4.827010E+01 
# Ress Int. (n,g) (systematics)  [b.]: 5.612880E+02 
# MACS 30 keV (calculated)       [b.]: 1.371500E+00
# Westcott factor (calculated)       : 9.774500E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 7.194600E+00 
# Res. Int (n,el) (calculated)   [b.]: 3.119350E+01 
#
# Scattering radius              [fm]: 7.55 +/- 0.53 
#
# Average Gtotal   l=0           [eV]: 3.477260E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 8.498550E-06 
# Average Gg       l=0           [eV]: 3.474570E-02 
# Average level spacing D0 (l=0) [eV]: 4.763330E-01 
# Neutron strength function S0 (l=0) : 8.870920E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -9.954844E+00      1.991000E-03     0       +4.50      3.311551E-05    1.000000E-06    3.571309E-02    2.227600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.094965E+00      1.819000E-03     0       +4.50      2.111549E-04    3.000000E-06    3.571309E-02    2.227600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.007746E+00      1.802000E-03     0       +4.50      4.364910E-06    0.000000E+00    3.571309E-02    2.227600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.676264E+00      1.735000E-03     0       +4.50      1.048031E-05    0.000000E+00    3.571309E-02    2.227600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.625376E+00      1.525000E-03     0       +4.50      7.335372E-06    0.000000E+00    3.571309E-02    2.227600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.030039E+00      1.406000E-03     0       +4.50      3.535165E-05    1.000000E-06    3.571309E-02    2.227600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.562708E+00      1.313000E-03     0       +4.50      1.000978E-04    2.000000E-06    3.571309E-02    2.227600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.648233E+00      1.130000E-03     0       +4.50      2.498312E-05    0.000000E+00    3.571309E-02    2.227600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.590601E+00      9.180000E-04     0       +4.50      6.641670E-06    0.000000E+00    3.571309E-02    2.227600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.832377E+00      7.660000E-04     0       +4.50      2.105140E-05    0.000000E+00    3.571309E-02    2.227600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.244456E+00      4.490000E-04     0       +4.50      1.821743E-05    0.000000E+00    3.571309E-02    2.227600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.079996E+00      4.160000E-04     0       +4.50      9.537506E-07    0.000000E+00    3.571309E-02    2.227600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.926630E+00      3.850000E-04     0       +4.50      1.213725E-05    0.000000E+00    3.571309E-02    2.227600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.351481E+00      2.700000E-04     0       +4.50      1.362386E-05    0.000000E+00    3.571309E-02    2.227600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.049650E-01      1.410000E-04     0       +4.50      1.821718E-06    0.000000E+00    3.571309E-02    2.227600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -3.757422E-01      7.500000E-05     0       +4.50      4.969895E-05    1.000000E-06    3.571309E-02    2.227600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.049650E-01      1.410000E-04     0       +4.50      1.326064E-08    0.000000E+00    3.571309E-02    2.227600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +7.930495E-01      1.590000E-04     0       +4.50      8.589688E-05    1.000000E-06    3.571309E-02    2.227600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.045635E+00      2.090000E-04     0       +4.50      3.198871E-07    0.000000E+00    3.571309E-02    2.227600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.566535E+00      3.130000E-04     0       +4.50      5.188742E-06    0.000000E+00    3.571309E-02    2.227600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.103981E+00      4.210000E-04     0       +4.50      6.732785E-05    1.000000E-06    3.571309E-02    2.227600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.229769E+00      4.460000E-04     0       +4.50      4.661698E-05    1.000000E-06    3.571309E-02    2.227600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.344777E+00      4.690000E-04     0       +4.50      2.677119E-05    0.000000E+00    3.571309E-02    2.227600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.565358E+00      5.130000E-04     0       +4.50      9.569582E-06    0.000000E+00    3.571309E-02    2.227600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.725440E+00      5.450000E-04     0       +4.50      7.859814E-05    1.000000E-06    3.571309E-02    2.227600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.459137E+00      6.920000E-04     0       +4.50      1.908859E-06    0.000000E+00    3.571309E-02    2.227600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.652912E+00      7.310000E-04     0       +4.50      3.428198E-08    0.000000E+00    3.571309E-02    2.227600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.197460E+00      8.390000E-04     0       +4.50      3.593579E-06    0.000000E+00    3.571309E-02    2.227600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.887142E+00      9.770000E-04     0       +4.50      5.681755E-05    1.000000E-06    3.571309E-02    2.227600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.889605E+00      9.780000E-04     0       +4.50      2.995351E-05    0.000000E+00    3.571309E-02    2.227600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.430998E+00      1.086000E-03     0       +4.50      1.133823E-07    0.000000E+00    3.571309E-02    2.227600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.302861E+00      1.261000E-03     0       +4.50      1.300661E-06    0.000000E+00    3.571309E-02    2.227600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.573824E+00      1.315000E-03     0       +4.50      1.690515E-05    0.000000E+00    3.571309E-02    2.227600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.997108E+00      1.599000E-03     0       +4.50      1.503473E-05    0.000000E+00    3.571309E-02    2.227600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.813541E+00      1.763000E-03     0       +4.50      3.864071E-07    0.000000E+00    3.571309E-02    2.227600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
