# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 08:52:13 2025
#                        
# Element                            : Ta
# Z                                  : 73
# A                                  : 189
# I                                  : 0
# Half-life                   [sec. ]: 20 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.611760E+02 
# Emax2 (background)             [eV]: 1.421730E+04 
# Number of resonances (<Emax)       : 25
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 2.782740E+01 
# Ress Int. (n,g) (systematics)  [b.]: 3.274360E+02 
# MACS 30 keV (calculated)       [b.]: 3.809900E-01
# Westcott factor (calculated)       : 9.974000E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 1.088730E+01 
# Res. Int (n,el) (calculated)   [b.]: 2.630060E+02 
#
# Scattering radius              [fm]: 7.61 +/- 7.61 
#
# Average Gtotal   l=0           [eV]: 4.133910E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.681230E-03 
# Average Gg       l=0           [eV]: 3.012290E-02 
# Average level spacing D0 (l=0) [eV]: 8.482950E+00 
# Neutron strength function S0 (l=0) : 9.899760E-05 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -7.923682E+01      1.584700E-02     0       +2.00      1.482397E-04    3.000000E-06    3.102035E-02    2.161700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.548921E+01      1.109800E-02     0       +2.00      1.642929E-02    2.860000E-04    3.102035E-02    2.161700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.774958E+01      9.550000E-03     0       +2.00      7.234718E-02    1.260000E-03    3.102035E-02    2.161700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.254603E+01      6.509000E-03     0       +2.00      5.534765E-03    9.600000E-05    3.102035E-02    2.161700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.291413E+01      2.583000E-03     0       +2.00      1.953790E-02    3.400000E-04    3.102035E-02    2.161700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.262766E+00      1.053000E-03     0       +2.00      2.548153E-02    4.440000E-04    3.102035E-02    2.161700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.184050E+00      1.037000E-03     0       +2.00      2.764357E-03    4.800000E-05    3.102035E-02    2.161700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.540601E+01      3.081000E-03     0       +2.00      3.214300E-03    5.600000E-05    3.102035E-02    2.161700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.369231E+01      4.738000E-03     0       +2.00      8.006760E-02    1.395000E-03    3.102035E-02    2.161700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.854924E+01      5.710000E-03     0       +2.00      1.840663E-02    3.210000E-04    3.102035E-02    2.161700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.774892E+01      9.550000E-03     0       +2.00      1.526272E-04    3.000000E-06    3.102035E-02    2.161700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.573075E+01      1.114600E-02     0       +3.00      8.946077E-03    1.560000E-04    2.982371E-02    2.078300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.671658E+01      1.334300E-02     0       +3.00      1.162583E-02    2.030000E-04    2.982371E-02    2.078300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.461178E+01      1.492200E-02     0       +3.00      5.549988E-04    1.000000E-05    2.982371E-02    2.078300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.285600E+01      1.657100E-02     0       +3.00      7.874001E-03    1.370000E-04    2.982371E-02    2.078300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.006979E+01      1.801400E-02     0       +3.00      5.080208E-03    8.900000E-05    2.982371E-02    2.078300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.773644E+01      1.954700E-02     0       +3.00      2.589581E-04    5.000000E-06    2.982371E-02    2.078300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.080123E+02      2.160200E-02     0       +3.00      2.714772E-02    4.730000E-04    2.982371E-02    2.078300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.144879E+02      2.289800E-02     0       +3.00      3.132349E-03    5.500000E-05    2.982371E-02    2.078300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.203723E+02      2.407400E-02     0       +3.00      3.544746E-05    1.000000E-06    2.982371E-02    2.078300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.270700E+02      2.541400E-02     0       +3.00      2.465378E-02    4.300000E-04    2.982371E-02    2.078300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.325177E+02      2.650400E-02     0       +3.00      3.854089E-03    6.700000E-05    2.982371E-02    2.078300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.428761E+02      2.857500E-02     0       +3.00      5.267647E-03    9.200000E-05    2.982371E-02    2.078300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.503578E+02      3.007200E-02     0       +3.00      1.075327E-04    2.000000E-06    2.982371E-02    2.078300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.548426E+02      3.096900E-02     0       +3.00      9.211289E-03    1.600000E-04    2.982371E-02    2.078300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.611760E+02      3.223500E-02     0       +3.00      1.196939E-02    2.090000E-04    2.982371E-02    2.078300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.641798E+02      3.283600E-02     1       +1.00      1.570434E-05    0.000000E+00    3.210066E-02    2.237000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.659692E+02      3.319400E-02     1       +1.00      9.800669E-05    2.000000E-06    3.210066E-02    2.237000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.666767E+02      3.333500E-02     1       +1.00      1.351826E-04    2.000000E-06    3.210066E-02    2.237000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.674342E+02      3.348700E-02     1       +1.00      1.557017E-04    3.000000E-06    3.210066E-02    2.237000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
