# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 21:40:54 2025
#                        
# Element                            : Tb
# Z                                  : 65
# A                                  : 146
# I                                  : 0
# Half-life                   [sec. ]: 8 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.513260E+01 
# Emax2 (background)             [eV]: 1.231770E+02 
# Number of resonances (<Emax)       : 92
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 1.045420E+02 
# Ress Int. (n,g) (systematics)  [b.]: 5.923620E+02 
# MACS 30 keV (calculated)       [b.]: 3.545300E+00
# Westcott factor (calculated)       : 9.548800E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 6.190780E+00 
# Res. Int (n,el) (calculated)   [b.]: 2.032670E+01 
#
# Scattering radius              [fm]: 6.99 +/- 6.99 
#
# Average Gtotal   l=0           [eV]: 2.365020E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.304990E-06 
# Average Gg       l=0           [eV]: 2.364990E-01 
# Average level spacing D0 (l=0) [eV]: 1.823200E-01 
# Neutron strength function S0 (l=0) : 3.443260E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.784395E+00      5.570000E-04     0       +0.50      3.014749E-08    0.000000E+00    2.382924E-01    9.952000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.911825E+00      3.820000E-04     0       +0.50      4.531750E-10    0.000000E+00    2.382924E-01    9.952000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.808668E+00      3.620000E-04     0       +0.50      4.605494E-06    0.000000E+00    2.382924E-01    9.952000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.802355E+00      3.600000E-04     0       +0.50      6.222918E-07    0.000000E+00    2.382924E-01    9.952000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.369757E+00      2.740000E-04     0       +0.50      9.847558E-06    0.000000E+00    2.382924E-01    9.952000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.129652E+00      2.260000E-04     0       +0.50      8.607786E-07    0.000000E+00    2.382924E-01    9.952000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.621253E-01      1.520000E-04     0       +0.50      1.236947E-07    0.000000E+00    2.382924E-01    9.952000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.035719E-01      4.100000E-05     0       +0.50      6.618037E-06    0.000000E+00    2.382924E-01    9.952000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.031576E-01      4.100000E-05     0       +0.50      1.888739E-06    0.000000E+00    2.382924E-01    9.952000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.035719E-01      4.100000E-05     0       +0.50      2.859025E-07    0.000000E+00    2.382924E-01    9.952000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.166126E-01      1.830000E-04     0       +0.50      1.322804E-07    0.000000E+00    2.382924E-01    9.952000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.385329E+00      2.770000E-04     0       +0.50      1.216212E-06    0.000000E+00    2.382924E-01    9.952000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.466776E+00      2.930000E-04     0       +0.50      1.395441E-05    0.000000E+00    2.382924E-01    9.952000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.622229E+00      3.240000E-04     0       +0.50      2.802395E-06    0.000000E+00    2.382924E-01    9.952000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.800662E+00      3.600000E-04     0       +0.50      8.811455E-06    0.000000E+00    2.382924E-01    9.952000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.950343E+00      3.900000E-04     0       +0.50      1.727004E-06    0.000000E+00    2.382924E-01    9.952000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.483206E+00      4.970000E-04     0       +0.50      2.526564E-08    0.000000E+00    2.382924E-01    9.952000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.959844E+00      5.920000E-04     0       +0.50      7.081687E-06    0.000000E+00    2.382924E-01    9.952000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.252721E+00      6.510000E-04     0       +0.50      4.280756E-06    0.000000E+00    2.382924E-01    9.952000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.325524E+00      6.650000E-04     0       +0.50      5.463279E-06    0.000000E+00    2.382924E-01    9.952000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.563977E+00      7.130000E-04     0       +0.50      1.422741E-06    0.000000E+00    2.382924E-01    9.952000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.630942E+00      7.260000E-04     0       +0.50      5.500858E-07    0.000000E+00    2.382924E-01    9.952000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.685600E+00      7.370000E-04     0       +0.50      3.722593E-06    0.000000E+00    2.382924E-01    9.952000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.775703E+00      7.550000E-04     0       +0.50      2.770555E-05    0.000000E+00    2.382924E-01    9.952000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.933661E+00      7.870000E-04     0       +0.50      7.582092E-07    0.000000E+00    2.382924E-01    9.952000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.305053E+00      8.610000E-04     0       +0.50      3.191749E-06    0.000000E+00    2.382924E-01    9.952000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.667167E+00      9.330000E-04     0       +0.50      1.576895E-05    0.000000E+00    2.382924E-01    9.952000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.788898E+00      9.580000E-04     0       +0.50      3.291638E-07    0.000000E+00    2.382924E-01    9.952000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.837219E+00      9.670000E-04     0       +0.50      2.535277E-06    0.000000E+00    2.382924E-01    9.952000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.210574E+00      1.042000E-03     0       +0.50      3.599575E-08    0.000000E+00    2.382924E-01    9.952000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.463561E+00      1.093000E-03     0       +0.50      5.388230E-10    0.000000E+00    2.382924E-01    9.952000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.593236E+00      1.119000E-03     0       +0.50      5.466670E-06    0.000000E+00    2.382924E-01    9.952000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.761451E+00      1.152000E-03     0       +1.50      5.326634E-06    0.000000E+00    2.358223E-01    9.848800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.998556E+00      1.200000E-03     0       +1.50      3.174802E-07    0.000000E+00    2.358223E-01    9.848800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.030196E+00      1.206000E-03     0       +1.50      2.943400E-06    0.000000E+00    2.358223E-01    9.848800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.080207E+00      1.216000E-03     0       +1.50      2.635810E-07    0.000000E+00    2.358223E-01    9.848800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.360986E+00      1.272000E-03     0       +1.50      2.035606E-06    0.000000E+00    2.358223E-01    9.848800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.408309E+00      1.282000E-03     0       +1.50      1.772589E-05    0.000000E+00    2.358223E-01    9.848800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.417857E+00      1.284000E-03     0       +1.50      1.162607E-06    0.000000E+00    2.358223E-01    9.848800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.629917E+00      1.326000E-03     0       +1.50      2.945655E-07    0.000000E+00    2.358223E-01    9.848800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.000671E+00      1.400000E-03     0       +1.50      3.973795E-06    0.000000E+00    2.358223E-01    9.848800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.022513E+00      1.405000E-03     0       +1.50      4.447693E-06    0.000000E+00    2.358223E-01    9.848800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.158271E+00      1.432000E-03     0       +1.50      1.092001E-06    0.000000E+00    2.358223E-01    9.848800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.288052E+00      1.458000E-03     0       +1.50      4.876071E-06    0.000000E+00    2.358223E-01    9.848800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.454072E+00      1.491000E-03     0       +1.50      2.558972E-08    0.000000E+00    2.358223E-01    9.848800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.728848E+00      1.546000E-03     0       +1.50      8.135457E-06    0.000000E+00    2.358223E-01    9.848800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.926560E+00      1.585000E-03     0       +1.50      6.313219E-06    0.000000E+00    2.358223E-01    9.848800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.992029E+00      1.598000E-03     0       +1.50      1.674635E-06    0.000000E+00    2.358223E-01    9.848800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.206223E+00      1.641000E-03     0       +1.50      8.431532E-07    0.000000E+00    2.358223E-01    9.848800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.248013E+00      1.650000E-03     0       +1.50      2.693245E-08    0.000000E+00    2.358223E-01    9.848800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.413692E+00      1.683000E-03     0       +1.50      3.501939E-06    0.000000E+00    2.358223E-01    9.848800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.538942E+00      1.708000E-03     0       +1.50      4.497565E-09    0.000000E+00    2.358223E-01    9.848800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.850436E+00      1.770000E-03     0       +1.50      2.212422E-07    0.000000E+00    2.358223E-01    9.848800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.972034E+00      1.794000E-03     0       +1.50      2.152623E-07    0.000000E+00    2.358223E-01    9.848800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.091634E+00      1.818000E-03     0       +1.50      1.244107E-06    0.000000E+00    2.358223E-01    9.848800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.469516E+00      1.894000E-03     0       +1.50      9.248507E-07    0.000000E+00    2.358223E-01    9.848800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
