# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Dec  3 01:28:23 2025
#                        
# Element                            : Tc
# Z                                  : 43
# A                                  : 89
# I                                  : 1
# Half-life                   [sec. ]: 12.9 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 6.298055E+00 
# Emax2 (background)             [eV]: 1.139190E+02 
# Number of resonances (<Emax)       : 16
# Number of resonances (<Emax2)      : 37
# Thermal (n,g) xs (systematics) [b.]: 1.984960E+01 
# Ress Int. (n,g) (systematics)  [b.]: 2.548660E+00 
# MACS 30 keV (calculated)       [b.]: 2.241000E-02
# Westcott factor (calculated)       : 9.806100E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 4.461870E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.083290E+01 
#
# Scattering radius              [fm]: 5.94 +/- 5.94 
#
# Average Gtotal   l=0           [eV]: 5.677260E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 4.133520E-07 
# Average Gg       l=0           [eV]: 5.677250E-01 
# Average level spacing D0 (l=0) [eV]: 6.298050E+00 
# Neutron strength function S0 (l=0) : 9.844770E-08 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -6.375985E+01      1.275200E-02     0       +0.00      8.683632E-06    0.000000E+00    5.831559E-01    2.343000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.299012E+01      8.598000E-03     0       +0.00      3.283282E-05    0.000000E+00    5.831559E-01    2.343000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.245450E+01      8.491000E-03     0       +0.00      1.052918E-08    0.000000E+00    5.831559E-01    2.343000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.814435E+01      7.629000E-03     0       +0.00      5.377437E-06    0.000000E+00    5.831559E-01    2.343000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.874664E+01      5.749000E-03     0       +0.00      4.214556E-05    0.000000E+00    5.831559E-01    2.343000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.130287E+01      4.261000E-03     0       +0.00      4.352923E-08    0.000000E+00    5.831559E-01    2.343000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.927022E+01      3.854000E-03     0       +1.00      9.311558E-06    0.000000E+00    5.677245E-01    2.281000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.853684E+01      3.707000E-03     0       +1.00      3.508550E-10    0.000000E+00    5.677245E-01    2.281000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.273476E+01      2.547000E-03     0       +1.00      1.972066E-07    0.000000E+00    5.677245E-01    2.281000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.229068E+01      2.458000E-03     0       +1.00      1.382363E-06    0.000000E+00    5.677245E-01    2.281000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.298055E+00      1.260000E-03     0       +1.00      3.562053E-06    0.000000E+00    5.677245E-01    2.281000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -6.291811E+00      1.258000E-03     0       +1.00      3.548943E-07    0.000000E+00    5.677245E-01    2.281000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.496584E+00      6.990000E-04     0       +1.00      7.342186E-07    0.000000E+00    5.677245E-01    2.281000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.021502E+00      2.040000E-04     0       +1.00      1.311607E-05    0.000000E+00    5.677245E-01    2.281000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.183393E+00      2.370000E-04     0       +1.00      1.008439E-09    0.000000E+00    5.677245E-01    2.281000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.298055E+00      1.260000E-03     0       +1.00      2.072363E-06    0.000000E+00    5.677245E-01    2.281000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +1.049395E+01      2.099000E-03     1       +0.00      5.440225E-09    0.000000E+00    5.711278E-01    2.294680E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.252098E+01      2.504000E-03     1       +0.00      9.720800E-10    0.000000E+00    5.711278E-01    2.294680E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.265969E+01      2.532000E-03     1       +0.00      3.351541E-09    0.000000E+00    5.711278E-01    2.294680E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.934746E+01      3.869000E-03     1       +0.00      1.760940E-10    0.000000E+00    5.711278E-01    2.294680E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
