# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Dec  3 01:16:21 2025
#                        
# Element                            : Te
# Z                                  : 52
# A                                  : 134
# I                                  : 0
# Half-life                   [min. ]: 41.8 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 3.799013E+04 
# Emax2 (background)             [eV]: 5.533100E+05 
# Number of resonances (<Emax)       : 18
# Number of resonances (<Emax2)      : 43
# Thermal (n,g) xs (systematics) [b.]: 5.413670E-02 
# Ress Int. (n,g) (systematics)  [b.]: 4.542110E-02 
# MACS 30 keV (calculated)       [b.]: 1.360800E-03
# Westcott factor (calculated)       : 1.000570E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 6.375780E+01 
# Res. Int (n,el) (calculated)   [b.]: 1.839090E+03 
#
# Scattering radius              [fm]: 6.80 +/- 6.80 
#
# Average Gtotal   l=0           [eV]: 8.596240E+03 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.025280E+04 
# Average Gg       l=0           [eV]: 7.149320E-02 
# Average level spacing D0 (l=0) [eV]: 1.266340E+04 
# Neutron strength function S0 (l=0) : 3.730600E-01 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.633874E+05      3.267748E+01     0       +0.50      7.426326E+00    1.272540E-01    9.951366E-02    6.820900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.518567E+05      3.037134E+01     0       +0.50      1.676503E+04    2.872767E+02    9.951366E-02    6.820900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.395257E+05      2.790514E+01     0       +0.50      2.908781E+03    4.984333E+01    9.951366E-02    6.820900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.138414E+05      2.276828E+01     0       +0.50      1.273712E+03    2.182565E+01    9.951366E-02    6.820900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.329727E+04      1.865946E+01     0       +0.50      1.511709E+03    2.590384E+01    9.951366E-02    6.820900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.272990E+04      1.854598E+01     0       +0.50      2.195496E+04    3.762086E+02    9.951366E-02    6.820900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.334461E+04      1.266892E+01     0       +0.50      1.147239E+01    1.965850E-01    9.951366E-02    6.820900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.502830E+04      1.100566E+01     0       +0.50      4.662642E+04    7.989656E+02    9.951366E-02    6.820900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.799013E+04      7.598026E+00     0       +0.50      1.512883E+04    2.592396E+02    9.951366E-02    6.820900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.774587E+04      5.549174E+00     1       +0.50      6.795862E+03    1.164503E+02    7.298951E-02    5.002800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.060818E+04      4.121636E+00     1       +0.50      1.260202E+04    2.159415E+02    7.298951E-02    5.002800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.972493E+04      3.944986E+00     1       +0.50      1.509099E+02    2.585912E+00    7.298951E-02    5.002800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.338615E+03      1.467723E+00     1       +0.50      1.550679E+02    2.657161E+00    7.298951E-02    5.002800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.568240E+03      9.136480E-01     1       +0.50      5.928558E+03    1.015886E+02    7.298951E-02    5.002800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.924478E+03      9.848960E-01     1       +0.50      2.820058E+04    4.832302E+02    7.298951E-02    5.002800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.350105E+03      1.270021E+00     1       +0.50      2.127321E+03    3.645264E+01    7.298951E-02    5.002800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.089589E+04      2.179178E+00     1       +1.50      3.415824E+03    5.853175E+01    6.999689E-02    4.797700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.017041E+04      4.034082E+00     1       +1.50      6.409323E+02    1.098268E+01    6.999689E-02    4.797700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.112280E+04      1.822456E+01     1       +1.50      1.849685E+02    3.169522E+00    6.999689E-02    4.797700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.121400E+04      1.824280E+01     1       +1.50      1.530228E+03    2.622118E+01    6.999689E-02    4.797700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.246600E+04      1.849320E+01     1       +1.50      1.403169E+03    2.404396E+01    6.999689E-02    4.797700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.034229E+05      2.068458E+01     1       +1.50      4.608932E+02    7.897622E+00    6.999689E-02    4.797700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.181602E+05      2.363204E+01     1       +1.50      1.187332E+04    2.034549E+02    6.999689E-02    4.797700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.326791E+05      2.653582E+01     1       +1.50      2.143015E+02    3.672157E+00    6.999689E-02    4.797700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.399861E+05      2.799722E+01     1       +1.50      1.170749E+04    2.006133E+02    6.999689E-02    4.797700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.494506E+05      2.989012E+01     1       +1.50      3.019694E+03    5.174388E+01    6.999689E-02    4.797700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.779219E+05      3.558438E+01     2       +1.50      9.261826E+01    1.587057E+00    8.878239E-02    6.085300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.294537E+05      4.589074E+01     2       +1.50      1.538704E+02    2.636642E+00    8.878239E-02    6.085300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.595597E+05      5.191194E+01     2       +1.50      1.717709E+02    2.943375E+00    8.878239E-02    6.085300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.746009E+05      5.492018E+01     2       +1.50      2.158349E+03    3.698432E+01    8.878239E-02    6.085300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.881247E+05      5.762494E+01     2       +1.50      8.412136E+02    1.441459E+01    8.878239E-02    6.085300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.989941E+05      5.979882E+01     2       +1.50      1.390661E+01    2.382960E-01    8.878239E-02    6.085300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.190441E+05      6.380882E+01     2       +1.50      5.193367E+02    8.899078E+00    8.878239E-02    6.085300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.539317E+05      7.078634E+01     2       +2.50      1.430921E+01    2.451950E-01    1.108508E-01    7.597900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.600127E+05      9.200254E+01     2       +2.50      1.735977E+02    2.974678E+00    1.108508E-01    7.597900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.605801E+05      9.211602E+01     2       +2.50      1.982705E+02    3.397458E+00    1.108508E-01    7.597900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.899654E+05      9.799308E+01     2       +2.50      1.617074E+01    2.770930E-01    1.108508E-01    7.597900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.982817E+05      9.965634E+01     2       +2.50      6.976258E+01    1.195415E+00    1.108508E-01    7.597900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
