# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 07:11:22 2025
#                        
# Element                            : Th
# Z                                  : 90
# A                                  : 239
# I                                  : 0
# Half-life                   [min. ]: 1 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.221263E+01 
# Emax2 (background)             [eV]: 8.000000E+01 
# Number of resonances (<Emax)       : 52
# Number of resonances (<Emax2)      : 131
# Thermal (n,g) xs (systematics) [b.]: 4.593960E+01 
# Ress Int. (n,g) (systematics)  [b.]: 6.164140E+01 
# MACS 30 keV (calculated)       [b.]: 4.845400E-01
# Westcott factor (calculated)       : 1.286670E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 1.510010E+04 
# Res. Int (n,el) (calculated)   [b.]: 1.232760E+03 
#
# Thermal  (n,f) xs              [b.]: 1.678250E+02 (Syst.) 
# Resonance Integral (n,f) xs    [b.]: 9.955110E+01
#
# Scattering radius              [fm]: 8.23 +/- 8.23 
#
# Average Gtotal   l=0           [eV]: 3.887510E-04 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.468790E-04 
# Average Gg       l=0           [eV]: 4.473340E-06 
# Average level spacing D0 (l=0) [eV]: 5.845430E-01 
# Neutron strength function S0 (l=0) : 1.277320E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -8.637499E+00      1.727000E-03     0       +3.00      1.397463E-04    3.000000E-06    4.561420E-06    3.000000E-06    +1.666363E-05   1.200000E-05    +0.000000E+00   0.000000E+00      hfr  
  -7.035585E+00      1.407000E-03     0       +3.00      1.025415E-07    0.000000E+00    4.561420E-06    3.000000E-06    +1.666363E-05   1.200000E-05    +0.000000E+00   0.000000E+00      hfr  
  -7.015047E+00      1.403000E-03     0       +3.00      4.121404E-04    8.000000E-06    4.561420E-06    3.000000E-06    +1.666363E-05   1.200000E-05    +0.000000E+00   0.000000E+00      hfr  
  -5.826921E+00      1.165000E-03     0       +3.00      4.890401E-05    1.000000E-06    4.561420E-06    3.000000E-06    +1.666363E-05   1.200000E-05    +0.000000E+00   0.000000E+00      hfr  
  -5.215395E+00      1.043000E-03     0       +3.00      1.817353E-04    3.000000E-06    4.561420E-06    3.000000E-06    +1.666363E-05   1.200000E-05    +0.000000E+00   0.000000E+00      hfr  
  -4.755884E+00      9.510000E-04     0       +3.00      1.597121E-03    3.000000E-05    4.561420E-06    3.000000E-06    +1.666363E-05   1.200000E-05    +0.000000E+00   0.000000E+00      hfr  
  -3.533533E+00      7.070000E-04     0       +3.00      4.424483E-04    8.000000E-06    4.561420E-06    3.000000E-06    +1.666363E-05   1.200000E-05    +0.000000E+00   0.000000E+00      hfr  
  -3.429980E+00      6.860000E-04     0       +3.00      1.369901E-04    3.000000E-06    4.561420E-06    3.000000E-06    +1.666363E-05   1.200000E-05    +0.000000E+00   0.000000E+00      hfr  
  -3.167383E+00      6.330000E-04     0       +3.00      1.179949E-04    2.000000E-06    4.561420E-06    3.000000E-06    +1.666363E-05   1.200000E-05    +0.000000E+00   0.000000E+00      hfr  
  -2.654459E+00      5.310000E-04     0       +3.00      9.132511E-06    0.000000E+00    4.561420E-06    3.000000E-06    +1.666363E-05   1.200000E-05    +0.000000E+00   0.000000E+00      hfr  
  -2.193125E+00      4.390000E-04     0       +3.00      2.488276E-04    5.000000E-06    4.561420E-06    3.000000E-06    +1.666363E-05   1.200000E-05    +0.000000E+00   0.000000E+00      hfr  
  -1.749819E+00      3.500000E-04     0       +3.00      1.641302E-03    3.100000E-05    4.561420E-06    3.000000E-06    +1.666363E-05   1.200000E-05    +0.000000E+00   0.000000E+00      hfr  
