# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Dec  3 01:24:43 2025
#                        
# Element                            : Ti
# Z                                  : 22
# A                                  : 53
# I                                  : 0
# Half-life                   [sec. ]: 32.7 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.457901E+04 
# Emax2 (background)             [eV]: 5.000000E+04 
# Number of resonances (<Emax)       : 20
# Number of resonances (<Emax2)      : 26
# Thermal (n,g) xs (systematics) [b.]: 3.264430E-01 
# Ress Int. (n,g) (systematics)  [b.]: 1.740040E-01 
# MACS 30 keV (calculated)       [b.]: 1.156400E-03
# Westcott factor (calculated)       : 1.000560E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 2.146580E+02 
# Res. Int (n,el) (calculated)   [b.]: 2.131080E+03 
#
# Scattering radius              [fm]: 5.00 +/- 5.00 
#
# Average Gtotal   l=0           [eV]: 3.628550E+01 
# Average reduced (Gn^0) Gn l=0  [eV]: 4.348920E+02 
# Average Gg       l=0           [eV]: 3.219190E-02 
# Average level spacing D0 (l=0) [eV]: 2.457900E+04 
# Neutron strength function S0 (l=0) : 1.032130E-02 
#
# Average Gtotal   l=1           [eV]: 2.133610E+00 
# Average reduced (Gn^1) Gn l=1  [eV]: 1.159720E+03 
# Average Gg       l=1           [eV]: 2.041320E-01 
# Average level spacing D1 (l=1) [eV]: 1.228950E+04 
# Neutron strength function S1 (l=1) : 3.816710E-03 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -4.473853E+04      8.947706E+00     0       +1.00      9.059988E+04    1.132409E+03    2.886195E-01    1.442980E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.271315E+04      8.542630E+00     0       +1.00      1.538093E-01    1.922000E-03    2.886195E-01    1.442980E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.816211E+04      7.632422E+00     0       +1.00      9.304009E+04    1.162909E+03    2.886195E-01    1.442980E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.684421E+04      7.368842E+00     0       +1.00      3.436474E-01    4.295000E-03    2.886195E-01    1.442980E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.612829E+04      7.225658E+00     0       +2.00      2.016961E+04    2.521002E+02    7.631209E-02    3.815300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.457901E+04      4.915802E+00     0       +2.00      2.854869E+04    3.568304E+02    7.631209E-02    3.815300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.429480E+04      4.858960E+00     1       +0.00      3.753930E+02    4.692041E+00    2.101678E-02    1.050800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.077825E+04      4.155650E+00     1       +0.00      2.723726E+01    3.404390E-01    2.101678E-02    1.050800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.796858E+04      3.593716E+00     1       +1.00      1.026586E+02    1.283131E+00    9.364913E-02    4.682100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.664223E+04      3.328446E+00     1       +1.00      7.739299E-01    9.673000E-03    9.364913E-02    4.682100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.661955E+04      3.323910E+00     1       +1.00      1.137819E+02    1.422161E+00    9.364913E-02    4.682100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.025900E+04      2.051800E+00     1       +2.00      1.457797E+02    1.822102E+00    3.096095E-02    1.547900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -9.294545E+03      1.858909E+00     1       +2.00      4.840373E-01    6.050000E-03    3.096095E-02    1.547900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.330650E+03      1.666130E+00     1       +2.00      2.579822E+01    3.224520E-01    3.096095E-02    1.547900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.132842E+03      2.265680E-01     1       +2.00      1.126632E+00    1.408200E-02    3.096095E-02    1.547900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.662945E+03      3.325890E-01     1       +3.00      6.801354E+01    8.501020E-01    3.219189E-02    1.609500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.202776E+03      1.440555E+00     1       +3.00      4.493044E+00    5.615900E-02    3.219189E-02    1.609500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.025900E+04      2.051800E+00     2       +0.00      5.341436E+00    6.676300E-02    3.515707E-02    1.757700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +1.307172E+04      2.614344E+00     2       +1.00      6.762936E-02    8.450000E-04    2.886195E-01    1.442980E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.378765E+04      2.757530E+00     2       +1.00      3.793604E-01    4.742000E-03    2.886195E-01    1.442980E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.533692E+04      5.067384E+00     2       +2.00      3.474082E-02    4.340000E-04    7.631210E-02    3.815300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.562113E+04      5.124226E+00     2       +2.00      7.168987E-01    8.961000E-03    7.631210E-02    3.815300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.194735E+04      6.389470E+00     2       +2.00      1.663070E+00    2.078700E-02    7.631210E-02    3.815300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.158528E+04      8.317056E+00     2       +3.00      6.744893E+00    8.430400E-02    8.379891E-02    4.189600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.825301E+04      9.650602E+00     2       +4.00      3.397476E+00    4.246500E-02    3.693109E-02    1.846400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.878309E+04      9.756618E+00     2       +4.00      3.088204E-01    3.860000E-03    3.693109E-02    1.846400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
