# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Dec  3 01:24:15 2025
#                        
# Element                            : Tl
# Z                                  : 81
# A                                  : 188
# I                                  : 0
# Half-life                   [min. ]: 1.18333 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 4.502601E-01 
# Emax2 (background)             [eV]: 4.532750E+00 
# Number of resonances (<Emax)       : 100
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 3.122290E+02 
# Ress Int. (n,g) (systematics)  [b.]: 1.464070E+03 
# MACS 30 keV (calculated)       [b.]: 0.000000E+00
# Westcott factor (calculated)       : 9.722500E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 7.179810E+00 
# Res. Int (n,el) (calculated)   [b.]: 0.000000E+00 
#
# Scattering radius              [fm]: 7.60 +/- 7.60 
#
# Average Gtotal   l=0           [eV]: 1.186250E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.200540E-07 
# Average Gg       l=0           [eV]: 1.186250E-01 
# Average level spacing D0 (l=0) [eV]: 4.594390E-03 
# Neutron strength function S0 (l=0) : 1.204540E-05 
#
# Average Gtotal   l=1           [eV]: 1.199140E-01 
# Average reduced (Gn^1) Gn l=1  [eV]: 3.836730E-06 
# Average Gg       l=1           [eV]: 1.199140E-01 
# Neutron strength function S1 (l=1) : 7.673460E-07 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  +2.300808E-03      0.000000E+00     0       +1.50      3.389577E-09    0.000000E+00    1.192625E-01    5.262500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +1.164458E-02      2.000000E-06     0       +1.50      1.628453E-07    0.000000E+00    1.192625E-01    5.262500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.366367E-02      3.000000E-06     0       +1.50      8.362667E-08    0.000000E+00    1.192625E-01    5.262500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.713313E-02      3.000000E-06     0       +1.50      1.353581E-08    0.000000E+00    1.192625E-01    5.262500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.758273E-02      4.000000E-06     0       +1.50      3.906617E-08    0.000000E+00    1.192625E-01    5.262500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.782280E-02      6.000000E-06     0       +1.50      1.201463E-09    0.000000E+00    1.192625E-01    5.262500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.450831E-02      7.000000E-06     0       +1.50      7.936950E-10    0.000000E+00    1.192625E-01    5.262500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.487139E-02      9.000000E-06     0       +1.50      2.928076E-07    0.000000E+00    1.192625E-01    5.262500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.487704E-02      9.000000E-06     0       +1.50      2.512710E-10    0.000000E+00    1.192625E-01    5.262500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.457126E-02      1.100000E-05     0       +1.50      2.028210E-09    0.000000E+00    1.192625E-01    5.262500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.494843E-02      1.100000E-05     0       +1.50      6.507869E-08    0.000000E+00    1.192625E-01    5.262500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.605166E-02      1.100000E-05     0       +1.50      2.236527E-08    0.000000E+00    1.192625E-01    5.262500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.218285E-02      1.200000E-05     0       +1.50      6.871304E-08    0.000000E+00    1.192625E-01    5.262500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.065803E-02      1.400000E-05     0       +1.50      2.003059E-08    0.000000E+00    1.192625E-01    5.262500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.394766E-02      1.500000E-05     0       +1.50      3.187930E-08    0.000000E+00    1.192625E-01    5.262500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.559780E-02      1.500000E-05     0       +1.50      9.232339E-09    0.000000E+00    1.192625E-01    5.262500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.761887E-02      1.800000E-05     0       +1.50      4.955337E-09    0.000000E+00    1.192625E-01    5.262500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.952747E-02      1.800000E-05     0       +1.50      8.146555E-08    0.000000E+00    1.192625E-01    5.262500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.006304E-01      2.000000E-05     0       +1.50      1.848139E-07    0.000000E+00    1.192625E-01    5.262500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.020815E-01      2.000000E-05     0       +1.50      5.139574E-08    0.000000E+00    1.192625E-01    5.262500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.062422E-01      2.100000E-05     0       +1.50      4.081273E-08    0.000000E+00    1.192625E-01    5.262500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.106512E-01      2.200000E-05     0       +1.50      5.784065E-09    0.000000E+00    1.192625E-01    5.262500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.118389E-01      2.200000E-05     0       +1.50      2.968897E-08    0.000000E+00    1.192625E-01    5.262500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.154659E-01      2.300000E-05     0       +1.50      1.852235E-08    0.000000E+00    1.192625E-01    5.262500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.180429E-01      2.400000E-05     0       +1.50      1.153944E-07    0.000000E+00    1.192625E-01    5.262500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.184325E-01      2.400000E-05     0       +1.50      1.226825E-08    0.000000E+00    1.192625E-01    5.262500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.232016E-01      2.500000E-05     0       +1.50      5.232176E-08    0.000000E+00    1.192625E-01    5.262500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.307977E-01      2.600000E-05     0       +1.50      1.133239E-08    0.000000E+00    1.192625E-01    5.262500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.346994E-01      2.700000E-05     0       +1.50      3.886790E-10    0.000000E+00    1.192625E-01    5.262500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.352199E-01      2.700000E-05     0       +1.50      2.653006E-08    0.000000E+00    1.192625E-01    5.262500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.429360E-01      2.900000E-05     0       +1.50      1.165724E-07    0.000000E+00    1.192625E-01    5.262500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.549235E-01      3.100000E-05     0       +1.50      2.962840E-09    0.000000E+00    1.192625E-01    5.262500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.564391E-01      3.100000E-05     0       +1.50      7.264624E-09    0.000000E+00    1.192625E-01    5.262500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.591191E-01      3.200000E-05     0       +1.50      3.552924E-09    0.000000E+00    1.192625E-01    5.262500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.643639E-01      3.300000E-05     0       +1.50      1.706761E-07    0.000000E+00    1.192625E-01    5.262500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.705944E-01      3.400000E-05     0       +1.50      8.763997E-08    0.000000E+00    1.192625E-01    5.262500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.742097E-01      3.500000E-05     0       +2.50      5.996969E-08    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.790772E-01      3.600000E-05     0       +2.50      1.160476E-08    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.815535E-01      3.600000E-05     0       +2.50      5.344380E-10    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.869291E-01      3.700000E-05     0       +2.50      9.498592E-08    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.888077E-01      3.800000E-05     0       +2.50      2.965795E-08    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.016938E-01      4.000000E-05     0       +2.50      1.425069E-08    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.040556E-01      4.100000E-05     0       +2.50      1.041142E-09    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.063286E-01      4.100000E-05     0       +2.50      3.130747E-08    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.065615E-01      4.100000E-05     0       +2.50      3.088051E-09    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.150977E-01      4.300000E-05     0       +2.50      5.678451E-09    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.222979E-01      4.400000E-05     0       +2.50      2.476781E-08    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.244363E-01      4.500000E-05     0       +2.50      1.618141E-08    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.262741E-01      4.500000E-05     0       +2.50      2.162260E-08    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.292586E-01      4.600000E-05     0       +2.50      3.428710E-10    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.396932E-01      4.800000E-05     0       +2.50      4.600930E-11    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.413095E-01      4.800000E-05     0       +2.50      5.345205E-08    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.463526E-01      4.900000E-05     0       +2.50      7.052293E-09    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.472341E-01      4.900000E-05     0       +2.50      7.616322E-08    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.500252E-01      5.000000E-05     0       +2.50      6.901180E-10    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.612464E-01      5.200000E-05     0       +2.50      1.229749E-07    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.697102E-01      5.400000E-05     0       +2.50      1.503147E-08    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.748191E-01      5.500000E-05     0       +2.50      9.091725E-09    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.849004E-01      5.700000E-05     0       +2.50      6.312297E-08    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.874674E-01      5.700000E-05     0       +2.50      1.601250E-07    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.919250E-01      5.800000E-05     0       +2.50      5.117722E-08    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.927204E-01      5.900000E-05     0       +2.50      2.325467E-08    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.978846E-01      6.000000E-05     0       +2.50      1.875406E-08    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.997607E-01      6.000000E-05     0       +2.50      1.114738E-08    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.008673E-01      6.000000E-05     0       +2.50      4.969814E-09    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.053782E-01      6.100000E-05     0       +2.50      4.257669E-08    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.075562E-01      6.200000E-05     0       +2.50      1.744884E-09    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.119118E-01      6.200000E-05     0       +2.50      1.947187E-09    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.239324E-01      6.500000E-05     0       +2.50      3.725451E-08    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.255343E-01      6.500000E-05     0       +2.50      1.819210E-10    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.282507E-01      6.600000E-05     0       +2.50      3.610474E-09    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.316938E-01      6.600000E-05     0       +2.50      2.659224E-08    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.372474E-01      6.700000E-05     0       +2.50      7.371859E-08    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.413926E-01      6.800000E-05     0       +2.50      7.822402E-09    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.463316E-01      6.900000E-05     0       +2.50      3.013659E-09    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.529901E-01      7.100000E-05     0       +2.50      4.792834E-08    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.585107E-01      7.200000E-05     0       +2.50      2.153618E-07    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.612976E-01      7.200000E-05     0       +2.50      1.316102E-08    0.000000E+00    1.181558E-01    5.213700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
