# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 07:22:56 2025
#                        
# Element                            : Tl
# Z                                  : 81
# A                                  : 193
# I                                  : 0
# Half-life                   [min. ]: 21.6 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 9.097674E+00 
# Emax2 (background)             [eV]: 1.101810E+02 
# Number of resonances (<Emax)       : 91
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 1.337090E+02 
# Ress Int. (n,g) (systematics)  [b.]: 3.569430E+02 
# MACS 30 keV (calculated)       [b.]: 2.499700E+00
# Westcott factor (calculated)       : 1.289440E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 7.439820E+00 
# Res. Int (n,el) (calculated)   [b.]: 2.074330E+01 
#
# Scattering radius              [fm]: 7.67 +/- 7.67 
#
# Average Gtotal   l=0           [eV]: 6.707570E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.168860E-06 
# Average Gg       l=0           [eV]: 6.707390E-02 
# Average level spacing D0 (l=0) [eV]: 1.096100E-01 
# Neutron strength function S0 (l=0) : 4.756490E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.861214E+00      3.720000E-04     0       +0.00      4.191498E-07    0.000000E+00    6.735823E-02    3.220200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.587881E+00      3.180000E-04     0       +0.00      6.468267E-06    0.000000E+00    6.735823E-02    3.220200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.405768E-01      1.880000E-04     0       +0.00      2.735633E-07    0.000000E+00    6.735823E-02    3.220200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.462752E-01      1.490000E-04     0       +0.00      6.578879E-07    0.000000E+00    6.735823E-02    3.220200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.761580E-01      7.500000E-05     0       +0.00      6.436736E-06    0.000000E+00    6.735823E-02    3.220200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.394072E-01      6.800000E-05     0       +0.00      1.127022E-05    0.000000E+00    6.735823E-02    3.220200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.093358E-01      2.200000E-05     0       +0.00      4.900315E-06    0.000000E+00    6.735823E-02    3.220200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +1.093358E-01      2.200000E-05     0       +0.00      2.426856E-06    0.000000E+00    6.735823E-02    3.220200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +4.442340E-01      8.900000E-05     0       +0.00      4.287910E-08    0.000000E+00    6.735823E-02    3.220200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.047733E-01      1.210000E-04     0       +0.00      7.695053E-07    0.000000E+00    6.735823E-02    3.220200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.254833E-01      1.250000E-04     0       +0.00      1.818114E-06    0.000000E+00    6.735823E-02    3.220200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.039159E+00      2.080000E-04     0       +0.00      1.069646E-06    0.000000E+00    6.735823E-02    3.220200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.170184E+00      2.340000E-04     0       +0.00      2.966783E-05    0.000000E+00    6.735823E-02    3.220200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.233817E+00      2.470000E-04     0       +0.00      2.189749E-06    0.000000E+00    6.735823E-02    3.220200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.235768E+00      2.470000E-04     0       +0.00      1.482711E-06    0.000000E+00    6.735823E-02    3.220200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.347171E+00      2.690000E-04     0       +0.00      1.141073E-07    0.000000E+00    6.735823E-02    3.220200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.631473E+00      3.260000E-04     0       +0.00      4.062476E-06    0.000000E+00    6.735823E-02    3.220200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.716903E+00      3.430000E-04     0       +0.00      1.465553E-07    0.000000E+00    6.735823E-02    3.220200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.763858E+00      3.530000E-04     0       +0.00      3.735397E-06    0.000000E+00    6.735823E-02    3.220200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.260662E+00      4.520000E-04     0       +0.00      8.419610E-10    0.000000E+00    6.735823E-02    3.220200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.292624E+00      4.590000E-04     0       +0.00      1.071041E-05    0.000000E+00    6.735823E-02    3.220200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.294811E+00      4.590000E-04     0       +0.00      4.622291E-07    0.000000E+00    6.735823E-02    3.220200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.517567E+00      5.040000E-04     0       +0.00      7.127288E-06    0.000000E+00    6.735823E-02    3.220200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.689887E+00      5.380000E-04     0       +0.00      3.012408E-07    0.000000E+00    6.735823E-02    3.220200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.840606E+00      5.680000E-04     0       +1.00      1.394149E-06    0.000000E+00    6.700166E-02    3.203100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.021725E+00      6.040000E-04     0       +1.00      1.850193E-06    0.000000E+00    6.700166E-02    3.203100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.194194E+00      6.390000E-04     0       +1.00      2.113642E-06    0.000000E+00    6.700166E-02    3.203100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.315758E+00      6.630000E-04     0       +1.00      5.731242E-08    0.000000E+00    6.700166E-02    3.203100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.382898E+00      6.770000E-04     0       +1.00      2.252295E-06    0.000000E+00    6.700166E-02    3.203100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.531771E+00      7.060000E-04     0       +1.00      7.366618E-08    0.000000E+00    6.700166E-02    3.203100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.782339E+00      7.560000E-04     0       +1.00      4.823190E-07    0.000000E+00    6.700166E-02    3.203100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.795774E+00      7.590000E-04     0       +1.00      1.676757E-06    0.000000E+00    6.700166E-02    3.203100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.826838E+00      7.650000E-04     0       +1.00      1.775962E-06    0.000000E+00    6.700166E-02    3.203100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.865347E+00      7.730000E-04     0       +1.00      6.708566E-07    0.000000E+00    6.700166E-02    3.203100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.957691E+00      7.920000E-04     0       +1.00      3.420498E-07    0.000000E+00    6.700166E-02    3.203100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.129712E+00      8.260000E-04     0       +1.00      2.562862E-09    0.000000E+00    6.700166E-02    3.203100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.160135E+00      8.320000E-04     0       +1.00      1.254987E-06    0.000000E+00    6.700166E-02    3.203100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.189100E+00      8.380000E-04     0       +1.00      3.664888E-06    0.000000E+00    6.700166E-02    3.203100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.374337E+00      8.750000E-04     0       +1.00      3.491768E-08    0.000000E+00    6.700166E-02    3.203100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.536935E+00      9.070000E-04     0       +1.00      2.065538E-06    0.000000E+00    6.700166E-02    3.203100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
