# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 07:10:44 2025
#                        
# Element                            : Tl
# Z                                  : 81
# A                                  : 199
# I                                  : 0
# Half-life                   [hours]: 7.41944 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 3.199794E+02 
# Emax2 (background)             [eV]: 2.006760E+03 
# Number of resonances (<Emax)       : 84
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 3.216630E+01 
# Ress Int. (n,g) (systematics)  [b.]: 1.543240E+02 
# MACS 30 keV (calculated)       [b.]: 6.549400E-01
# Westcott factor (calculated)       : 9.970400E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 7.668040E+00 
# Res. Int (n,el) (calculated)   [b.]: 5.578910E+01 
#
# Scattering radius              [fm]: 7.74 +/- 0.54 
#
# Average Gtotal   l=0           [eV]: 1.958570E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.955000E-04 
# Average Gg       l=0           [eV]: 1.941610E-01 
# Average level spacing D0 (l=0) [eV]: 4.775810E+00 
# Neutron strength function S0 (l=0) : 1.997250E-05 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.149155E+02      4.298300E-02     0       +0.00      5.853397E-06    0.000000E+00    2.053511E-01    1.126560E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.795261E+02      3.590500E-02     0       +0.00      1.711626E-04    2.000000E-06    2.053511E-01    1.126560E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.141209E+02      2.282400E-02     0       +0.00      4.777259E-05    1.000000E-06    2.053511E-01    1.126560E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.065288E+02      2.130600E-02     0       +0.00      5.289726E-04    7.000000E-06    2.053511E-01    1.126560E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.045187E+02      2.090400E-02     0       +0.00      1.217758E-03    1.700000E-05    2.053511E-01    1.126560E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.838709E+01      1.967700E-02     0       +0.00      1.259273E-02    1.730000E-04    2.053511E-01    1.126560E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.875147E+01      1.775000E-02     0       +0.00      3.369817E-03    4.600000E-05    2.053511E-01    1.126560E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.647132E+01      1.329400E-02     0       +0.00      4.696680E-04    6.000000E-06    2.053511E-01    1.126560E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.080470E+01      1.216100E-02     0       +0.00      8.175205E-03    1.120000E-04    2.053511E-01    1.126560E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.965016E+01      9.930000E-03     0       +0.00      3.079854E-03    4.200000E-05    2.053511E-01    1.126560E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
