# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Dec  3 01:10:42 2025
#                        
# Element                            : Tm
# Z                                  : 69
# A                                  : 172
# I                                  : 0
# Half-life                   [days ]: 2.65046 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 6.656272E+01 
# Emax2 (background)             [eV]: 2.068010E+03 
# Number of resonances (<Emax)       : 88
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 4.491300E+01 
# Ress Int. (n,g) (systematics)  [b.]: 1.197810E+03 
# MACS 30 keV (calculated)       [b.]: 1.405700E+00
# Westcott factor (calculated)       : 1.014630E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 5.580800E+00 
# Res. Int (n,el) (calculated)   [b.]: 4.251630E+01 
#
# Scattering radius              [fm]: 7.38 +/- 7.38 
#
# Average Gtotal   l=0           [eV]: 5.620240E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 6.592010E-05 
# Average Gg       l=0           [eV]: 5.594540E-02 
# Average level spacing D0 (l=0) [eV]: 9.118180E-01 
# Neutron strength function S0 (l=0) : 3.444630E-05 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -3.029774E+01      6.060000E-03     0       +1.50      1.941057E-04    3.000000E-06    5.716372E-02    3.376000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.401884E+01      4.804000E-03     0       +1.50      3.212487E-05    0.000000E+00    5.716372E-02    3.376000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.179002E+01      4.358000E-03     0       +1.50      1.103050E-04    2.000000E-06    5.716372E-02    3.376000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.958793E+01      3.918000E-03     0       +1.50      5.781884E-04    9.000000E-06    5.716372E-02    3.376000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.469612E+01      2.939000E-03     0       +1.50      7.923095E-05    1.000000E-06    5.716372E-02    3.376000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.415580E+01      2.831000E-03     0       +1.50      2.109572E-04    3.000000E-06    5.716372E-02    3.376000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.301032E+01      2.602000E-03     0       +1.50      2.558689E-05    0.000000E+00    5.716372E-02    3.376000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.955240E+00      1.791000E-03     0       +1.50      5.329033E-05    1.000000E-06    5.716372E-02    3.376000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.682993E+00      1.737000E-03     0       +1.50      1.620908E-04    2.000000E-06    5.716372E-02    3.376000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.524424E+00      1.705000E-03     0       +1.50      6.823576E-04    1.000000E-05    5.716372E-02    3.376000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.405252E+00      1.281000E-03     0       +1.50      4.962086E-04    7.000000E-06    5.716372E-02    3.376000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.822031E+00      9.640000E-04     0       +1.50      1.236249E-04    2.000000E-06    5.716372E-02    3.376000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.439619E+00      2.880000E-04     0       +1.50      3.283773E-06    0.000000E+00    5.716372E-02    3.376000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -1.421061E+00      2.840000E-04     0       +1.50      6.649339E-05    1.000000E-06    5.716372E-02    3.376000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.747718E-01      1.950000E-04     0       +1.50      1.257013E-06    0.000000E+00    5.716372E-02    3.376000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.439619E+00      2.880000E-04     0       +1.50      5.673230E-04    8.000000E-06    5.716372E-02    3.376000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +1.602838E+00      3.210000E-04     0       +1.50      3.545653E-04    5.000000E-06    5.716372E-02    3.376000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.758528E+00      7.520000E-04     0       +1.50      1.114995E-03    1.600000E-05    5.716372E-02    3.376000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.104596E+00      8.210000E-04     0       +1.50      8.991857E-04    1.300000E-05    5.716372E-02    3.376000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.709701E+00      1.342000E-03     0       +1.50      1.187350E-03    1.800000E-05    5.716372E-02    3.376000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.549659E+00      1.510000E-03     0       +1.50      1.712352E-05    0.000000E+00    5.716372E-02    3.376000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.442240E+00      1.688000E-03     0       +1.50      6.190515E-08    0.000000E+00    5.716372E-02    3.376000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
