# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 09:03:55 2025
#                        
# Element                            : Tm
# Z                                  : 69
# A                                  : 180
# I                                  : 0
# Half-life                   [sec. ]: 3 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.882339E+02 
# Emax2 (background)             [eV]: 8.691390E+03 
# Number of resonances (<Emax)       : 92
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 2.429890E+01 
# Ress Int. (n,g) (systematics)  [b.]: 7.469130E+02 
# MACS 30 keV (calculated)       [b.]: 2.646800E-01
# Westcott factor (calculated)       : 1.001620E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 1.042540E+01 
# Res. Int (n,el) (calculated)   [b.]: 1.904850E+02 
#
# Scattering radius              [fm]: 7.49 +/- 7.49 
#
# Average Gtotal   l=0           [eV]: 2.619740E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 4.087920E-04 
# Average Gg       l=0           [eV]: 2.316210E-02 
# Average level spacing D0 (l=0) [eV]: 2.809460E+00 
# Neutron strength function S0 (l=0) : 7.558930E-05 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.112647E+02      2.225300E-02     0       +1.50      2.790253E-07    0.000000E+00    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.883961E+01      1.976800E-02     0       +1.50      5.441999E-03    9.700000E-05    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.826270E+01      1.965300E-02     0       +1.50      1.142097E-02    2.040000E-04    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.358729E+01      1.671700E-02     0       +1.50      1.449069E-03    2.600000E-05    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.991163E+01      1.398200E-02     0       +1.50      5.408905E-04    1.000000E-05    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.744642E+01      1.348900E-02     0       +1.50      9.626276E-03    1.720000E-04    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.852992E+01      1.170600E-02     0       +1.50      5.904487E-04    1.100000E-05    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.680409E+01      1.136100E-02     0       +1.50      2.461612E-03    4.400000E-05    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.573195E+01      1.114600E-02     0       +1.50      3.353382E-03    6.000000E-05    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.214918E+01      1.043000E-02     0       +1.50      3.894478E-03    6.900000E-05    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.747462E+01      9.495000E-03     0       +1.50      9.801569E-04    1.700000E-05    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.330165E+01      8.660000E-03     0       +1.50      2.149107E-04    4.000000E-06    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.778968E+01      7.558000E-03     0       +1.50      8.107073E-04    1.400000E-05    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.607399E+01      7.215000E-03     0       +1.50      1.481535E-02    2.640000E-04    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.587330E+01      7.175000E-03     0       +1.50      3.018308E-05    1.000000E-06    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.452382E+01      6.905000E-03     0       +1.50      5.518090E-03    9.800000E-05    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.739491E+01      5.479000E-03     0       +1.50      7.448923E-05    1.000000E-06    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.442127E+01      4.884000E-03     0       +1.50      1.639986E-02    2.930000E-04    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.191114E+01      4.382000E-03     0       +1.50      8.380101E-03    1.500000E-04    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.820423E+01      3.641000E-03     0       +1.50      3.817756E-03    6.800000E-05    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.057252E+01      2.115000E-03     0       +1.50      1.748079E-05    0.000000E+00    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.138193E+00      1.428000E-03     0       +1.50      1.031939E-03    1.800000E-05    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.773325E+00      1.355000E-03     0       +1.50      4.393869E-02    7.840000E-04    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -4.324106E+00      8.650000E-04     0       +1.50      1.098883E-04    2.000000E-06    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.663397E+00      3.330000E-04     0       +1.50      1.781521E-04    3.000000E-06    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.166523E+00      4.330000E-04     0       +1.50      3.900751E-04    7.000000E-06    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.131920E+00      1.226000E-03     0       +1.50      7.939926E-03    1.420000E-04    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.773325E+00      1.355000E-03     0       +1.50      2.316053E-03    4.100000E-05    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +1.309074E+01      2.618000E-03     0       +1.50      7.114827E-03    1.270000E-04    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.700576E+01      3.401000E-03     0       +1.50      3.530366E-04    6.000000E-06    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.784978E+01      3.570000E-03     0       +1.50      1.652109E-03    2.900000E-05    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.898280E+01      3.797000E-03     0       +1.50      1.316494E-03    2.300000E-05    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.968878E+01      3.938000E-03     0       +1.50      4.513639E-03    8.100000E-05    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.150473E+01      4.301000E-03     0       +1.50      2.154559E-03    3.800000E-05    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.527084E+01      5.054000E-03     0       +1.50      2.827297E-03    5.000000E-05    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.095090E+01      6.190000E-03     0       +1.50      2.997278E-07    0.000000E+00    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.331474E+01      6.663000E-03     0       +1.50      5.845184E-03    1.040000E-04    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.956447E+01      7.913000E-03     0       +1.50      1.226235E-02    2.190000E-04    2.327939E-02    1.661500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.021638E+01      8.043000E-03     0       +2.50      1.351891E-04    2.000000E-06    2.313168E-02    1.651000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.102185E+01      8.204000E-03     0       +2.50      4.396929E-05    1.000000E-06    2.313168E-02    1.651000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.224564E+01      8.449000E-03     0       +2.50      3.410619E-03    6.100000E-05    2.313168E-02    1.651000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.984301E+01      9.969000E-03     0       +2.50      4.111453E-07    0.000000E+00    2.313168E-02    1.651000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.181566E+01      1.036300E-02     0       +2.50      1.014219E-03    1.800000E-05    2.313168E-02    1.651000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.207084E+01      1.041400E-02     0       +2.50      2.244399E-02    4.000000E-04    2.313168E-02    1.651000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.464999E+01      1.093000E-02     0       +2.50      1.671208E-03    3.000000E-05    2.313168E-02    1.651000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.952091E+01      1.190400E-02     0       +2.50      5.353794E-03    9.600000E-05    2.313168E-02    1.651000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.023899E+01      1.404800E-02     0       +2.50      6.166774E-04    1.100000E-05    2.313168E-02    1.651000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.128956E+01      1.425800E-02     0       +2.50      2.527464E-05    0.000000E+00    2.313168E-02    1.651000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.082829E+01      1.616600E-02     0       +2.50      1.747028E-04    3.000000E-06    2.313168E-02    1.651000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.393872E+01      1.678800E-02     0       +2.50      1.035506E-05    0.000000E+00    2.313168E-02    1.651000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.482362E+01      1.696500E-02     0       +2.50      7.273390E-04    1.300000E-05    2.313168E-02    1.651000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
