# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 23:25:39 2025
#                        
# Element                            : U
# Z                                  : 92
# A                                  : 235
# I                                  : 1
# Abundancy                       [%]: 0.72
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 3.810023E+01 
# Emax2 (background)             [eV]: 4.668120E+03 
# Number of resonances (<Emax)       : 23
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 2.591520E+01 
# Ress Int. (n,g) (systematics)  [b.]: 9.226320E+02 
# MACS 30 keV (calculated)       [b.]: 4.608800E-01
# Westcott factor (calculated)       : 1.002500E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 4.226240E+01 
# Res. Int (n,el) (calculated)   [b.]: 1.421870E+04 
#
# Thermal  (n,f) xs              [b.]: 9.186570E+01 (Syst.) 
# Resonance Integral (n,f) xs    [b.]: 8.919600E+02
#
# Scattering radius              [fm]: 8.18 +/- 8.18 
#
# Average Gtotal   l=0           [eV]: 8.178210E-03 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.716740E-03 
# Average Gg       l=0           [eV]: 5.714940E-04 
# Average level spacing D0 (l=0) [eV]: 2.005270E+00 
# Neutron strength function S0 (l=0) : 5.350800E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -5.990381E+00      1.198000E-03     0       +0.00      1.780311E-03    2.900000E-05    5.771823E-04    3.820000E-04    +9.014637E-04   5.970000E-04    +0.000000E+00   0.000000E+00      hfr  
  -2.852381E+00      5.700000E-04     0       +0.00      1.847273E-02    3.060000E-04    5.771823E-04    3.820000E-04    +3.796793E-03   2.514000E-03    +0.000000E+00   0.000000E+00      hfr  
  -8.584692E-01      1.720000E-04     0       +0.00      1.763623E-02    2.920000E-04    5.771823E-04    3.820000E-04    +3.060092E-03   2.026000E-03    +0.000000E+00   0.000000E+00      hfr  
  +7.905000E-01      1.580000E-04     0       +0.00      9.141098E-03    1.510000E-04    5.771823E-04    3.820000E-04    +5.151584E-04   3.410000E-04    +0.000000E+00   0.000000E+00     radiator 
  +2.982016E+00      5.960000E-04     0       +0.00      2.901382E-04    5.000000E-06    5.771823E-04    3.820000E-04    +2.308982E-03   1.529000E-03    +0.000000E+00   0.000000E+00      hfr  
  +6.136158E+00      1.227000E-03     0       +0.00      6.926996E-04    1.100000E-05    5.771823E-04    3.820000E-04    +9.298820E-04   6.160000E-04    +0.000000E+00   0.000000E+00      hfr  
  +8.467284E+00      1.693000E-03     0       +1.00      8.972331E-06    0.000000E+00    5.704906E-04    3.780000E-04    +6.250210E-04   4.140000E-04    +0.000000E+00   0.000000E+00      hfr  
  +9.340228E+00      1.868000E-03     0       +1.00      7.499526E-05    1.000000E-06    5.704906E-04    3.780000E-04    +2.295976E-03   1.520000E-03    +0.000000E+00   0.000000E+00      hfr  
  +1.107371E+01      2.215000E-03     0       +1.00      1.202267E-02    1.990000E-04    5.704906E-04    3.780000E-04    +3.159075E-04   2.090000E-04    +0.000000E+00   0.000000E+00      hfr  
  +1.347001E+01      2.694000E-03     0       +1.00      7.313957E-03    1.210000E-04    5.704906E-04    3.780000E-04    +3.944391E-03   2.612000E-03    +0.000000E+00   0.000000E+00      hfr  
  +1.588436E+01      3.177000E-03     0       +1.00      1.306896E-02    2.160000E-04    5.704906E-04    3.780000E-04    +3.002343E-03   1.988000E-03    +0.000000E+00   0.000000E+00      hfr  
  +1.777622E+01      3.555000E-03     0       +1.00      5.096000E-04    8.000000E-06    5.704906E-04    3.780000E-04    +1.972336E-03   1.306000E-03    +0.000000E+00   0.000000E+00      hfr  
  +1.921149E+01      3.842000E-03     0       +1.00      9.147067E-04    1.500000E-05    5.704906E-04    3.780000E-04    +5.566981E-05   3.700000E-05    +0.000000E+00   0.000000E+00      hfr  
  +2.092706E+01      4.185000E-03     0       +1.00      3.979186E-03    6.600000E-05    5.704906E-04    3.780000E-04    +1.035705E-03   6.860000E-04    +0.000000E+00   0.000000E+00      hfr  
  +2.274170E+01      4.548000E-03     0       +1.00      6.771033E-03    1.120000E-04    5.704906E-04    3.780000E-04    +7.646734E-04   5.060000E-04    +0.000000E+00   0.000000E+00      hfr  
  +2.423564E+01      4.847000E-03     0       +1.00      1.814745E-04    3.000000E-06    5.704906E-04    3.780000E-04    +3.475935E-03   2.302000E-03    +0.000000E+00   0.000000E+00      hfr  
  +2.614831E+01      5.230000E-03     0       +1.00      2.635002E-03    4.400000E-05    5.704906E-04    3.780000E-04    +8.132561E-05   5.400000E-05    +0.000000E+00   0.000000E+00      hfr  
  +2.828305E+01      5.657000E-03     0       +1.00      3.149705E-03    5.200000E-05    5.704906E-04    3.780000E-04    +1.297978E-03   8.590000E-04    +0.000000E+00   0.000000E+00      hfr  
  +3.063425E+01      6.127000E-03     0       +1.00      1.082584E-04    2.000000E-06    5.704906E-04    3.780000E-04    +1.220299E-03   8.080000E-04    +0.000000E+00   0.000000E+00      hfr  
  +3.169355E+01      6.339000E-03     0       +1.00      4.757996E-02    7.880000E-04    5.704906E-04    3.780000E-04    +6.147582E-04   4.070000E-04    +0.000000E+00   0.000000E+00      hfr  
  +3.417220E+01      6.834000E-03     0       +1.00      3.570149E-04    6.000000E-06    5.704906E-04    3.780000E-04    +2.679638E-03   1.774000E-03    +0.000000E+00   0.000000E+00      hfr  
  +3.692177E+01      7.384000E-03     0       +1.00      1.388281E-02    2.300000E-04    5.704906E-04    3.780000E-04    +4.191879E-04   2.780000E-04    +0.000000E+00   0.000000E+00      hfr  
  +3.810023E+01      7.620000E-03     0       +1.00      6.966080E-04    1.200000E-05    5.704906E-04    3.780000E-04    +1.200342E-03   7.950000E-04    +0.000000E+00   0.000000E+00      hfr  
  +3.941212E+01      7.882000E-03     1       +0.00      3.265962E-04    5.000000E-06    5.720650E-04    3.790000E-04    +3.300085E-03   2.185000E-03    +0.000000E+00   0.000000E+00      hfr  
  +4.026015E+01      8.052000E-03     1       +0.00      5.678753E-03    9.400000E-05    5.720650E-04    3.790000E-04    +1.398329E-03   9.260000E-04    +0.000000E+00   0.000000E+00      hfr  
  +4.116294E+01      8.233000E-03     1       +0.00      5.266565E-04    9.000000E-06    5.720650E-04    3.790000E-04    +2.420167E-03   1.603000E-03    +0.000000E+00   0.000000E+00      hfr  
  +4.170926E+01      8.342000E-03     1       +0.00      1.805022E-04    3.000000E-06    5.720650E-04    3.790000E-04    +5.000491E-04   3.310000E-04    +0.000000E+00   0.000000E+00      hfr  
  +4.266691E+01      8.533000E-03     1       +0.00      1.668061E-03    2.800000E-05    5.720650E-04    3.790000E-04    +2.478911E-03   1.641000E-03    +0.000000E+00   0.000000E+00      hfr  
