# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 23:15:01 2025
#                        
# Element                            : Y
# Z                                  : 39
# A                                  : 94
# I                                  : 0
# Half-life                   [min. ]: 18.7 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.475701E+02 
# Emax2 (background)             [eV]: 4.167180E+03 
# Number of resonances (<Emax)       : 37
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 8.300350E+00 
# Ress Int. (n,g) (systematics)  [b.]: 2.569270E+02 
# MACS 30 keV (calculated)       [b.]: 1.201100E-01
# Westcott factor (calculated)       : 1.001350E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 2.939040E+00 
# Res. Int (n,el) (calculated)   [b.]: 3.040490E+02 
#
# Scattering radius              [fm]: 6.05 +/- 6.05 
#
# Average Gtotal   l=0           [eV]: 1.355410E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 6.654480E-03 
# Average Gg       l=0           [eV]: 7.774410E-02 
# Average level spacing D0 (l=0) [eV]: 3.536720E+01 
# Neutron strength function S0 (l=0) : 1.290200E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.024694E+03      2.049390E-01     0       +1.50      1.612020E-02    2.020000E-04    8.652065E-02    4.334800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.750344E+02      1.750070E-01     0       +1.50      2.590228E-02    3.240000E-04    8.652065E-02    4.334800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.531379E+02      1.706280E-01     0       +1.50      4.413864E-04    6.000000E-06    8.652065E-02    4.334800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.455059E+02      1.691010E-01     0       +1.50      1.622090E-02    2.030000E-04    8.652065E-02    4.334800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.434238E+02      1.286850E-01     0       +1.50      1.102745E-02    1.380000E-04    8.652065E-02    4.334800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.377300E+02      1.275460E-01     0       +1.50      8.446970E-03    1.060000E-04    8.652065E-02    4.334800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.114897E+02      1.222980E-01     0       +1.50      3.192268E-03    4.000000E-05    8.652065E-02    4.334800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.588657E+02      1.117730E-01     0       +1.50      1.124562E-04    1.000000E-06    8.652065E-02    4.334800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.470706E+02      1.094140E-01     0       +1.50      1.231059E-01    1.542000E-03    8.652065E-02    4.334800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.164568E+02      1.032910E-01     0       +1.50      2.595951E-01    3.252000E-03    8.652065E-02    4.334800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.119270E+02      1.023850E-01     0       +1.50      9.067596E-02    1.136000E-03    8.652065E-02    4.334800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.117812E+02      1.023560E-01     0       +1.50      4.638105E-02    5.810000E-04    8.652065E-02    4.334800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.386289E+02      8.772600E-02     0       +1.50      1.065392E-02    1.330000E-04    8.652065E-02    4.334800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.290408E+02      8.580800E-02     0       +1.50      3.551212E-03    4.400000E-05    8.652065E-02    4.334800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
