# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 21:42:58 2025
#                        
# Element                            : Y
# Z                                  : 39
# A                                  : 96
# I                                  : 0
# Half-life                   [sec. ]: 5.34 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.182324E+03 
# Emax2 (background)             [eV]: 1.486280E+04 
# Number of resonances (<Emax)       : 41
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 8.781600E+00 
# Ress Int. (n,g) (systematics)  [b.]: 4.365410E+02 
# MACS 30 keV (calculated)       [b.]: 5.258300E-02
# Westcott factor (calculated)       : 1.002070E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 2.234570E+00 
# Res. Int (n,el) (calculated)   [b.]: 6.906220E+02 
#
# Scattering radius              [fm]: 6.09 +/- 6.09 
#
# Average Gtotal   l=0           [eV]: 4.085890E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.043340E-03 
# Average Gg       l=0           [eV]: 2.407080E-02 
# Average level spacing D0 (l=0) [eV]: 4.378980E+01 
# Neutron strength function S0 (l=0) : 2.470860E-05 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -8.694050E+02      1.738810E-01     0       +0.50      3.332580E-03    4.600000E-05    2.407081E-02    1.333400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.996580E+02      1.599320E-01     0       +0.50      1.228755E-04    2.000000E-06    2.407081E-02    1.333400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.490437E+02      1.298090E-01     0       +0.50      1.130156E-02    1.570000E-04    2.407081E-02    1.333400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.017712E+02      1.003540E-01     0       +0.50      1.399303E-05    0.000000E+00    2.407081E-02    1.333400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.608806E+02      9.217600E-02     0       +0.50      5.155461E-03    7.100000E-05    2.407081E-02    1.333400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.411843E+02      8.823700E-02     0       +0.50      6.710680E-04    9.000000E-06    2.407081E-02    1.333400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.277810E+02      8.555600E-02     0       +0.50      8.454589E-04    1.200000E-05    2.407081E-02    1.333400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.849919E+02      5.699800E-02     0       +0.50      1.678778E-02    2.320000E-04    2.407081E-02    1.333400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.787986E+02      5.576000E-02     0       +0.50      3.319033E-04    5.000000E-06    2.407081E-02    1.333400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.722820E+02      5.445600E-02     0       +0.50      2.311796E-03    3.200000E-05    2.407081E-02    1.333400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
